dataset,method,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,ece,mce,log_loss_change,brier_score_change,ece_change,mce_change,roc_auc_change
validation,raw_model_4,0.5369515340275048,0.18014203952296765,0.7829727088017462,0.7346352670878805,0.6996714341486212,0.02877085489185028,0.0807975795235151,0.0,0.0,0.0,0.0,0.0
validation,sigmoid,0.5351228599648383,0.17956633970566405,0.7829727088017462,0.7283170591614015,0.679539295392954,0.02565366635038474,0.09118019373549066,-0.0018286740626665132,-0.0005756998173035988,-0.003117188541465539,0.01038261421197556,0.0
validation,isotonic,0.5226192869193002,0.1756230194275534,0.7889178129425879,0.7357840321654222,0.7002378041656336,1.1487651676806575e-09,8.36820113203629e-09,-0.014332247108204688,-0.0045190200954142445,-0.028770853743085113,-0.08079757115531397,0.005945104140841706
test,raw_model_4,0.51515126657707,0.17215994992849165,0.8024377406576361,0.7398648648648649,0.7005152497299094,0.0702486923684284,0.14652247056554038,0.0,0.0,0.0,0.0,0.0
test,sigmoid,0.5110564986908377,0.17084979875713074,0.8024377406576361,0.7488738738738738,0.6982049364248317,0.03453211618744731,0.09651396442370402,-0.004094767886232309,-0.001310151171360907,-0.03571657618098109,-0.050008506141836356,0.0
test,isotonic,0.5076592166791921,0.170015089290064,0.800559572287321,0.7398648648648649,0.6990858472533865,0.032846178229774425,0.17292035814761833,-0.007492049897877884,-0.0021448606384276425,-0.037402514138653975,0.02639788758207795,-0.0018781683703150698
