model,split,ece,mce
model_2,validation,0.03350114462797516,0.09076923076923077
model_3,validation,0.03735071212005905,0.07735686274509807
model_2,test,0.05844002729635472,0.11226741755026104
model_3,test,0.05019104289685064,0.08896980219858375
