feature,importance,rank,cumulative_importance
homePregameElo,0.0938123907966123,1,0.0938123907966123
awayPregameElo,0.08640105776359919,2,0.1802134485602115
pointDifferentialBefore_home,0.03619402821211879,3,0.21640747677233027
pointDifferentialBefore_away,0.034018400362702365,4,0.2504258771350326
pointDifferentialAvgBefore_away,0.029601986930024266,5,0.28002786406505686
pointDifferentialAvgBefore_home,0.029416491825634262,6,0.30944435589069114
pointDifferentialAvgLast5_home,0.02823389669522775,7,0.3376782525859189
pointDifferentialAvgLast5_away,0.025185073940686042,8,0.3628633265266049
pointDifferentialAvgLast3_away,0.024595076150721006,9,0.3874584026773259
away_pregame_offense_successRate,0.02398605077834214,10,0.41144445345566805
home_pregame_offense_successRate,0.022744481377233772,11,0.43418893483290183
pointDifferentialAvgLast3_home,0.022583148344671716,12,0.45677208317757356
home_pregame_offense_ppa,0.022012088546251998,13,0.47878417172382554
away_pregame_defense_successRate,0.021901887657133023,14,0.5006860593809586
yardsPerPassAttemptBefore_home,0.02133628087533992,15,0.5220223402562985
home_pregame_defense_successRate,0.021053163175905606,16,0.543075503432204
priorSOSPointDiff_away,0.02100318713451032,17,0.5640786905667143
yardsPerRushAttemptBefore_home,0.0209871902536933,18,0.5850658808204077
away_pregame_offense_ppa,0.02082673113972745,19,0.6058926119601351
pointsForAvgLast5_home,0.020672569869576163,20,0.6265651818297113
home_pregame_defense_ppa,0.020505335525655977,21,0.6470705173553672
yardsPerPassAttemptBefore_away,0.02037622441166398,22,0.6674467417670312
pointsAgainstAvgLast5_away,0.01985931173899096,23,0.6873060535060221
pointsForAvgLast5_away,0.019782161457218297,24,0.7070882149632405
pointsAgainstAvgLast5_home,0.01945398576604515,25,0.7265422007292857
away_pregame_defense_ppa,0.019101138878024483,26,0.7456433396073101
yardsPerRushAttemptBefore_away,0.018539190075065465,27,0.7641825296823755
winPctBefore_home,0.018449529954948193,28,0.7826320596373237
priorSOSPointDiff_home,0.01829703542780353,29,0.8009290950651272
winPctBefore_away,0.016830542835982575,30,0.8177596379011098
priorSOSWinPct_home,0.016344711220908355,31,0.8341043491220181
priorSOSWinPct_away,0.015267822580378976,32,0.8493721717023971
netPassingYardsTrend_home,0.013627652729999794,33,0.8629998244323969
totalYardsTrend_away,0.013623021196610553,34,0.8766228456290074
netPassingYardsTrend_away,0.013568543803960414,35,0.8901913894329678
pointsAgainstTrend_home,0.013361856086941737,36,0.9035532455199096
pointsAgainstTrend_away,0.013266713500344574,37,0.9168199590202541
pointsForTrend_home,0.012889615587070679,38,0.9297095746073248
totalYardsTrend_home,0.012770617902672747,39,0.9424801925099976
pointDifferentialTrend_away,0.012494207307603322,40,0.9549743998176009
pointsForTrend_away,0.012413437496388952,41,0.9673878373139898
pointDifferentialTrend_home,0.011723517763355706,42,0.9791113550773455
winPctTrend_away,0.010557207907786205,43,0.9896685629851317
winPctTrend_home,0.01033143701486807,44,0.9999999999999998
