model,split,season,rows,home_win_rate,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,mean_probability
model_2,validation,2023,868,0.6336405529953917,0.5648777934347124,0.17578732076665424,0.7937793024585478,0.7396313364055299,0.7056718124642654,0.6072388725849774
model_2,validation,2024,873,0.6380297823596792,0.5636656547816269,0.19074317073178307,0.7547866054587188,0.697594501718213,0.6534781719428221,0.6131235805586749
model_3,validation,2023,868,0.6336405529953917,0.5341048649688592,0.17735375908893505,0.7901229273870783,0.738479262672811,0.7054259576901086,0.6042737200673459
model_3,validation,2024,873,0.6380297823596792,0.5662363207258456,0.19150248182166058,0.7526560689043928,0.702176403207331,0.6604918982796628,0.6123923312365656
model_2,test,2025,888,0.6452702702702703,0.5247910000569379,0.17632736607260793,0.7922324718136237,0.75,0.7069392503947478,0.6101500627937353
model_3,test,2025,888,0.6452702702702703,0.5238527438408014,0.17623733944720749,0.7926729272279012,0.740990990990991,0.7028172525554724,0.606412560706753
