model,feature_count,top_5_importance,top_10_importance,top_20_importance,top_50pct_feature_count,top_80pct_feature_count
model_2,44,0.28002786406505686,0.41144445345566805,0.6265651818297113,14,29
model_3,28,0.3399100025413898,0.5113371121127724,0.7956449733182592,10,21
