season,team,conference,statName,statValue
2025,Nebraska,Big Ten,puntReturnYardsOpponent,23
2025,Nebraska,Big Ten,rushingAttempts,445
2025,Nebraska,Big Ten,rushingAttemptsOpponent,468
2025,Nebraska,Big Ten,rushingTDs,20
2025,Nebraska,Big Ten,rushingTDsOpponent,30
2025,Nebraska,Big Ten,rushingYards,1922
2025,Nebraska,Big Ten,rushingYardsOpponent,2300
2025,Nebraska,Big Ten,sacks,22
2025,Nebraska,Big Ten,sacksOpponent,33
2025,Nebraska,Big Ten,tacklesForLoss,65
2025,Nebraska,Big Ten,tacklesForLossOpponent,62
2025,Nebraska,Big Ten,thirdDownConversions,74
2025,Nebraska,Big Ten,thirdDownConversionsOpponent,66
2025,Nebraska,Big Ten,thirdDowns,162
2025,Nebraska,Big Ten,thirdDownsOpponent,168
2025,Nebraska,Big Ten,totalYards,4842
2025,Nebraska,Big Ten,totalYardsOpponent,4303
2025,Nebraska,Big Ten,turnovers,11
2025,Nebraska,Big Ten,turnoversOpponent,13
2025,Nevada,Mountain West,firstDowns,207
2025,Nevada,Mountain West,firstDownsOpponent,239
2025,Nevada,Mountain West,fourthDownConversions,13
2025,Nevada,Mountain West,fourthDownConversionsOpponent,14
2025,Nevada,Mountain West,fourthDowns,24
2025,Nevada,Mountain West,fourthDownsOpponent,23
2025,Nevada,Mountain West,fumblesLost,10
2025,Nevada,Mountain West,fumblesLostOpponent,4
2025,Nevada,Mountain West,fumblesRecovered,5
2025,Nevada,Mountain West,fumblesRecoveredOpponent,10
2025,Nevada,Mountain West,games,12
2025,Nevada,Mountain West,interceptions,17
2025,Nevada,Mountain West,interceptionsOpponent,11
2025,Nevada,Mountain West,interceptionTDs,2
2025,Nevada,Mountain West,interceptionTDsOpponent,2
2025,Nevada,Mountain West,interceptionYards,191
2025,Nevada,Mountain West,interceptionYardsOpponent,96
2025,Nevada,Mountain West,kickReturns,16
2025,Nevada,Mountain West,kickReturnsOpponent,9
2025,Nevada,Mountain West,kickReturnTDs,1
2025,Nevada,Mountain West,kickReturnTDsOpponent,1
2025,Nevada,Mountain West,kickReturnYards,396
2025,Nevada,Mountain West,kickReturnYardsOpponent,282
2025,Nevada,Mountain West,netPassingYards,1766
2025,Nevada,Mountain West,netPassingYardsOpponent,2642
2025,Nevada,Mountain West,passAttempts,308
2025,Nevada,Mountain West,passAttemptsOpponent,356
2025,Nevada,Mountain West,passCompletions,182
2025,Nevada,Mountain West,passCompletionsOpponent,231
2025,Nevada,Mountain West,passesIntercepted,11
2025,Nevada,Mountain West,passesInterceptedOpponent,17
2025,Nevada,Mountain West,passingTDs,10
2025,Nevada,Mountain West,passingTDsOpponent,12
2025,Nevada,Mountain West,penalties,63
2025,Nevada,Mountain West,penaltiesOpponent,84
2025,Nevada,Mountain West,penaltyYards,542
2025,Nevada,Mountain West,penaltyYardsOpponent,709
2025,Nevada,Mountain West,possessionTime,21837
2025,Nevada,Mountain West,possessionTimeOpponent,21369
2025,Nevada,Mountain West,puntReturns,17
2025,Nevada,Mountain West,puntReturnsOpponent,12
2025,Nevada,Mountain West,puntReturnTDs,0
2025,Nevada,Mountain West,puntReturnTDsOpponent,1
2025,Nevada,Mountain West,puntReturnYards,119
2025,Nevada,Mountain West,puntReturnYardsOpponent,120
