season,team,conference,statName,statValue
2025,Air Force,Mountain West,firstDowns,264
2025,Air Force,Mountain West,firstDownsOpponent,247
2025,Air Force,Mountain West,fourthDownConversions,24
2025,Air Force,Mountain West,fourthDownConversionsOpponent,10
2025,Air Force,Mountain West,fourthDowns,34
2025,Air Force,Mountain West,fourthDownsOpponent,16
2025,Air Force,Mountain West,fumblesLost,5
2025,Air Force,Mountain West,fumblesLostOpponent,3
2025,Air Force,Mountain West,fumblesRecovered,3
2025,Air Force,Mountain West,fumblesRecoveredOpponent,5
2025,Air Force,Mountain West,games,12
2025,Air Force,Mountain West,interceptions,7
2025,Air Force,Mountain West,interceptionsOpponent,7
2025,Air Force,Mountain West,interceptionTDs,0
2025,Air Force,Mountain West,interceptionTDsOpponent,0
2025,Air Force,Mountain West,interceptionYards,67
2025,Air Force,Mountain West,interceptionYardsOpponent,55
2025,Air Force,Mountain West,kickReturns,9
2025,Air Force,Mountain West,kickReturnsOpponent,22
2025,Air Force,Mountain West,kickReturnTDs,0
2025,Air Force,Mountain West,kickReturnTDsOpponent,0
2025,Air Force,Mountain West,kickReturnYards,190
2025,Air Force,Mountain West,kickReturnYardsOpponent,352
2025,Air Force,Mountain West,netPassingYards,1742
2025,Air Force,Mountain West,netPassingYardsOpponent,3176
2025,Air Force,Mountain West,passAttempts,164
2025,Air Force,Mountain West,passAttemptsOpponent,336
2025,Air Force,Mountain West,passCompletions,97
2025,Air Force,Mountain West,passCompletionsOpponent,234
2025,Air Force,Mountain West,passesIntercepted,7
2025,Air Force,Mountain West,passesInterceptedOpponent,7
2025,Air Force,Mountain West,passingTDs,13
2025,Air Force,Mountain West,passingTDsOpponent,17
2025,Air Force,Mountain West,penalties,43
2025,Air Force,Mountain West,penaltiesOpponent,65
2025,Air Force,Mountain West,penaltyYards,375
2025,Air Force,Mountain West,penaltyYardsOpponent,536
2025,Air Force,Mountain West,possessionTime,24388
2025,Air Force,Mountain West,possessionTimeOpponent,18812
2025,Air Force,Mountain West,puntReturns,3
2025,Air Force,Mountain West,puntReturnsOpponent,8
2025,Air Force,Mountain West,puntReturnTDs,0
2025,Air Force,Mountain West,puntReturnTDsOpponent,0
2025,Air Force,Mountain West,puntReturnYards,8
2025,Air Force,Mountain West,puntReturnYardsOpponent,51
2025,Air Force,Mountain West,rushingAttempts,653
2025,Air Force,Mountain West,rushingAttemptsOpponent,361
2025,Air Force,Mountain West,rushingTDs,33
2025,Air Force,Mountain West,rushingTDsOpponent,27
2025,Air Force,Mountain West,rushingYards,3138
2025,Air Force,Mountain West,rushingYardsOpponent,1915
2025,Air Force,Mountain West,sacks,15
2025,Air Force,Mountain West,sacksOpponent,16
2025,Air Force,Mountain West,tacklesForLoss,40
2025,Air Force,Mountain West,tacklesForLossOpponent,46
2025,Air Force,Mountain West,thirdDownConversions,78
2025,Air Force,Mountain West,thirdDownConversionsOpponent,69
2025,Air Force,Mountain West,thirdDowns,153
2025,Air Force,Mountain West,thirdDownsOpponent,137
2025,Air Force,Mountain West,totalYards,4880
2025,Air Force,Mountain West,totalYardsOpponent,5091
2025,Air Force,Mountain West,turnovers,12
2025,Air Force,Mountain West,turnoversOpponent,10
2025,Akron,Mid-American,firstDowns,241
2025,Akron,Mid-American,firstDownsOpponent,234
2025,Akron,Mid-American,fourthDownConversions,12
2025,Akron,Mid-American,fourthDownConversionsOpponent,7
2025,Akron,Mid-American,fourthDowns,25
2025,Akron,Mid-American,fourthDownsOpponent,19
2025,Akron,Mid-American,fumblesLost,8
2025,Akron,Mid-American,fumblesLostOpponent,8
2025,Akron,Mid-American,fumblesRecovered,8
2025,Akron,Mid-American,fumblesRecoveredOpponent,8
2025,Akron,Mid-American,games,12
2025,Akron,Mid-American,interceptions,9
2025,Akron,Mid-American,interceptionsOpponent,12
2025,Akron,Mid-American,interceptionTDs,1
2025,Akron,Mid-American,interceptionTDsOpponent,0
2025,Akron,Mid-American,interceptionYards,112
2025,Akron,Mid-American,interceptionYardsOpponent,116
2025,Akron,Mid-American,kickReturns,35
2025,Akron,Mid-American,kickReturnsOpponent,31
2025,Akron,Mid-American,kickReturnTDs,0
2025,Akron,Mid-American,kickReturnTDsOpponent,2
2025,Akron,Mid-American,kickReturnYards,721
2025,Akron,Mid-American,kickReturnYardsOpponent,543
2025,Akron,Mid-American,netPassingYards,2628
2025,Akron,Mid-American,netPassingYardsOpponent,2750
2025,Akron,Mid-American,passAttempts,404
2025,Akron,Mid-American,passAttemptsOpponent,355
2025,Akron,Mid-American,passCompletions,209
2025,Akron,Mid-American,passCompletionsOpponent,214
2025,Akron,Mid-American,passesIntercepted,12
2025,Akron,Mid-American,passesInterceptedOpponent,9
2025,Akron,Mid-American,passingTDs,20
2025,Akron,Mid-American,passingTDsOpponent,20
2025,Akron,Mid-American,penalties,70
2025,Akron,Mid-American,penaltiesOpponent,71
2025,Akron,Mid-American,penaltyYards,549
2025,Akron,Mid-American,penaltyYardsOpponent,668
2025,Akron,Mid-American,possessionTime,21504
2025,Akron,Mid-American,possessionTimeOpponent,21696
2025,Akron,Mid-American,puntReturns,10
2025,Akron,Mid-American,puntReturnsOpponent,23
2025,Akron,Mid-American,puntReturnTDs,0
2025,Akron,Mid-American,puntReturnTDsOpponent,0
2025,Akron,Mid-American,puntReturnYards,47
2025,Akron,Mid-American,puntReturnYardsOpponent,239
2025,Akron,Mid-American,rushingAttempts,430
2025,Akron,Mid-American,rushingAttemptsOpponent,432
2025,Akron,Mid-American,rushingTDs,9
2025,Akron,Mid-American,rushingTDsOpponent,18
2025,Akron,Mid-American,rushingYards,1637
2025,Akron,Mid-American,rushingYardsOpponent,1874
2025,Akron,Mid-American,sacks,25
2025,Akron,Mid-American,sacksOpponent,34
2025,Akron,Mid-American,tacklesForLoss,70
2025,Akron,Mid-American,tacklesForLossOpponent,72
2025,Akron,Mid-American,thirdDownConversions,52
2025,Akron,Mid-American,thirdDownConversionsOpponent,54
2025,Akron,Mid-American,thirdDowns,169
2025,Akron,Mid-American,thirdDownsOpponent,154
2025,Akron,Mid-American,totalYards,4265
2025,Akron,Mid-American,totalYardsOpponent,4624
2025,Akron,Mid-American,turnovers,17
2025,Akron,Mid-American,turnoversOpponent,20
2025,Alabama,SEC,firstDowns,305
2025,Alabama,SEC,firstDownsOpponent,240
2025,Alabama,SEC,fourthDownConversions,22
2025,Alabama,SEC,fourthDownConversionsOpponent,16
2025,Alabama,SEC,fourthDowns,36
2025,Alabama,SEC,fourthDownsOpponent,23
2025,Alabama,SEC,fumblesLost,8
2025,Alabama,SEC,fumblesLostOpponent,9
2025,Alabama,SEC,fumblesRecovered,9
2025,Alabama,SEC,fumblesRecoveredOpponent,8
2025,Alabama,SEC,games,15
2025,Alabama,SEC,interceptions,5
2025,Alabama,SEC,interceptionsOpponent,11
2025,Alabama,SEC,interceptionTDs,3
2025,Alabama,SEC,interceptionTDsOpponent,1
2025,Alabama,SEC,interceptionYards,222
2025,Alabama,SEC,interceptionYardsOpponent,136
2025,Alabama,SEC,kickReturns,20
2025,Alabama,SEC,kickReturnsOpponent,22
2025,Alabama,SEC,kickReturnTDs,0
2025,Alabama,SEC,kickReturnTDsOpponent,1
2025,Alabama,SEC,kickReturnYards,341
2025,Alabama,SEC,kickReturnYardsOpponent,380
2025,Alabama,SEC,netPassingYards,3953
2025,Alabama,SEC,netPassingYardsOpponent,2554
2025,Alabama,SEC,passAttempts,523
2025,Alabama,SEC,passAttemptsOpponent,396
2025,Alabama,SEC,passCompletions,343
2025,Alabama,SEC,passCompletionsOpponent,246
2025,Alabama,SEC,passesIntercepted,11
2025,Alabama,SEC,passesInterceptedOpponent,5
2025,Alabama,SEC,passingTDs,32
2025,Alabama,SEC,passingTDsOpponent,16
2025,Alabama,SEC,penalties,67
2025,Alabama,SEC,penaltiesOpponent,85
2025,Alabama,SEC,penaltyYards,591
2025,Alabama,SEC,penaltyYardsOpponent,787
2025,Alabama,SEC,possessionTime,28422
2025,Alabama,SEC,possessionTimeOpponent,25578
2025,Alabama,SEC,puntReturns,25
2025,Alabama,SEC,puntReturnsOpponent,13
2025,Alabama,SEC,puntReturnTDs,0
2025,Alabama,SEC,puntReturnTDsOpponent,0
2025,Alabama,SEC,puntReturnYards,232
2025,Alabama,SEC,puntReturnYardsOpponent,138
2025,Alabama,SEC,rushingAttempts,465
2025,Alabama,SEC,rushingAttemptsOpponent,508
2025,Alabama,SEC,rushingTDs,21
2025,Alabama,SEC,rushingTDsOpponent,17
2025,Alabama,SEC,rushingYards,1563
2025,Alabama,SEC,rushingYardsOpponent,1904
2025,Alabama,SEC,sacks,33
2025,Alabama,SEC,sacksOpponent,33
