feature,training_missing_count,training_missing_pct,validation_missing_count,validation_missing_pct,test_missing_count,test_missing_pct
homePregameElo,674,10.478855721393035,0,0.0,1,0.11261261261261261
awayPregameElo,795,12.360074626865671,239,13.727742676622631,126,14.18918918918919
winPctBefore_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
winPctBefore_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
pointDifferentialBefore_home,0,0.0,0,0.0,0,0.0
pointDifferentialBefore_away,0,0.0,0,0.0,0,0.0
pointDifferentialAvgBefore_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
pointDifferentialAvgBefore_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
pointDifferentialAvgLast3_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
pointDifferentialAvgLast3_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
pointDifferentialAvgLast5_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
pointDifferentialAvgLast5_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
pointsForAvgLast5_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
pointsForAvgLast5_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
pointsAgainstAvgLast5_home,672,10.44776119402985,180,10.338885697874785,90,10.135135135135135
pointsAgainstAvgLast5_away,940,14.614427860696516,186,10.683515221137277,91,10.247747747747747
home_pregame_offense_successRate,702,10.914179104477611,184,10.568638713383113,89,10.022522522522523
away_pregame_offense_successRate,974,15.143034825870647,199,11.430212521539346,96,10.81081081081081
home_pregame_offense_ppa,702,10.914179104477611,184,10.568638713383113,89,10.022522522522523
away_pregame_offense_ppa,974,15.143034825870647,199,11.430212521539346,96,10.81081081081081
yardsPerPassAttemptBefore_home,673,10.463308457711443,180,10.338885697874785,90,10.135135135135135
yardsPerPassAttemptBefore_away,941,14.629975124378108,186,10.683515221137277,91,10.247747747747747
yardsPerRushAttemptBefore_home,673,10.463308457711443,180,10.338885697874785,90,10.135135135135135
yardsPerRushAttemptBefore_away,941,14.629975124378108,186,10.683515221137277,91,10.247747747747747
home_pregame_defense_successRate,702,10.914179104477611,184,10.568638713383113,89,10.022522522522523
away_pregame_defense_successRate,974,15.143034825870647,199,11.430212521539346,96,10.81081081081081
home_pregame_defense_ppa,702,10.914179104477611,184,10.568638713383113,89,10.022522522522523
away_pregame_defense_ppa,974,15.143034825870647,199,11.430212521539346,96,10.81081081081081
