season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2025,Tyler J.C. ,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2025,UAB,29,20,16.669999999999998,0.8334999999999999,27,81.0,3.0,2,23,2,0,37,19,16.0,0.8421052631578947,31,94.0,3.032258064516129,0,30,1,0
2025,UC Davis,9,1,0.85,0.85,8,23.0,2.875,1,7,0,0,2,2,1.74,0.87,2,6.0,3.0,0,2,0,0
2025,UCF,38,34,29.07,0.855,35,107.0,3.057142857142857,0,33,2,0,50,31,26.36,0.8503225806451613,44,135.0,3.0681818181818183,3,35,6,0
2025,UCLA,30,29,24.98,0.8613793103448276,29,88.0,3.0344827586206895,1,27,0,1,35,17,14.56,0.8564705882352941,29,87.0,3.0,2,25,2,0
2025,UConn,23,17,14.2,0.8352941176470587,22,67.0,3.0454545454545454,0,21,1,0,22,7,5.98,0.8542857142857143,18,54.0,3.0,2,14,2,0
2025,UL Monroe,14,13,10.799999999999999,0.8307692307692307,14,41.0,2.9285714285714284,1,13,0,0,22,9,7.6899999999999995,0.8544444444444443,16,47.0,2.9375,3,11,2,0
2025,UNC-Pembroke,3,0,0.0,,1,3.0,3.0,0,1,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,UNLV,39,27,22.71,0.8411111111111111,36,109.0,3.0277777777777777,1,33,2,0,43,26,21.98,0.8453846153846154,36,106.0,2.9444444444444446,2,34,0,0
2025,USC,15,15,13.07,0.8713333333333334,15,49.0,3.2666666666666666,0,11,4,0,28,22,19.25,0.875,25,84.0,3.36,0,16,9,0
2025,UT Martin,8,0,0.0,,7,22.0,3.142857142857143,0,6,1,0,7,3,2.57,0.8566666666666666,4,12.0,3.0,0,4,0,0
2025,UT-Rio Grande Valley,3,0,0.0,,3,9.0,3.0,0,3,0,0,0,0,,,0,,,0,0,0,0
2025,UT-Rio Grande Valley (Do not use),1,0,0.0,,1,2.0,2.0,1,0,0,0,0,0,,,0,,,0,0,0,0
2025,UTEP,26,16,13.309999999999999,0.8318749999999999,21,61.0,2.9047619047619047,2,19,0,0,39,14,11.76,0.84,29,81.0,2.793103448275862,6,23,0,0
2025,UTSA,20,15,12.61,0.8406666666666667,17,52.0,3.0588235294117645,0,16,1,0,20,8,6.86,0.8575,17,51.0,3.0,1,15,1,0
2025,UVA Wise,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2025,University of Charleston,0,0,,,0,,,0,0,0,0,1,1,0.84,0.84,1,3.0,3.0,0,1,0,0
2025,Upper Iowa,1,0,0.0,,1,3.0,3.0,0,1,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Utah,21,19,16.39,0.8626315789473684,20,61.0,3.05,0,19,1,0,33,25,21.23,0.8492000000000001,33,102.0,3.090909090909091,1,28,4,0
2025,Utah State,24,18,14.7,0.8166666666666667,21,58.0,2.761904761904762,5,16,0,0,38,22,18.599999999999998,0.8454545454545453,35,105.0,3.0,2,31,2,0
2025,Utah Tech,9,0,0.0,,9,25.0,2.7777777777777777,2,7,0,0,8,4,3.32,0.83,7,20.0,2.857142857142857,1,6,0,0
2025,VMI,0,0,,,0,,,0,0,0,0,2,2,1.68,0.84,2,6.0,3.0,0,2,0,0
2025,Valdosta State,5,0,0.0,,2,5.0,2.5,1,1,0,0,4,4,3.27,0.8175,4,12.0,3.0,0,4,0,0
2025,Valparaiso,0,0,,,0,,,0,0,0,0,2,2,1.67,0.835,2,6.0,3.0,0,2,0,0
2025,Vanderbilt,20,18,15.55,0.8638888888888889,19,57.0,3.0,1,17,1,0,21,13,10.93,0.8407692307692307,20,59.0,2.95,1,19,0,0
2025,Villanova,3,0,0.0,,2,4.0,2.0,2,0,0,0,2,1,0.85,0.85,1,3.0,3.0,0,1,0,0
2025,Virginia,31,30,25.85,0.8616666666666667,30,92.0,3.066666666666667,0,28,2,0,23,9,7.63,0.8477777777777777,17,53.0,3.1176470588235294,0,15,2,0
2025,Virginia Tech,30,29,24.89,0.8582758620689656,29,87.0,3.0,0,29,0,0,31,24,20.43,0.85125,29,89.0,3.0689655172413794,1,25,3,0
2025,Virginia Union,0,0,,,0,,,0,0,0,0,3,3,2.56,0.8533333333333334,3,9.0,3.0,0,3,0,0
2025,Wagner,1,0,0.0,,0,0.0,,0,0,0,0,2,2,1.67,0.835,2,6.0,3.0,0,2,0,0
2025,Wake Forest,33,32,27.34,0.854375,32,97.0,3.03125,0,31,1,0,27,20,17.23,0.8615,26,81.0,3.1153846153846154,0,23,3,0
2025,Walsh,0,0,,,0,,,0,0,0,0,1,1,0.84,0.84,1,3.0,3.0,0,1,0,0
2025,Washburn,1,0,0.0,,1,4.0,4.0,0,0,1,0,2,1,0.88,0.88,1,3.0,3.0,0,1,0,0
2025,Washington,18,14,12.07,0.8621428571428572,16,49.0,3.0625,0,15,1,0,32,20,17.21,0.8605,27,80.0,2.962962962962963,4,20,3,0
2025,Washington State,34,25,21.06,0.8423999999999999,31,91.0,2.935483870967742,2,29,0,0,70,31,26.52,0.8554838709677419,59,174.0,2.9491525423728815,8,46,5,0
2025,Wayne State,1,0,0.0,,1,3.0,3.0,0,1,0,0,1,1,0.81,0.81,1,3.0,3.0,0,1,0,0
2025,Weber State,6,1,0.86,0.86,5,15.0,3.0,0,5,0,0,8,4,3.38,0.845,5,15.0,3.0,0,5,0,0
2025,West Alabama,0,0,,,0,,,0,0,0,0,2,1,0.82,0.82,1,3.0,3.0,0,1,0,0
2025,West Chester,1,0,0.0,,0,0.0,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,West Florida,2,0,0.0,,1,3.0,3.0,0,1,0,0,5,3,2.4899999999999998,0.83,3,9.0,3.0,0,3,0,0
2025,West Georgia,5,0,0.0,,2,6.0,3.0,0,2,0,0,9,4,3.3499999999999996,0.8374999999999999,5,15.0,3.0,0,5,0,0
2025,West Liberty,0,0,,,0,,,0,0,0,0,2,1,0.81,0.81,1,3.0,3.0,0,1,0,0
2025,West Texas,5,0,0.0,,5,14.0,2.8,1,4,0,0,1,1,0.82,0.82,1,3.0,3.0,0,1,0,0
2025,West Virginia,51,49,41.85,0.8540816326530613,49,148.0,3.020408163265306,0,48,1,0,50,36,30.599999999999998,0.85,46,139.0,3.0217391304347827,0,45,1,0
2025,West Virginia State,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Western Carolina,5,1,0.83,0.83,4,12.0,3.0,0,4,0,0,10,7,5.96,0.8514285714285714,8,24.0,3.0,0,8,0,0
2025,Western Colorado,0,0,,,0,,,0,0,0,0,1,1,0.83,0.83,1,3.0,3.0,0,1,0,0
2025,Western Illinois,3,0,0.0,,3,9.0,3.0,0,3,0,0,6,3,2.54,0.8466666666666667,4,12.0,3.0,0,4,0,0
2025,Western Kentucky,42,33,27.419999999999998,0.8309090909090908,37,111.0,3.0,0,37,0,0,39,19,15.94,0.8389473684210526,29,85.0,2.9310344827586206,3,25,1,0
2025,Western Michigan,23,14,11.64,0.8314285714285715,21,61.0,2.9047619047619047,2,19,0,0,28,7,5.9,0.8428571428571429,25,72.0,2.88,4,20,1,0
2025,William & Mary,4,1,0.83,0.83,3,9.0,3.0,0,3,0,0,3,1,0.85,0.85,1,3.0,3.0,0,1,0,0
2025,William Jewell College,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2025,Wingate,1,0,0.0,,1,2.0,2.0,1,0,0,0,2,1,0.85,0.85,1,3.0,3.0,0,1,0,0
2025,Winona State,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Winston-Salem State,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2025,Wisconsin,18,18,15.59,0.866111111111111,18,56.0,3.111111111111111,0,16,2,0,33,20,17.24,0.8619999999999999,32,97.0,3.03125,2,27,3,0
2025,Wittenberg,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2025,Wofford,6,0,0.0,,5,16.0,3.2,0,4,1,0,3,1,0.85,0.85,1,3.0,3.0,0,1,0,0
2025,Wyoming,17,7,5.82,0.8314285714285715,11,32.0,2.909090909090909,1,10,0,0,22,9,7.63,0.8477777777777777,19,57.0,3.0,0,19,0,0
2025,Yale,1,1,0.85,0.85,1,3.0,3.0,0,1,0,0,13,6,5.0,0.8333333333333334,9,26.0,2.888888888888889,1,8,0,0
2025,Youngstown State,4,0,0.0,,1,3.0,3.0,0,1,0,0,9,4,3.34,0.835,7,19.0,2.7142857142857144,2,5,0,0
