season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2022,Abilene Christian,9,0,0.0,,8,24.0,3.0,0,8,0,0,4,3,2.49,0.8300000000000001,3,8.0,2.6666666666666665,1,2,0,0
2022,Air Force,0,0,,,0,,,0,0,0,0,9,2,1.52,0.76,6,15.0,2.5,3,3,0,0
2022,Akron,15,8,6.61,0.82625,15,46.0,3.066666666666667,1,12,2,0,10,5,4.27,0.8539999999999999,9,25.0,2.7777777777777777,2,7,0,0
2022,Alabama,5,5,4.72,0.944,5,22.0,4.4,0,0,3,2,24,14,12.27,0.8764285714285714,22,72.0,3.272727272727273,2,12,8,0
2022,Alabama A&M,11,3,2.42,0.8066666666666666,10,32.0,3.2,0,8,2,0,1,0,0.0,,0,0.0,,0,0,0,0
2022,Alabama State,7,4,3.29,0.8225,7,20.0,2.857142857142857,1,6,0,0,0,0,,,0,,,0,0,0,0
2022,Alcorn State,4,2,1.61,0.805,3,9.0,3.0,0,3,0,0,0,0,,,0,,,0,0,0,0
2022,App State,9,3,2.48,0.8266666666666667,6,18.0,3.0,0,6,0,0,10,2,1.68,0.84,7,21.0,3.0,0,7,0,0
2022,Arizona,8,7,6.08,0.8685714285714285,8,25.0,3.125,0,7,1,0,27,7,5.74,0.8200000000000001,25,74.0,2.96,2,22,1,0
2022,Arizona State,13,13,11.24,0.8646153846153847,13,40.0,3.076923076923077,0,12,1,0,21,14,12.15,0.8678571428571429,19,59.0,3.1052631578947367,2,13,4,0
2022,Arkansas,9,8,7.140000000000001,0.8925000000000001,9,32.0,3.5555555555555554,0,4,5,0,22,8,6.8,0.85,21,66.0,3.142857142857143,3,12,6,0
2022,Arkansas State,11,5,4.14,0.828,10,31.0,3.1,0,9,1,0,25,11,8.96,0.8145454545454546,21,56.0,2.6666666666666665,7,14,0,0
2022,Army,0,0,,,0,,,0,0,0,0,6,2,1.57,0.785,4,9.0,2.25,3,1,0,0
2022,Ashland,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2022,Auburn,11,9,7.83,0.87,10,30.0,3.0,0,10,0,0,24,21,18.28,0.8704761904761905,24,77.0,3.2083333333333335,0,19,5,0
2022,Austin Peay,1,0,0.0,,1,3.0,3.0,0,1,0,0,2,1,0.86,0.86,2,5.0,2.5,1,1,0,0
2022,BYU,4,4,3.53,0.8825,4,13.0,3.25,0,3,1,0,10,2,1.58,0.79,9,25.0,2.7777777777777777,2,7,0,0
2022,Ball State,5,2,1.67,0.835,4,11.0,2.75,1,3,0,0,10,0,0.0,,9,25.0,2.7777777777777777,2,7,0,0
2022,Baylor,3,2,1.8,0.9,3,9.0,3.0,1,1,1,0,8,3,2.63,0.8766666666666666,6,18.0,3.0,0,6,0,0
2022,Bethune-Cookman,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2022,Blinn College,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2022,Boise State,3,3,2.62,0.8733333333333334,3,9.0,3.0,0,3,0,0,6,2,1.69,0.845,5,15.0,3.0,0,5,0,0
2022,Boston College,4,2,1.7,0.85,3,9.0,3.0,0,3,0,0,13,4,3.27,0.8175,11,33.0,3.0,0,11,0,0
2022,Bowling Green,6,2,1.61,0.805,4,12.0,3.0,0,4,0,0,13,6,4.75,0.7916666666666666,13,32.0,2.4615384615384617,7,6,0,0
2022,Bucknell,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2022,Buffalo,21,11,9.23,0.8390909090909091,18,52.0,2.888888888888889,2,16,0,0,27,15,12.370000000000001,0.8246666666666668,26,69.0,2.6538461538461537,9,17,0,0
2022,Butler,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2022,Butler County (KS),1,1,0.79,0.79,1,2.0,2.0,1,0,0,0,0,0,,,0,,,0,0,0,0
2022,Cal Poly,0,0,,,0,,,0,0,0,0,2,1,0.86,0.86,2,6.0,3.0,0,2,0,0
2022,California,6,4,3.52,0.88,5,17.0,3.4,0,3,2,0,11,5,4.36,0.8720000000000001,10,30.0,3.0,1,8,1,0
2022,Campbell,4,0,0.0,,4,13.0,3.25,0,3,1,0,3,1,0.84,0.84,1,3.0,3.0,0,1,0,0
2022,Central Arkansas,6,3,2.37,0.79,5,14.0,2.8,1,4,0,0,2,2,1.72,0.86,2,7.0,3.5,0,1,1,0
2022,Central Michigan,2,2,1.62,0.81,2,5.0,2.5,1,1,0,0,17,8,6.76,0.845,17,49.0,2.8823529411764706,4,11,2,0
