season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2021,Abilene Christian,4,0,0.0,,4,12.0,3.0,1,2,1,0,2,1,0.84,0.84,1,3.0,3.0,0,1,0,0
2021,Air Force,2,0,0.0,,1,3.0,3.0,0,1,0,0,4,0,0.0,,2,6.0,3.0,0,2,0,0
2021,Akron,3,0,0.0,,3,9.0,3.0,0,3,0,0,14,0,0.0,,12,30.0,2.5,6,6,0,0
2021,Alabama,4,2,1.8599999999999999,0.9299999999999999,4,12.0,3.0,1,2,1,0,11,8,6.63,0.82875,11,34.0,3.090909090909091,0,10,1,0
2021,Alabama A&M,2,0,0.0,,2,8.0,4.0,0,0,2,0,1,1,0.83,0.83,1,3.0,3.0,0,1,0,0
2021,Alabama State,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2021,Alcorn State,2,0,0.0,,2,6.0,3.0,0,2,0,0,1,1,0.83,0.83,1,3.0,3.0,0,1,0,0
2021,American International,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2021,Angelo State,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2021,App State,7,1,0.8,0.8,4,12.0,3.0,0,4,0,0,4,0,0.0,,4,12.0,3.0,0,4,0,0
2021,Arizona,16,8,6.49,0.81125,16,44.0,2.75,4,12,0,0,18,3,2.46,0.82,17,50.0,2.9411764705882355,1,16,0,0
2021,Arizona State,7,4,3.33,0.8325,7,20.0,2.857142857142857,1,6,0,0,18,0,0.0,,11,34.0,3.090909090909091,0,10,1,0
2021,Arkansas,5,3,2.4699999999999998,0.8233333333333333,5,15.0,3.0,0,5,0,0,16,3,2.52,0.84,12,35.0,2.9166666666666665,1,11,0,0
2021,Arkansas State,17,2,1.61,0.805,17,49.0,2.8823529411764706,2,15,0,0,9,2,1.63,0.815,8,21.0,2.625,3,5,0,0
2021,Arkansas Tech,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2021,Arkansas-Pine Bluff,1,0,0.0,,0,0.0,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2021,Army,0,0,,,0,,,0,0,0,0,2,0,0.0,,2,5.0,2.5,1,1,0,0
2021,Auburn,10,8,6.76,0.845,10,31.0,3.1,0,9,1,0,22,7,5.85,0.8357142857142856,21,73.0,3.4761904761904763,0,11,10,0
2021,Austin Peay,3,0,0.0,,3,8.0,2.6666666666666665,1,2,0,0,5,0,0.0,,4,11.0,2.75,1,3,0,0
2021,Azusa Pacific,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2021,BYU,5,1,0.9,0.9,5,16.0,3.2,0,4,1,0,3,0,0.0,,2,6.0,3.0,0,2,0,0
2021,Ball State,2,0,0.0,,2,6.0,3.0,0,2,0,0,9,0,0.0,,6,16.0,2.6666666666666665,2,4,0,0
