season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2023,Abilene Christian,4,0,0.0,,4,12.0,3.0,1,2,1,0,2,1,0.85,0.85,2,5.0,2.5,1,1,0,0
2023,Air Force,0,0,,,0,,,0,0,0,0,8,0,0.0,,4,9.0,2.25,3,1,0,0
2023,Akron,4,1,0.86,0.86,4,13.0,3.25,0,3,1,0,12,2,1.68,0.84,12,32.0,2.6666666666666665,4,8,0,0
2023,Alabama,5,5,4.49,0.898,5,17.0,3.4,0,3,2,0,21,17,15.18,0.8929411764705882,21,70.0,3.3333333333333335,2,10,9,0
2023,Alabama A&M,2,1,0.81,0.81,2,6.0,3.0,0,2,0,0,0,0,,,0,,,0,0,0,0
2023,Alabama State,1,0,0.0,,1,3.0,3.0,0,1,0,0,1,0,0.0,,1,3.0,3.0,0,1,0,0
2023,Alcorn State,1,0,0.0,,1,4.0,4.0,0,0,1,0,0,0,,,0,,,0,0,0,0
2023,Angelo State,0,0,,,0,,,0,0,0,0,3,1,0.84,0.84,3,8.0,2.6666666666666665,1,2,0,0
2023,App State,13,1,0.84,0.84,12,32.0,2.6666666666666665,5,6,1,0,14,3,2.54,0.8466666666666667,14,40.0,2.857142857142857,2,12,0,0
2023,Arizona,8,8,6.97,0.87125,8,26.0,3.25,0,6,2,0,26,10,8.63,0.8630000000000001,26,80.0,3.076923076923077,1,22,3,0
2023,Arizona State,30,24,20.87,0.8695833333333334,28,87.0,3.107142857142857,0,25,3,0,30,16,13.58,0.84875,30,89.0,2.966666666666667,5,21,4,0
2023,Arkansas,17,17,15.03,0.8841176470588235,17,56.0,3.2941176470588234,0,12,5,0,31,9,7.99,0.8877777777777778,29,88.0,3.0344827586206895,5,18,6,0
2023,Arkansas State,8,0,0.0,,7,21.0,3.0,0,7,0,0,13,1,0.89,0.89,12,36.0,3.0,1,10,1,0
2023,Army,0,0,,,0,,,0,0,0,0,1,1,0.89,0.89,1,3.0,3.0,0,1,0,0
2023,Assumption,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2023,Auburn,21,19,16.990000000000002,0.8942105263157896,21,75.0,3.5714285714285716,0,9,12,0,21,7,6.16,0.88,21,67.0,3.1904761904761907,0,17,4,0
2023,Austin Peay,3,0,0.0,,3,9.0,3.0,0,3,0,0,4,3,2.62,0.8733333333333334,4,11.0,2.75,1,3,0,0
2023,BYU,20,17,14.82,0.871764705882353,20,61.0,3.05,2,15,3,0,21,7,6.21,0.8871428571428571,21,65.0,3.0952380952380953,2,15,4,0
2023,Ball State,10,1,0.83,0.83,7,19.0,2.7142857142857144,2,5,0,0,10,2,1.79,0.895,9,27.0,3.0,1,7,1,0
2023,Baylor,13,13,11.370000000000001,0.8746153846153847,13,41.0,3.1538461538461537,1,9,3,0,12,8,7.0600000000000005,0.8825000000000001,12,37.0,3.0833333333333335,1,9,2,0
2023,Bethune-Cookman,3,0,0.0,,3,8.0,2.6666666666666665,1,2,0,0,0,0,,,0,,,0,0,0,0
2023,Blinn College,1,1,0.84,0.84,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2023,Boise State,9,2,1.72,0.86,9,24.0,2.6666666666666665,3,6,0,0,17,4,3.46,0.865,16,48.0,3.0,1,14,1,0
2023,Boston College,9,9,7.91,0.8788888888888889,9,27.0,3.0,0,9,0,0,11,4,3.52,0.88,11,36.0,3.272727272727273,1,7,2,1
2023,Bowling Green,3,0,0.0,,3,10.0,3.3333333333333335,1,0,2,0,16,4,3.54,0.885,16,46.0,2.875,4,10,2,0
2023,Bryant,0,0,,,0,,,0,0,0,0,1,1,0.85,0.85,1,3.0,3.0,0,1,0,0
2023,Bucknell,1,0,0.0,,1,3.0,3.0,0,1,0,0,2,0,0.0,,1,2.0,2.0,1,0,0,0
2023,Buffalo,10,9,7.529999999999999,0.8366666666666666,10,29.0,2.9,1,9,0,0,14,2,1.6800000000000002,0.8400000000000001,14,38.0,2.7142857142857144,4,10,0,0
