gameId,season,seasonType,week,team,opponent,offense_plays,offense_drives,offense_ppa,offense_totalPPA,offense_successRate,offense_explosiveness,offense_powerSuccess,offense_stuffRate,offense_lineYards,offense_lineYardsTotal,offense_secondLevelYards,offense_secondLevelYardsTotal,offense_openFieldYards,offense_openFieldYardsTotal,offense_standardDowns_ppa,offense_standardDowns_successRate,offense_standardDowns_explosiveness,offense_passingDowns_ppa,offense_passingDowns_successRate,offense_passingDowns_explosiveness,offense_rushingPlays_ppa,offense_rushingPlays_totalPPA,offense_rushingPlays_successRate,offense_rushingPlays_explosiveness,offense_passingPlays_ppa,offense_passingPlays_totalPPA,offense_passingPlays_successRate,offense_passingPlays_explosiveness,defense_plays,defense_drives,defense_ppa,defense_totalPPA,defense_successRate,defense_explosiveness,defense_powerSuccess,defense_stuffRate,defense_lineYards,defense_lineYardsTotal,defense_secondLevelYards,defense_secondLevelYardsTotal,defense_openFieldYards,defense_openFieldYardsTotal,defense_standardDowns_ppa,defense_standardDowns_successRate,defense_standardDowns_explosiveness,defense_passingDowns_ppa,defense_passingDowns_successRate,defense_passingDowns_explosiveness,defense_rushingPlays_ppa,defense_rushingPlays_totalPPA,defense_rushingPlays_successRate,defense_rushingPlays_explosiveness,defense_passingPlays_ppa,defense_passingPlays_totalPPA,defense_passingPlays_successRate,defense_passingPlays_explosiveness
401207098,2020,regular,1,Houston Christian,North Texas,86.0,13.0,0.29517951894515626,25.38543862928344,0.47674418604651164,1.2146863730397666,0.8333333333333334,0.2,3.24,81.0,0.96,24.0,1.68,42.0,0.19450371504063413,0.5423728813559322,0.920663786661871,0.5151747941439269,0.3333333333333333,2.2601000134945064,0.0827956551639086,2.069891379097715,0.56,0.745835313411973,0.38222208606861846,23.315547250185727,0.4426229508196721,1.4577943298838076,86.0,13.0,0.5824923399532158,50.09434123597656,0.5116279069767442,1.6212881315156695,0.8571428571428571,0.07692307692307693,3.425,178.0,1.1923076923076923,62.0,2.6538461538461537,138.0,0.4389488155510553,0.5166666666666667,1.4244899072442265,0.9137466270351245,0.5,2.090576204778342,0.3218908870227191,16.738326125181395,0.4807692307692308,1.1979239926972725,0.9810592679645636,33.35601511079516,0.5588235294117647,2.1783462089082977
401207098,2020,regular,1,North Texas,Houston Christian,86.0,13.0,0.5824923399532158,50.09434123597656,0.5116279069767442,1.6212881315156695,0.8571428571428571,0.07692307692307693,3.425,178.0,1.1923076923076923,62.0,2.6538461538461537,138.0,0.4389488155510553,0.5166666666666667,1.4244899072442265,0.9137466270351245,0.5,2.090576204778342,0.3218908870227191,16.738326125181395,0.4807692307692308,1.1979239926972725,0.9810592679645636,33.35601511079516,0.5588235294117647,2.1783462089082977,86.0,13.0,0.29517951894515626,25.38543862928344,0.47674418604651164,1.2146863730397666,0.8333333333333334,0.2,3.24,81.0,0.96,24.0,1.68,42.0,0.19450371504063413,0.5423728813559322,0.920663786661871,0.5151747941439269,0.3333333333333333,2.2601000134945064,0.0827956551639086,2.069891379097715,0.56,0.745835313411973,0.38222208606861846,23.315547250185727,0.4426229508196721,1.4577943298838076
401207101,2020,regular,1,South Alabama,Southern Miss,68.0,11.0,0.29500108901620736,20.060074053102102,0.5,1.4008125290427442,1.0,0.18421052631578946,2.8,106.0,0.7894736842105263,30.0,0.868421052631579,33.0,0.023860543354440454,0.46,0.9342150716405059,1.0481692714100044,0.6111111111111112,2.376425394520152,0.11932761296062738,4.53444929250384,0.47368421052631576,0.7850569499839241,0.5175208253532754,15.525624760598262,0.5333333333333333,2.093537555483917,69.0,10.0,0.22743619017377498,15.693097121990473,0.4057971014492754,1.4383853728160607,0.625,0.2857142857142857,1.72,60.0,0.6,21.0,0.8857142857142857,31.0,0.09533945867401222,0.43478260869565216,0.986294243337148,0.4916296531733005,0.34782608695652173,2.5686131965133425,-0.08588075060201272,-3.005826271070445,0.34285714285714286,0.9532425026518304,0.549968335090027,18.69892339306092,0.47058823529411764,1.8022425254392334
401207101,2020,regular,1,Southern Miss,South Alabama,69.0,10.0,0.22743619017377498,15.693097121990473,0.4057971014492754,1.4383853728160607,0.625,0.2857142857142857,1.72,60.0,0.6,21.0,0.8857142857142857,31.0,0.09533945867401222,0.43478260869565216,0.986294243337148,0.4916296531733005,0.34782608695652173,2.5686131965133425,-0.08588075060201272,-3.005826271070445,0.34285714285714286,0.9532425026518304,0.549968335090027,18.69892339306092,0.47058823529411764,1.8022425254392334,68.0,11.0,0.29500108901620736,20.060074053102102,0.5,1.4008125290427442,1.0,0.18421052631578946,2.8,106.0,0.7894736842105263,30.0,0.868421052631579,33.0,0.023860543354440454,0.46,0.9342150716405059,1.0481692714100044,0.6111111111111112,2.376425394520152,0.11932761296062738,4.53444929250384,0.47368421052631576,0.7850569499839241,0.5175208253532754,15.525624760598262,0.5333333333333333,2.093537555483917
401207102,2020,regular,8,Chattanooga,Western Kentucky,65.0,10.0,0.0031709265012062043,0.20611022257840328,0.3076923076923077,1.1819451158679601,1.0,0.175,3.02,121.0,0.775,31.0,0.125,5.0,-0.12281600253737453,0.35,0.8582181934772665,0.20475001296293538,0.24,1.937307934779579,0.12824495692342935,5.129798276937174,0.35,1.2202622772967024,-0.19694752217435083,-4.92368805435877,0.24,1.0925384058675616,58.0,9.0,-0.03684117685764799,-2.1367882577435835,0.3448275862068966,1.140750516455994,0.4,0.375,1.509375,48.0,0.8125,26.0,1.3125,42.0,0.013073555078252816,0.40476190476190477,0.9285802908523741,-0.16786734818938762,0.1875,2.3430484615431726,-0.24601854384215915,-7.872593402949093,0.34375,0.8229579982231834,0.2206078902002119,5.73580514520551,0.34615384615384615,1.5291635942960957
401207102,2020,regular,8,Western Kentucky,Chattanooga,58.0,9.0,-0.03684117685764799,-2.1367882577435835,0.3448275862068966,1.140750516455994,0.4,0.375,1.509375,48.0,0.8125,26.0,1.3125,42.0,0.013073555078252816,0.40476190476190477,0.9285802908523741,-0.16786734818938762,0.1875,2.3430484615431726,-0.24601854384215915,-7.872593402949093,0.34375,0.8229579982231834,0.2206078902002119,5.73580514520551,0.34615384615384615,1.5291635942960957,65.0,10.0,0.0031709265012062043,0.20611022257840328,0.3076923076923077,1.1819451158679601,1.0,0.175,3.02,121.0,0.775,31.0,0.125,5.0,-0.12281600253737453,0.35,0.8582181934772665,0.20475001296293538,0.24,1.937307934779579,0.12824495692342935,5.129798276937174,0.35,1.2202622772967024,-0.19694752217435083,-4.92368805435877,0.24,1.0925384058675616
401207106,2020,regular,3,Louisiana Tech,Southern Miss,77.0,10.0,0.2505145393012385,19.289619526195366,0.45454545454545453,1.208409402385281,0.8333333333333334,0.125,3.4475,138.0,1.075,43.0,0.525,21.0,0.14006622967790272,0.5,0.9701397363206606,0.5098279618951573,0.34782608695652173,2.012569525353374,0.27322430269373627,10.92897210774945,0.5,0.9049012553804424,0.22596344374178154,8.360647418445916,0.40540540540540543,1.6130869317250653,60.0,9.0,0.21853307401395888,13.111984440837533,0.5,1.2897094904019417,0.7142857142857143,0.17857142857142858,2.682142857142857,75.0,1.1071428571428572,31.0,1.3214285714285714,37.0,0.23113233071451264,0.5365853658536586,1.1484031619390207,0.19134520429171126,0.42105263157894735,1.6783018936749743,0.24598340702634564,6.887535396737678,0.5714285714285714,0.9400853283878858,0.19451403262812048,6.224449044099855,0.4375,1.6892799612751483
401207106,2020,regular,3,Southern Miss,Louisiana Tech,60.0,9.0,0.21853307401395888,13.111984440837533,0.5,1.2897094904019417,0.7142857142857143,0.17857142857142858,2.682142857142857,75.0,1.1071428571428572,31.0,1.3214285714285714,37.0,0.23113233071451264,0.5365853658536586,1.1484031619390207,0.19134520429171126,0.42105263157894735,1.6783018936749743,0.24598340702634564,6.887535396737678,0.5714285714285714,0.9400853283878858,0.19451403262812048,6.224449044099855,0.4375,1.6892799612751483,77.0,10.0,0.2505145393012385,19.289619526195366,0.45454545454545453,1.208409402385281,0.8333333333333334,0.125,3.4475,138.0,1.075,43.0,0.525,21.0,0.14006622967790272,0.5,0.9701397363206606,0.5098279618951573,0.34782608695652173,2.012569525353374,0.27322430269373627,10.92897210774945,0.5,0.9049012553804424,0.22596344374178154,8.360647418445916,0.40540540540540543,1.6130869317250653
401207113,2020,regular,2,Texas State,UTSA,76.0,17.0,0.11726373960809958,8.912044210215567,0.42105263157894735,1.3104948442415287,0.8333333333333334,0.21875,3.071875,98.0,1.53125,49.0,0.90625,29.0,0.06370454499301342,0.4489795918367347,1.1088919228806131,0.21446375946510776,0.37037037037037035,1.754021271235543,0.21697819439497493,6.943302220639198,0.46875,0.9428700387185177,0.04474413612673568,1.96874198957637,0.38636363636363635,1.6348696726441854,82.0,17.0,0.21263361055618088,17.43595606560683,0.3902439024390244,1.3089454647594296,0.75,0.18,2.86,143.0,1.14,57.0,3.0,150.0,0.17652971087246283,0.45,1.0999754905908947,0.3110987915117756,0.22727272727272727,2.4373833252695185,0.2238360359623293,11.191801798116465,0.42,1.2574604561981235,0.195129820859074,6.244154267490368,0.34375,1.4072350265582867
401207113,2020,regular,2,UTSA,Texas State,82.0,17.0,0.21263361055618088,17.43595606560683,0.3902439024390244,1.3089454647594296,0.75,0.18,2.86,143.0,1.14,57.0,3.0,150.0,0.17652971087246283,0.45,1.0999754905908947,0.3110987915117756,0.22727272727272727,2.4373833252695185,0.2238360359623293,11.191801798116465,0.42,1.2574604561981235,0.195129820859074,6.244154267490368,0.34375,1.4072350265582867,76.0,17.0,0.11726373960809958,8.912044210215567,0.42105263157894735,1.3104948442415287,0.8333333333333334,0.21875,3.071875,98.0,1.53125,49.0,0.90625,29.0,0.06370454499301342,0.4489795918367347,1.1088919228806131,0.21446375946510776,0.37037037037037035,1.754021271235543,0.21697819439497493,6.943302220639198,0.46875,0.9428700387185177,0.04474413612673568,1.96874198957637,0.38636363636363635,1.6348696726441854
