gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
400934488,2017,1,regular,Northern Iowa,MVFC,away,24,0,7,0,2,3,81,0,4,6,11,0,1,0,,4,0,42,0,1,2,29:04,3,0,3,8-71,5.4,22,119,6.8,23-38,259,378,0-0,3-11,21
400934488,2017,1,regular,Iowa State,Big 12,home,42,2,11,0,3,2,58,0,2,6,34,2,3,0,,6,2,38,2,2,3,30:56,1,0,1,7-74,3.8,35,134,7.5,27-36,271,405,2-2,7-15,24
400934496,2017,1,regular,Eastern Washington,Big Sky,away,10,0,,,,1,60,0,3,4,,,,0,1,7,0,57,2,1,1,27:21,2,1,3,5-55,2.3,36,81,6.1,23-36,220,301,1-2,6-15,19
400934496,2017,1,regular,Texas Tech,Big 12,home,56,3,4,0,2,4,,,,8,35,1,2,1,2,7,1,42,1,0,4,32:39,0,0,0,11-120,4.4,40,177,12.8,31-35,449,626,0-2,5-10,32
400934490,2017,1,regular,Southeast Missouri State,OVC,away,16,0,79,0,3,2,37,0,3,4,18,0,2,1,1,6,0,42,1,2,3,34:51,0,1,1,6-52,2.4,34,83,4.0,25-43,170,253,1-4,6-20,13
400934490,2017,1,regular,Kansas,Big 12,home,38,1,28,0,4,4,64,0,4,8,,,,1,2,7,0,54,1,5,7,25:09,2,1,3,5-49,2.9,25,73,9.8,23-37,364,437,1-1,6-15,17
400934494,2017,1,regular,Jackson State,SWAC,away,0,0,,,,0,72,0,5,,25,0,1,0,2,3,0,33,0,0,1,33:17,1,1,2,3-10,0.6,42,24,2.9,7-14,41,65,0-1,1-14,7
400934494,2017,1,regular,TCU,Big 12,home,63,1,17,0,2,6,12,0,1,9,53,1,1,0,1,15,1,27,5,1,1,26:43,1,0,1,5-51,6.7,36,242,10.0,23-30,300,542,0-2,7-11,24
400934497,2017,1,regular,Virginia Tech,ACC,home,31,3,5,0,1,1,93,0,3,7,8,0,1,0,,5,0,52,2,7,9,31:00,0,0,0,5-34,5.2,45,234,8.7,15-27,235,469,1-1,3-15,21
400934497,2017,1,regular,West Virginia,Big 12,away,24,0,-3,0,1,3,,,,6,,,,0,1,8,0,41,1,3,4,29:00,1,0,1,9-81,6.3,35,221,6.9,31-54,371,592,2-3,5-19,29
400934492,2017,1,regular,Oklahoma,Big 12,home,56,4,26,0,4,4,23,0,1,8,,,,1,0,4,0,30,1,3,4,34:36,0,0,0,5-60,4.7,38,180,13.8,32-36,496,676,0-2,4-7,35
400934492,2017,1,regular,UTEP,Conference USA,away,7,1,,,,0,45,0,2,1,,,,0,1,5,0,46,1,1,1,25:24,0,1,1,5-50,3.5,21,73,3.5,16-27,94,167,0-0,4-12,11
400935257,2017,1,regular,Stanford,Pac-12,away,62,5,32,0,3,3,,,,14,2,0,1,1,1,7,0,34,2,0,4,33:38,0,0,0,4-35,8.0,36,287,10.0,21-37,369,656,0-1,6-9,27
400935257,2017,1,regular,Rice,Conference USA,home,7,1,12,0,1,0,70,0,4,1,,,,0,3,3,0,39,2,2,6,26:22,1,1,2,6-45,3.8,38,146,4.0,10-24,95,241,0-2,5-15,14
400935253,2017,1,regular,Southern Utah,Big Sky,away,21,2,14,0,1,1,143,0,7,3,,,,2,0,4,0,48,1,1,1,33:46,2,0,2,5-52,2.6,38,99,5.5,25-48,266,365,0-3,4-18,25
400935253,2017,1,regular,Oregon,Pac-12,home,77,9,24,0,2,1,157,1,4,11,5,0,2,0,2,7,1,44,5,0,8,26:14,0,2,2,12-115,6.7,52,348,13.1,23-27,355,703,0-0,5-8,37
400935250,2017,1,regular,Rutgers,Big Ten,home,14,0,2,0,1,2,82,0,5,2,,,,0,,2,0,27,1,5,7,38:09,2,0,2,4-25,3.1,42,131,5.1,24-35,178,309,1-2,9-19,19
400935250,2017,1,regular,Washington,Pac-12,away,30,0,80,1,2,2,33,0,2,12,17,0,2,0,1,6,1,55,1,1,5,21:51,0,0,0,6-56,3.5,24,84,9.5,17-30,284,368,0-0,3-11,17
400935256,2017,1,regular,North Carolina,ACC,home,30,3,17,0,1,1,68,0,3,6,73,0,2,0,1,6,0,34,1,3,4,30:13,2,1,3,7-50,4.9,45,219,5.0,25-44,221,440,1-2,7-16,28
400935256,2017,1,regular,California,Pac-12,away,35,1,,,,4,50,0,3,5,42,0,2,0,1,4,0,46,2,4,4,29:47,2,0,2,9-57,3.0,35,106,9.6,24-38,363,469,2-2,8-18,20
400935282,2017,1,regular,Colorado State,Mountain West,home,58,3,-3,0,1,3,86,0,3,16,61,1,3,2,2,6,1,37,1,10,4,34:19,1,1,2,8-40,4.4,43,191,8.6,26-39,334,525,1-1,8-14,31
400935282,2017,1,regular,Oregon State,Pac-12,away,27,1,,,,2,109,0,5,9,0,0,1,1,2,2,0,46,0,5,3,25:41,3,2,5,3-21,5.2,29,152,6.5,27-47,304,456,0-0,10-16,23
400935254,2017,1,regular,Portland State,Big Sky,away,32,3,15,0,1,2,69,0,5,0,3,0,1,1,1,2,0,45,0,0,1,36:22,2,1,3,5-55,5.4,54,291,8.0,16-28,224,515,2-4,4-13,28
400935254,2017,1,regular,Oregon State,Pac-12,home,35,3,,,,1,122,0,6,5,38,1,2,1,2,6,1,59,0,1,2,23:38,1,1,2,5-52,4.8,32,154,9.4,18-25,235,389,0-0,3-10,18
400935255,2017,1,regular,Montana State,Big Sky,away,0,0,0,0,1,0,52,0,3,0,,,,1,0,3,0,44,2,0,0,26:52,1,0,1,4-23,3.6,32,115,2.3,5-12,28,143,2-2,1-11,7
400935255,2017,1,regular,Washington State,Pac-12,home,31,1,22,0,3,3,23,0,1,7,0,0,1,0,2,8,0,25,3,2,1,33:08,0,1,1,4-32,6.0,25,150,7.5,40-48,361,511,0-0,10-14,27
400935252,2017,1,regular,Western Michigan,Mid-American,away,31,2,0,0,1,1,168,1,4,7,20,0,2,0,1,3,1,39,2,0,2,34:38,1,0,1,6-34,5.5,48,263,4.1,12-23,94,357,0-0,5-14,24
400935252,2017,1,regular,USC,Pac-12,home,49,6,15,0,1,0,75,0,4,7,37,1,1,0,1,4,1,41,1,0,6,25:22,2,0,2,9-94,6.8,34,232,8.8,23-33,289,521,0-0,7-11,25
400945031,2017,1,regular,Portland State,Big Sky,away,6,0,2,0,2,1,38,0,3,0,,,,0,,2,0,40,1,1,6,30:21,1,0,1,7-70,2.4,36,86,3.7,16-36,134,220,2-4,7-19,14
400945031,2017,1,regular,BYU,FBS Independents,home,20,1,-5,0,2,1,38,0,2,8,27,0,1,0,1,8,0,42,3,2,2,29:39,0,0,0,7-70,4.9,35,171,7.2,16-27,194,365,0-1,4-13,13
400933833,2017,1,regular,LSU,SEC,home,27,3,26,0,3,0,21,0,1,9,0,0,1,0,,3,0,24,3,2,5,41:54,0,0,0,10-86,5.2,57,296,10.2,15-18,183,479,0-1,5-10,26
400933833,2017,1,regular,BYU,FBS Independents,away,0,0,,,,0,96,0,5,,,,,0,,4,0,42,0,1,1,18:06,1,0,1,5-39,-0.4,14,-5,4.3,12-24,102,97,0-1,2-10,6
400933829,2017,1,regular,Georgia Southern,Sun Belt,away,7,0,,,,0,15,0,1,1,0,0,1,2,0,8,0,39,3,11,3,29:28,1,0,1,3-15,1.5,47,70,0.9,4-9,8,78,1-2,0-15,8
400933829,2017,1,regular,Auburn,SEC,home,41,3,6,0,1,2,29,0,1,11,0,0,1,0,4,12,0,34,5,5,1,30:32,1,2,3,4-42,6.6,53,351,7.1,15-26,184,535,2-3,6-16,25
400938594,2017,1,regular,Marshall,Conference USA,home,31,0,0,0,1,1,214,2,5,7,72,1,1,1,1,4,3,36,2,20,7,24:16,1,1,2,6-43,2.4,25,59,6.9,20-30,208,267,0-1,7-13,15
400938594,2017,1,regular,Miami (OH),Mid-American,away,26,1,9,0,1,2,11,0,1,8,0,0,1,1,2,5,0,22,1,4,3,35:44,1,1,2,5-51,3.1,42,131,6.8,23-44,298,429,3-3,8-17,25
400944892,2017,1,regular,Hampton,MEAC,away,0,0,-1,0,1,0,130,0,9,,0,0,1,0,3,7,0,31,0,0,1,24:17,0,2,2,10-67,1.5,32,47,2.5,6-24,61,108,0-0,2-15,7
