gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401655657,2024,1,regular,Butler,Pioneer,home,40,2,4,15,0,1,4,33,0,3,1,2,23:28,2,0,2,2-15,5.4,27,146,11.0,14-22,242,388,1-2,5-12,13,,,,,,,,,
401655657,2024,1,regular,Upper Iowa,Great Lakes,away,7,0,1,73,0,4,1,0,0,2,0,,36:32,3,0,3,9-65,4.7,42,197,3.9,12-31,121,318,3-5,5-16,15,6,0,1,,,,,,
401655628,2024,1,regular,Northern Arizona,Big Sky,home,66,5,3,42,0,2,8,0,0,1,0,1,25:20,1,0,1,4-25,6.9,34,233,12.2,14-18,219,452,1-2,4-7,22,141,1,6,,,,,,
401655628,2024,1,regular,Lincoln (CA),Independent DII,away,6,0,1,13,0,1,,0,0,1,0,,31:23,1,0,1,8-58,3.2,29,94,4.1,11-20,81,175,0-1,5-14,6,,,,,,,,,
401628456,2024,1,regular,Oregon,Big Ten,home,24,1,2,,,,6,0,0,2,0,1,39:15,0,1,1,8-60,2.9,37,107,7.6,41-50,380,487,1-3,7-16,31,-9,0,3,7,0,14,4,2,1
401628456,2024,1,regular,Idaho,Big Sky,away,14,1,1,,,,2,,,,1,2,20:45,2,0,2,3-15,2.5,20,49,6.2,11-27,168,217,0-1,2-12,10,,,,6,0,48,3,0,3
401654562,2024,1,regular,South Dakota,MVFC,home,45,4,0,97,0,1,9,7,0,2,1,1,28:05,0,0,0,3-35,7.0,38,266,6.5,9-13,85,351,0-0,3-7,20,54,0,2,,,,,,
401654562,2024,1,regular,Northern State,Northern Sun,away,3,0,0,69,0,5,3,,,,0,3,31:55,2,1,3,6-52,3.7,40,147,4.6,8-13,60,207,0-1,6-15,11,0,0,1,,,,,,
401655860,2024,1,regular,St. Thomas (MN),Pioneer,home,13,0,1,61,0,4,1,26,0,1,1,1,19:30,1,0,1,12-103,1.4,16,22,4.3,14-35,150,172,1-2,1-13,8,,,,,,,,,
401655860,2024,1,regular,Sioux Falls,Northern Sun,away,34,4,0,,,,6,0,0,1,1,2,40:30,1,0,1,5-32,3.7,55,205,6.5,17-29,189,394,2-3,10-20,24,3,0,1,,,,,,
401673041,2024,1,regular,Morehead State,Pioneer,home,17,2,0,92,0,3,5,21,0,1,0,1,32:29,0,0,0,3-35,3.8,41,155,4.4,12-29,128,283,1-2,7-17,18,,,,,,,,,
401673041,2024,1,regular,Central State,SIAC,away,10,1,0,54,0,4,4,,,,0,2,27:31,1,0,1,7-55,4.4,29,128,3.8,11-31,119,247,1-2,2-12,13,,,,,,,,,
401629039,2024,1,regular,Eastern Michigan,Mid-American,away,28,2,1,,,,8,,,,0,,26:37,0,0,0,7-82,3.8,35,134,8.3,17-29,241,375,1-2,7-15,21,,,,9,0,25,6,0,2
401629039,2024,1,regular,Massachusetts,FBS Independents,home,14,2,0,64,0,3,2,,,,1,1,33:23,0,0,0,10-99,3.7,41,152,5.9,20-30,177,329,1-3,10-17,24,9,0,1,2,0,21,0,1,4
401634212,2024,1,regular,South Dakota State,MVFC,away,20,0,2,78,0,4,8,,,,0,,30:47,1,0,1,5-42,4.4,28,124,7.1,20-37,264,388,0-4,3-13,17,,,,3,0,39,0,3,2
401634212,2024,1,regular,Oklahoma State,Big 12,home,44,2,3,55,0,3,14,3,0,1,0,,29:13,0,0,0,1-10,3.3,38,127,7.9,25-34,267,394,2-2,5-14,23,0,0,2,4,0,36,2,7,3
401636612,2024,1,regular,UT Martin,Big South-OVC,away,6,0,0,,,,6,15,0,1,3,2,33:30,0,0,0,4-25,0.9,38,36,5.8,10-17,98,134,0-0,6-17,8,,,,3,0,41,0,1,1
401636612,2024,1,regular,Kansas State,Big 12,home,41,2,2,32,0,1,11,,,,0,1,26:22,1,1,2,0-0,9.1,31,283,6.6,16-25,166,449,1-1,4-10,20,37,1,5,11,1,40,4,3,1
401636610,2024,1,regular,Tarleton State,UAC,away,3,0,0,16,0,1,3,0,0,2,1,1,31:20,1,0,1,7-71,2.5,41,101,5.3,7-15,80,181,0-1,2-15,9,,,,4,0,43,1,0,1
401636610,2024,1,regular,Baylor,Big 12,home,45,2,3,8,0,1,9,35,1,1,1,1,28:40,2,0,2,6-67,3.8,43,164,9.9,18-28,278,442,1-2,10-15,24,18,0,2,4,1,37,2,2,1
401634197,2024,1,regular,North Dakota,MVFC,away,3,0,0,,,,3,,,,0,1,37:51,1,0,1,3-15,4.1,42,174,4.0,17-30,121,295,1-1,11-20,20,,,,2,0,23,0,1,1
401634197,2024,1,regular,Iowa State,Big 12,home,21,1,2,,,,3,24,0,1,0,,22:09,0,0,0,4-30,3.9,22,86,10.3,20-26,267,353,0-0,5-10,18,14,0,1,6,0,36,2,6,2
401636613,2024,1,regular,Abilene Christian,UAC,away,51,4,3,45,0,2,9,,,,0,2,33:48,0,1,1,6-49,3.1,35,109,9.9,36-51,506,615,1-2,11-16,30,,,,4,0,43,1,2,3
401636613,2024,1,regular,Texas Tech,Big 12,home,52,1,5,200,0,5,14,,,,1,0,26:07,0,0,0,11-78,5.0,32,161,9.0,30-42,378,539,1-3,8-15,27,,,,7,0,47,0,2,4
401636606,2024,1,regular,Lindenwood,Big South-OVC,away,3,0,0,14,0,1,3,5,0,1,1,1,28:58,1,0,1,6-62,2.8,27,75,4.1,18-31,127,202,0-1,7-16,12,,,,0,0,44,0,1,1
401636606,2024,1,regular,Kansas,Big 12,home,48,4,2,15,0,1,6,33,1,1,0,1,31:02,1,1,2,2-23,7.5,44,331,9.5,14-21,199,530,3-3,6-10,26,,,,5,1,38,2,3,6
401634300,2024,1,regular,Stanford,ACC,home,27,1,2,11,0,1,9,,,,2,1,29:45,1,0,1,4-24,3.3,37,121,4.6,18-36,165,286,2-5,5-15,17,,,,4,0,40,1,2,2
401634300,2024,1,regular,TCU,Big 12,away,34,2,2,54,0,3,10,6,0,1,0,3,30:15,0,2,2,7-100,3.1,34,104,8.4,28-42,353,457,0-1,8-15,24,17,0,2,10,0,35,4,5,4
401628457,2024,1,regular,Penn State,Big Ten,away,34,1,4,61,0,4,4,0,0,1,2,1,30:25,0,1,1,8-60,5.3,42,222,13.1,12-18,235,457,1-1,5-11,21,,,,6,0,35,2,0,5
401628457,2024,1,regular,West Virginia,Big 12,home,12,1,0,35,0,2,6,,,,3,4,29:35,1,2,3,1-5,2.3,37,85,5.6,15-29,161,246,3-4,4-14,19,,,,2,0,32,0,0,2
401636607,2024,1,regular,Utah,Big 12,home,49,1,6,,,,7,13,0,1,0,2,31:15,2,0,2,6-55,4.7,39,185,12.6,17-26,328,513,2-3,6-13,26,-7,0,3,8,0,30,5,0,3
