gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401754523,2025,1,regular,TCU,Big 12,away,48,2,,,,2,,,,12,25,1,1,2,0,32:09,1,0,1,5-58,7.4,35,258,7.7,27-37,284,542,1-1,7-12,29,8,2,32,2,1,1
401756878,2025,1,regular,Robert Morris,NEC,away,3,0,,,,0,50,0,3,3,,,,3,2,32:30,0,2,2,4-24,1.4,37,53,3.2,7-22,70,123,0-0,3-15,8,3,0,49,1,1,0
401756878,2025,1,regular,West Virginia,Big 12,home,45,5,52,0,5,1,48,0,2,9,,,,2,5,27:30,0,4,4,9-69,7.4,53,393,10.1,18-23,232,625,1-2,5-11,26,8,0,31,4,4,2
401767080,2025,1,regular,Idaho State,Big Sky,away,24,1,,,,1,78,0,3,6,,,,1,0,22:47,1,0,1,3-30,1.4,16,23,6.8,24-50,338,361,1-3,4-14,19,,,,,,
401767080,2025,1,regular,Southern Utah,UAC,home,46,3,,,,3,24,0,2,8,6,0,1,,,37:13,0,1,1,6-40,6.5,50,323,9.6,19-25,240,563,1-1,8-14,28,,,,,,
401767156,2025,1,regular,UC Davis,Big Sky,away,31,1,47,0,3,3,23,0,1,7,31,0,2,2,1,27:45,1,1,2,6-63,3.8,43,164,8.2,21-31,253,417,0-2,6-15,21,,,,,,
401767156,2025,1,regular,Utah Tech,UAC,home,24,1,1,0,3,2,13,0,1,6,0,0,1,1,2,32:15,2,2,4,3-30,2.7,30,81,6.2,28-44,272,353,0-2,7-16,18,,,,,,
401767657,2025,1,regular,Sacred Heart,FCS Independents,home,12,1,,,,0,66,0,2,4,7,0,1,,,32:22,1,0,1,4-40,3.9,43,169,5.7,11-21,119,288,1-3,7-14,18,,,,,,
401767657,2025,1,regular,Stonehill,NEC,away,7,0,15,0,1,1,23,0,1,1,0,0,1,,,27:38,1,0,1,7-45,2.0,24,49,5.4,30-39,212,261,4-5,1-12,16,,,,,,
401767454,2025,1,regular,East Tennessee State,Southern,home,45,5,9,0,1,1,9,0,1,9,1,0,2,0,2,31:09,1,1,2,5-53,6.8,58,392,7.2,17-25,180,572,3-3,6-12,31,,,,,,
401767454,2025,1,regular,Murray State,MVFC,away,17,1,,,,1,51,0,4,5,16,0,1,1,1,28:51,2,0,2,6-35,1.2,28,34,6.5,22-35,226,260,2-3,2-12,18,,,,,,
401762457,2025,1,regular,Tulsa,American Athletic,home,35,2,9,0,1,2,,,,9,4,0,1,,,33:05,0,0,0,10-53,6.2,43,268,6.9,22-34,236,504,4-4,8-19,25,9,0,27,5,1,2
401762457,2025,1,regular,Abilene Christian,UAC,away,7,1,18,0,2,0,74,0,2,1,,,,0,1,26:55,1,0,1,3-25,3.0,40,120,7.4,13-19,140,260,1-3,5-15,13,2,0,33,0,0,3
401757222,2025,1,regular,Middle Tennessee,Conference USA,home,14,0,15,0,3,2,35,0,1,2,,,,,,21:25,0,0,0,4-50,2.0,22,44,2.9,16-37,109,153,1-4,0-12,13,7,0,34,3,5,4
401757222,2025,1,regular,Austin Peay,UAC,away,34,2,62,0,2,2,,,,10,,,,0,2,38:35,0,0,0,9-88,3.2,47,150,7.1,14-27,193,343,1-1,7-17,19,8,0,26,5,4,7
401752674,2025,1,regular,Missouri,SEC,home,61,4,50,0,2,3,18,0,1,13,83,1,1,1,1,30:09,0,0,0,8-70,5.8,38,219,11.0,26-31,341,560,1-1,9-13,25,7,1,35,2,1,4
401752674,2025,1,regular,Central Arkansas,UAC,away,6,0,,,,1,111,0,7,,,,,0,1,29:51,1,1,2,5-60,3.9,39,154,3.2,13-23,73,227,1-1,2-13,15,2,0,32,1,1,1
401754519,2025,1,regular,Louisville,ACC,home,51,4,134,1,6,2,88,0,2,9,,,,,,30:25,3,0,3,12-106,7.6,30,229,8.5,25-37,313,542,0-0,6-9,28,6,1,34,4,1,3
401754519,2025,1,regular,Eastern Kentucky,UAC,away,17,1,,,,0,51,0,3,5,92,1,3,0,1,29:35,0,0,0,8-51,1.9,39,74,5.4,5-14,76,150,0-0,3-14,10,1,1,37,0,1,3
401757226,2025,1,regular,Western Kentucky,Conference USA,home,55,1,10,0,1,6,,,,13,,,,1,0,30:11,0,0,0,12-130,5.2,32,165,10.2,30-39,399,564,1-2,5-12,26,7,0,42,2,3,6
401757226,2025,1,regular,North Alabama,UAC,away,6,0,-6,0,2,0,27,0,2,6,,,,0,2,29:49,0,1,1,7-80,4.1,37,153,3.0,16-35,105,258,0-3,5-17,17,2,0,40,0,1,2
401762432,2025,1,regular,Army,American Athletic,home,27,3,60,0,3,0,17,0,1,9,,,,0,2,36:34,2,1,3,5-35,4.2,66,280,8.2,8-16,131,411,1-2,6-16,24,7,0,36,2,4,5
401762432,2025,1,regular,Tarleton State,UAC,away,30,2,,,,1,31,0,2,12,34,0,2,1,2,23:26,0,0,0,9-73,4.6,42,192,5.1,16-30,152,344,1-2,6-18,16,9,0,45,0,4,2
401767126,2025,1,regular,Portland State,Big Sky,home,0,0,,,,0,144,0,7,0,,,,1,1,32:22,3,1,4,6-45,3.7,29,108,4.8,18-35,169,277,0-1,4-14,17,,,,,,
401767126,2025,1,regular,Tarleton State,UAC,away,42,3,,,,2,,,,6,91,1,3,1,3,27:38,0,1,1,4-30,7.9,38,301,6.1,14-25,152,453,1-1,6-12,22,,,,,,
401752666,2025,1,regular,Arkansas,SEC,home,52,0,28,0,5,7,53,0,2,10,,,,2,1,33:39,0,0,0,3-20,4.9,40,194,9.9,26-36,358,552,0-0,9-14,29,6,0,34,2,10,5
401752666,2025,1,regular,Alabama A&M,SWAC,away,7,1,5,0,1,0,53,0,3,1,,,,0,1,26:21,0,2,2,7-42,2.7,26,69,5.7,15-29,166,235,0-0,1-12,12,5,0,37,2,3,2
401757218,2025,1,regular,Sam Houston,Conference USA,away,24,2,19,0,2,0,,,,6,,,,2,0,27:04,1,0,1,7-51,5.6,31,173,7.0,19-30,209,382,0-3,2-14,14,7,1,49,2,2,5
401757218,2025,1,regular,Western Kentucky,Conference USA,home,41,2,-3,0,1,3,83,0,4,11,6,0,1,0,2,32:56,0,2,2,2-17,3.0,35,105,7.9,33-51,401,506,0-1,11-19,26,9,0,31,2,2,4
401757225,2025,1,regular,Utah State,Mountain West,home,28,2,22,0,5,1,35,0,2,8,0,0,1,,,30:37,0,0,0,11-73,4.2,31,129,8.3,19-28,233,362,0-0,2-12,18,7,0,41,2,2,2
401757225,2025,1,regular,UTEP,Conference USA,away,16,1,24,0,5,1,49,0,3,4,,,,,,29:23,1,0,1,7-63,2.9,35,103,5.0,23-36,181,284,2-2,4-15,19,12,0,37,6,2,4
401757221,2025,1,regular,SE Louisiana,Southland,away,0,0,25,0,3,0,,,,,,,,0,2,27:53,2,1,3,7-43,2.9,44,128,4.7,15-31,145,273,0-2,9-18,18,8,0,36,3,0,2
401757221,2025,1,regular,Louisiana Tech,Conference USA,home,24,1,25,0,3,1,41,0,1,6,25,0,2,1,0,32:07,0,0,0,5-50,4.2,32,133,6.8,14-19,130,263,0-1,3-10,14,11,1,33,4,0,6
401766898,2025,1,regular,Bethune-Cookman,SWAC,away,9,0,9,0,2,0,51,0,3,9,,,,1,2,27:59,0,1,1,8-75,3.5,30,105,6.2,23-39,241,346,0-3,5-15,17,6,0,36,0,3,3
401766898,2025,1,regular,Florida International,Conference USA,home,42,6,2,0,2,0,103,0,4,6,,,,1,1,32:01,0,1,1,7-40,5.9,38,223,6.7,22-35,233,456,1-2,8-14,28,6,0,33,2,4,2
401762430,2025,1,regular,UAB,American Athletic,home,52,5,38,0,2,2,143,0,7,8,,,,1,0,25:46,0,0,0,5-40,7.8,35,273,10.7,18-23,247,520,1-2,4-7,24,5,0,35,2,1,2
401762430,2025,1,regular,Alabama State,SWAC,away,42,2,,,,4,73,0,4,6,,,,0,1,34:14,0,1,1,7-44,4.9,41,202,13.0,18-24,312,514,0-0,13-15,26,2,0,46,0,1,3
401788977,2025,1,regular,Langston,,away,7,0,0,0,1,1,39,0,3,1,,,,1,2,22:56,1,2,3,5-41,-1.5,21,-32,4.0,14-32,129,97,0-1,3-15,6,,,,,,
401788977,2025,1,regular,Grambling,SWAC,home,55,4,81,0,4,4,0,0,1,7,29,0,1,2,2,37:04,0,1,1,7-60,5.1,43,219,7.5,26-33,247,466,1-3,7-14,25,,,,,,
401767179,2025,1,regular,Hampton,Coastal Athletic,away,14,1,2,0,4,1,19,0,2,2,,,,0,4,33:33,1,2,3,5-33,4.3,41,175,6.9,21-29,201,376,1-3,5-14,20,,,,,,
401767179,2025,1,regular,Jackson State,SWAC,home,28,4,31,0,3,0,46,0,2,4,5,0,1,2,1,26:27,0,0,0,10-89,8.8,32,283,4.8,15-30,143,426,0-0,6-14,19,,,,,,
