gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
401403974,2022,1,regular,Washington State,Pac-12,home,24,0,6,0,2,3,20,0,1,6,11,0,2,0,3,12,0,39,7,4,3,23:25,0,3,3,3-35,5.7,25,143,5.4,25-40,215,358,0-0,6-13,19
401403974,2022,1,regular,Idaho,Big Sky,away,17,0,-1,0,1,1,,,,5,,,,6,1,4,0,32,3,3,4,36:35,2,0,2,7-50,1.8,34,62,6.6,21-32,212,274,3-7,4-17,13
401426532,2022,1,regular,Western Kentucky,Conference USA,home,38,0,31,0,3,4,,,,8,34,1,2,4,0,7,1,40,5,4,1,27:31,1,0,1,8-86,3.4,32,108,8.2,20-34,279,387,1-1,5-14,19
401426532,2022,1,regular,Austin Peay,Atlantic Sun,away,27,1,32,0,2,2,40,0,2,9,0,0,1,0,3,2,0,36,0,2,6,32:39,2,2,4,8-60,3.6,48,171,7.4,15-21,156,327,2-2,7-18,19
401418609,2022,1,regular,Presbyterian,Pioneer,away,0,0,,,,0,52,0,3,,,,,0,1,,,,,,,29:44,0,1,1,5-41,2.5,36,89,6.2,9-21,130,219,0-3,3-15,9
401418609,2022,1,regular,Austin Peay,Atlantic Sun,home,63,4,50,0,3,5,20,0,1,9,,,,1,,,,,,,,30:16,0,0,0,6-65,6.0,51,308,7.2,24-42,301,609,1-2,14-18,36
401420806,2022,1,regular,Missouri State,MVFC,away,27,1,1,0,2,1,126,0,3,9,2,0,2,0,2,,,,,,,29:44,0,2,2,8-82,2.8,32,90,8.9,18-30,266,356,0-0,4-13,17
401420806,2022,1,regular,Central Arkansas,Atlantic Sun,home,14,1,4,0,1,1,53,0,3,2,,,,2,0,,,,,,,30:16,2,0,2,7-49,4.1,41,168,5.6,18-31,173,341,2-3,1-12,23
401416590,2022,1,regular,Eastern Michigan,Mid-American,home,42,3,,,,3,110,0,4,6,0,0,1,1,1,1,0,36,1,2,4,28:12,1,1,2,6-59,3.8,33,124,9.0,21-30,271,395,0-0,6-11,23
401416590,2022,1,regular,Eastern Kentucky,Atlantic Sun,away,34,1,,,,3,44,0,2,10,0,0,1,1,1,4,0,39,3,0,4,31:48,1,1,2,12-108,5.0,28,141,6.9,35-51,351,492,1-1,12-18,29
