gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401525820,2023,1,regular,Iowa State,Big 12,home,30,1,2,26,0,2,6,88,1,2,0,,25:36,0,0,0,9-81,5.0,27,134,6.4,14-18,116,250,1-1,2-11,10,60,0,2,9,1,34,5,5,7
401525825,2023,1,regular,Wyoming,Mountain West,home,35,2,2,,,,9,4,0,1,0,3,34:02,0,2,2,3-15,3.9,44,171,4.4,18-34,149,320,2-2,6-15,24,,,,4,0,47,3,2,9
401525825,2023,1,regular,Texas Tech,Big 12,away,33,1,3,45,0,2,9,,,,2,1,25:58,1,0,1,7-69,2.8,33,93,7.2,31-47,338,431,2-2,7-17,26,8,0,1,6,0,47,2,1,4
401525815,2023,1,regular,Missouri State,MVFC,away,17,1,1,18,0,1,5,,,,1,1,26:13,2,0,2,6-50,2.7,27,74,6.8,14-21,143,217,1-1,1-9,10,,,,3,0,51,0,0,3
401525815,2023,1,regular,Kansas,Big 12,home,48,4,2,61,0,2,12,12,0,2,0,1,33:47,0,1,1,3-35,6.4,38,245,9.9,22-28,276,521,1-2,6-11,27,,,,9,0,26,1,2,2
401523994,2023,1,regular,Colorado,Pac-12,away,45,2,4,18,0,1,9,0,0,2,0,1,34:33,0,1,1,6-35,1.6,34,55,10.9,38-47,510,565,2-2,9-15,30,2,0,1,0,0,46,0,2,3
401523994,2023,1,regular,TCU,Big 12,home,42,4,2,150,0,5,6,,,,1,1,25:27,2,0,2,10-78,7.1,37,262,6.6,24-42,279,541,1-2,10-17,27,,,,7,0,44,4,2,2
401520169,2023,1,regular,Penn State,Big Ten,home,38,2,3,19,0,1,8,,,,0,,28:44,0,0,0,1-5,4.2,35,146,11.1,22-30,332,478,1-1,3-9,27,,,,6,0,45,3,3,2
401520169,2023,1,regular,West Virginia,Big 12,away,15,2,0,20,0,1,1,,,,0,,31:16,0,0,0,5-55,3.7,40,146,6.0,16-27,162,308,3-6,4-14,17,4,0,1,4,0,41,1,3,2
401523987,2023,1,regular,Arizona State,Pac-12,home,24,1,2,100,0,2,6,,,,0,,29:12,0,0,0,9-100,4.0,34,135,7.6,18-31,236,371,1-1,4-14,19,0,0,1,3,0,27,0,2,3
401523987,2023,1,regular,Southern Utah,UAC,away,21,1,1,49,0,4,3,,,,0,3,30:48,0,0,0,8-71,2.8,31,87,7.7,9-18,139,226,0-0,5-13,11,45,0,3,4,1,38,1,1,4
401540219,2023,1,regular,Montana State,Big Sky,home,63,7,2,14,0,1,9,16,0,3,0,,35:22,0,0,0,3-33,7.7,53,407,12.8,12-18,231,638,1-2,9-12,29,3,0,1,,,,,,
401540219,2023,1,regular,Utah Tech,UAC,away,20,0,2,,,,8,,,,0,,24:38,3,0,3,7-31,3.3,15,49,6.3,21-41,260,309,0-0,4-11,16,,,,,,,,,
