season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2021,Oregon,Pac-12,130.5,15.6,98.4,16.5,0.522,0.173,0.787,0.471,0.54,0.126,0.876,0.667
2021,Oregon State,Pac-12,163.3,39.8,73.2,50.3,0.851,1.0,0.962,0.662,0.765,1.0,0.928,0.391
2021,Penn State,Big Ten,249.6,89.8,128.7,31.1,0.843,0.93,0.805,0.781,0.808,0.817,0.836,0.782
2021,Pittsburgh,ACC,240.7,76.6,139.3,24.9,0.854,0.942,0.814,0.833,0.935,0.998,0.821,0.972
2021,Purdue,Big Ten,180.8,80.4,100.0,0.3,0.904,1.0,0.87,0.068,0.895,1.0,0.745,0.947
2021,Rice,Conference USA,40.7,6.5,41.9,-7.7,0.342,0.124,0.553,0.819,0.706,0.345,0.836,0.897
2021,Rutgers,Big Ten,141.8,20.4,97.0,24.4,0.933,0.604,0.943,1.595,0.848,0.752,0.954,0.859
2021,SMU,American Athletic,175.4,-1.1,122.5,54.0,0.457,-0.009,0.673,0.691,0.468,0.003,0.649,0.831
2021,San Diego State,Mountain West,109.0,16.6,65.0,27.4,0.858,0.604,0.871,1.1,0.798,0.484,0.956,0.928
2021,San José State,Mountain West,194.7,102.5,82.7,9.5,0.743,1.0,0.55,1.0,0.832,1.0,0.508,1.0
2021,South Alabama,Sun Belt,197.9,69.9,125.8,2.2,0.776,0.859,0.719,-1.467,0.655,0.755,0.723,0.497
2021,South Carolina,SEC,147.9,9.0,75.6,63.3,0.66,0.268,0.634,0.887,0.518,0.239,0.576,0.749
2021,South Florida,American Athletic,136.8,16.5,92.2,28.1,0.924,0.714,0.935,1.06,0.941,0.994,0.875,0.937
2021,Southern Miss,Conference USA,112.1,0.3,91.1,20.7,0.483,0.006,0.712,0.409,0.469,0.004,0.754,0.596
2021,Stanford,Pac-12,97.5,11.7,54.7,31.1,0.403,0.133,0.47,0.827,0.489,0.116,0.554,0.888
2021,Syracuse,ACC,74.1,-0.7,74.0,0.8,0.852,-0.097,0.747,-0.041,0.644,0.468,0.781,0.746
2021,TCU,Big 12,200.5,33.4,86.0,81.1,0.842,0.888,0.82,0.853,0.863,0.997,0.783,0.806
2021,Temple,American Athletic,59.4,-0.8,67.5,-7.4,0.453,-0.016,0.768,1.0,0.499,0.218,0.694,0.605
