season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2019,Air Force,Mountain West,182.2,78.8,30.5,72.9,0.639,0.931,0.296,0.746,0.581,0.885,0.327,0.559
2019,Akron,Mid-American,126.1,39.1,90.0,-3.0,0.87,1.0,0.704,0.135,0.689,1.0,0.594,0.416
2019,Alabama,SEC,436.0,174.3,226.0,35.7,0.696,0.757,0.786,0.33,0.632,0.825,0.701,0.422
2019,App State,Sun Belt,342.2,101.2,155.4,85.7,0.831,0.967,0.845,0.696,0.839,0.923,0.813,0.793
2019,Arizona,Pac-12,212.8,103.6,51.3,57.9,0.58,0.949,0.261,0.946,0.79,0.994,0.291,0.944
2019,Arizona State,Pac-12,178.7,-0.6,120.7,58.7,0.403,-0.005,0.549,0.611,0.462,0.005,0.618,0.752
2019,Arkansas,SEC,86.3,-8.1,80.9,13.5,0.398,-0.182,0.61,0.337,0.466,0.028,0.731,0.7
2019,Arkansas State,Sun Belt,171.5,10.2,135.1,26.3,0.397,0.07,0.638,0.359,0.331,0.041,0.621,0.358
2019,Army,FBS Independents,230.4,72.9,59.9,97.5,0.644,0.995,0.673,0.499,0.542,0.959,0.649,0.48
2019,Auburn,SEC,145.0,17.9,83.1,44.0,0.415,0.159,0.428,1.04,0.447,0.02,0.463,0.803
2019,BYU,FBS Independents,234.9,55.8,122.4,56.7,0.746,0.804,0.733,0.722,0.543,0.52,0.716,0.442
2019,Ball State,Mid-American,171.7,19.4,128.2,24.1,0.532,0.263,0.747,0.311,0.484,0.3,0.731,0.461
2019,Baylor,Big 12,392.1,136.5,175.9,79.8,0.78,0.957,0.684,0.774,0.797,0.81,0.737,0.836
2019,Boise State,Mountain West,165.5,3.0,132.1,30.5,0.332,0.017,0.525,0.469,0.225,0.026,0.445,0.229
2019,Boston College,ACC,205.1,67.1,111.8,26.1,0.666,0.699,0.68,0.549,0.799,0.84,0.616,0.874
2019,Bowling Green,Mid-American,99.0,10.2,82.9,5.9,0.324,0.094,0.434,0.922,0.373,0.028,0.499,0.639
2019,Buffalo,Mid-American,70.4,-4.0,10.8,63.7,0.171,-0.034,0.054,0.667,0.353,0.025,0.176,0.726
2019,California,Pac-12,96.8,14.3,45.1,37.3,0.55,4.767,0.331,1.008,0.406,0.632,0.249,0.301
2019,Central Michigan,Mid-American,5.6,-28.2,27.0,6.8,0.117,0.934,0.386,0.81,0.863,0.992,0.508,0.965
2019,Charlotte,Conference USA,156.4,50.1,77.9,28.4,0.738,0.936,0.66,0.7,0.829,0.9,0.616,0.905
2019,Cincinnati,American Athletic,370.4,117.8,141.0,111.7,0.823,0.936,0.714,0.881,0.861,0.863,0.717,0.945
2019,Clemson,ACC,510.7,174.3,217.1,119.4,0.813,0.95,0.839,0.643,0.752,0.882,0.735,0.641
2019,Coastal Carolina,Sun Belt,182.4,46.7,105.0,30.7,0.565,0.57,0.635,0.407,0.471,0.508,0.6,0.379
2019,Colorado,Pac-12,241.8,73.7,126.2,41.9,0.851,0.996,0.686,1.587,0.679,0.996,0.684,0.322
2019,Colorado State,Mountain West,87.2,17.3,69.9,-0.1,0.256,0.147,0.337,-0.007,0.396,0.423,0.345,0.421
2019,Duke,ACC,93.3,4.1,60.7,28.5,0.289,0.058,0.327,0.427,0.391,0.167,0.256,0.769
2019,East Carolina,American Athletic,183.0,67.3,94.2,21.5,0.803,1.145,0.581,2.792,0.735,0.974,0.454,0.737
2019,Eastern Michigan,Mid-American,197.6,48.1,127.0,22.4,0.648,0.446,0.707,1.244,0.554,0.291,0.694,0.703
2019,Florida,SEC,360.1,107.4,157.8,94.9,0.857,0.986,0.87,0.733,0.854,0.997,0.876,0.727
2019,Florida Atlantic,Conference USA,169.8,83.4,88.2,-1.8,0.522,1.062,0.644,-0.016,0.48,0.827,0.612,0.164
2019,Florida International,Conference USA,381.3,147.1,177.3,56.9,0.788,0.859,0.736,0.789,0.801,0.859,0.822,0.736
2019,Florida State,ACC,143.7,30.2,114.9,-1.3,0.526,0.296,0.631,0.121,0.421,0.132,0.716,0.506
2019,Fresno State,Mountain West,142.7,2.0,96.4,44.2,0.308,0.012,0.438,0.542,0.416,0.029,0.431,0.779
2019,Georgia,SEC,294.5,148.4,77.9,68.2,0.532,0.771,0.334,0.534,0.601,0.836,0.305,0.61
2019,Georgia Southern,Sun Belt,164.1,36.0,34.7,93.4,0.749,0.96,0.507,0.824,0.581,0.992,0.449,0.51
2019,Georgia State,Sun Belt,234.1,77.0,106.4,50.7,0.723,0.805,0.635,0.835,0.773,0.821,0.619,0.841
2019,Georgia Tech,ACC,134.2,6.3,18.9,109.0,0.471,0.283,0.28,0.56,0.506,0.156,0.385,0.59
2019,Hawai'i,Mountain West,348.9,171.4,143.0,34.5,0.715,0.96,0.514,1.095,0.799,0.98,0.492,0.936
2019,Houston,American Athletic,508.4,187.1,201.3,120.1,0.884,1.01,0.778,0.913,0.892,0.99,0.83,0.847
2019,Illinois,Big Ten,154.2,-2.2,76.6,79.8,0.632,-0.234,0.754,0.6,0.463,0.026,0.717,0.647
2019,Indiana,Big Ten,260.9,69.6,132.2,59.0,0.82,0.882,0.698,1.185,0.871,0.98,0.66,0.952
2019,Iowa,Big Ten,242.8,134.1,75.6,33.1,0.609,0.893,0.346,1.114,0.811,0.988,0.438,0.94
2019,Iowa State,Big 12,204.8,91.8,93.3,19.7,0.574,0.762,0.495,0.414,0.47,0.584,0.46,0.37
2019,Kansas,Big 12,94.1,22.6,46.4,25.1,0.416,0.399,0.355,0.644,0.504,0.178,0.472,0.931
2019,Kansas State,Big 12,122.0,50.6,46.6,24.7,0.533,1.727,0.368,0.339,0.396,0.699,0.398,0.187
2019,Kent State,Mid-American,193.1,5.0,89.0,99.2,0.924,0.617,0.836,1.054,0.84,0.998,0.797,0.711
2019,Kentucky,SEC,147.0,32.5,77.7,36.8,0.602,0.876,0.697,0.387,0.568,0.906,0.496,0.393
2019,LSU,SEC,303.9,103.1,154.7,46.1,0.858,1.0,0.828,0.725,0.731,1.0,0.719,0.516
2019,Liberty,FBS Independents,289.4,98.7,153.9,36.8,0.849,1.016,0.808,0.693,0.872,0.983,0.742,0.872
2019,Louisiana,Sun Belt,304.1,25.1,149.5,129.5,0.665,0.219,0.704,0.991,0.593,0.175,0.589,0.896
2019,Louisiana Tech,Conference USA,228.4,85.1,112.5,30.9,0.732,1.0,0.621,0.679,0.791,1.0,0.534,0.787
2019,Louisville,ACC,133.7,23.0,80.5,30.2,0.82,4.6,0.701,0.704,0.728,0.927,0.594,0.604
2019,Marshall,Conference USA,188.0,55.9,86.9,45.1,0.676,1.015,0.56,0.664,0.703,0.998,0.458,0.607
2019,Maryland,Big Ten,190.5,3.8,90.2,96.5,0.724,0.153,0.757,0.812,0.587,0.311,0.605,0.748
2019,Massachusetts,FBS Independents,135.4,13.5,108.0,13.9,0.32,0.106,0.463,0.222,0.225,0.094,0.458,0.148
2019,Memphis,American Athletic,380.2,156.1,178.5,45.6,0.695,0.992,0.773,0.287,0.677,0.963,0.66,0.469
2019,Miami,ACC,134.3,11.4,84.1,38.7,0.487,0.264,0.607,0.411,0.524,0.556,0.635,0.426
2019,Miami (OH),Mid-American,119.6,4.5,126.9,-11.8,0.357,0.04,0.783,-0.196,0.319,0.003,0.673,0.358
2019,Michigan,Big Ten,331.6,132.5,142.7,56.3,0.752,0.99,0.692,0.557,0.618,0.986,0.593,0.374
2019,Michigan State,Big Ten,171.8,21.6,113.3,36.9,0.929,1.0,0.808,1.591,0.861,1.0,0.781,0.769
2019,Middle Tennessee,Conference USA,142.1,-2.6,127.2,17.5,0.414,-0.027,0.603,0.51,0.372,0.049,0.502,0.617
2019,Minnesota,Big Ten,311.1,66.3,165.8,79.0,1.004,1.0,0.999,1.017,0.993,1.0,0.993,0.988
2019,Mississippi State,SEC,200.2,37.8,103.6,58.8,0.547,0.626,0.686,0.38,0.384,0.126,0.76,0.378
2019,Missouri,SEC,217.4,8.7,165.6,43.0,0.426,0.048,0.657,0.549,0.454,0.032,0.695,0.642
2019,NC State,ACC,58.6,5.4,76.9,-23.7,0.131,0.029,0.314,-1.529,0.248,0.009,0.426,0.338
2019,Navy,American Athletic,108.1,-3.7,37.1,74.7,0.557,0.787,0.612,0.54,0.441,0.209,0.656,0.461
2019,Nebraska,Big Ten,260.5,81.0,105.6,73.9,0.704,1.0,0.653,0.581,0.703,1.0,0.544,0.54
2019,Nevada,Mountain West,187.4,0.0,148.8,38.6,0.532,0.0,0.739,0.915,0.548,0.108,0.735,0.891
2019,New Mexico,Mountain West,148.2,57.4,66.3,24.5,0.793,1.251,0.53,1.551,0.589,0.78,0.598,0.443
2019,New Mexico State,FBS Independents,155.9,34.0,77.5,44.4,0.702,1.09,0.535,0.974,0.857,0.976,0.662,0.929
2019,North Carolina,ACC,122.1,-18.0,84.2,56.0,0.515,-0.421,0.649,0.863,0.423,0.05,0.653,0.627
2019,North Texas,Conference USA,365.4,158.4,174.4,32.5,0.84,1.041,0.704,0.931,0.86,0.957,0.714,0.892
2019,Northern Illinois,Mid-American,94.4,-3.4,24.0,73.8,0.594,1.03,0.27,1.003,0.84,0.998,0.48,0.957
2019,Northwestern,Big Ten,103.4,-0.3,98.1,5.7,0.359,-0.004,0.483,0.363,0.347,0.065,0.435,0.602
2019,Notre Dame,FBS Independents,299.9,124.1,140.7,35.2,0.659,0.821,0.623,0.449,0.617,0.748,0.551,0.549
2019,Ohio,Mid-American,218.9,78.4,61.2,79.3,0.459,0.832,0.338,0.394,0.458,0.884,0.282,0.281
2019,Ohio State,Big Ten,203.5,26.5,155.8,21.2,0.281,0.095,0.413,0.307,0.324,0.015,0.518,0.483
2019,Oklahoma,Big 12,294.5,11.2,197.2,86.2,0.363,0.04,0.581,0.455,0.424,0.024,0.579,0.652
2019,Oklahoma State,Big 12,242.1,16.2,187.9,38.0,0.438,0.095,0.69,0.345,0.312,0.013,0.661,0.324
2019,Old Dominion,Conference USA,83.6,11.5,36.3,35.7,0.279,0.124,0.207,1.109,0.296,0.188,0.19,0.544
2019,Ole Miss,SEC,148.9,14.7,70.7,63.5,0.283,0.077,0.27,0.847,0.33,0.053,0.268,0.734
2019,Oregon,Pac-12,302.8,133.5,101.3,68.0,0.735,0.965,0.521,0.861,0.828,0.975,0.616,0.857
2019,Oregon State,Pac-12,276.0,57.4,171.4,47.2,0.771,0.608,0.808,0.909,0.761,0.626,0.756,0.914
2019,Penn State,Big Ten,129.5,21.7,93.2,14.6,0.401,0.522,0.636,0.108,0.198,0.029,0.517,0.129
2019,Pittsburgh,ACC,139.3,13.6,77.4,48.3,0.51,0.901,0.761,0.309,0.584,0.994,0.588,0.32
2019,Purdue,Big Ten,177.7,6.8,159.7,11.2,0.414,0.05,0.668,0.201,0.258,0.091,0.555,0.138
2019,Rice,Conference USA,77.0,12.3,52.1,12.6,0.448,0.217,0.452,-25.2,0.391,0.342,0.495,0.362
2019,Rutgers,Big Ten,5.3,-35.4,38.7,2.0,0.1,0.792,0.556,0.07,0.732,0.783,0.741,0.681
2019,SMU,American Athletic,243.1,45.5,187.6,10.0,0.755,0.487,0.871,0.769,0.503,0.198,0.842,0.55
2019,San Diego State,Mountain West,179.3,62.0,84.0,33.2,0.588,0.681,0.448,1.262,0.788,0.711,0.528,0.967
2019,San José State,Mountain West,105.1,33.8,90.0,-18.8,0.545,0.624,0.5,0.453,0.564,0.638,0.39,0.669
