season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2016,Air Force,Mountain West,211.8,27.6,42.6,141.6,0.563,0.347,0.356,0.801,0.625,0.145,0.56,0.741
2016,Akron,Mid-American,181.5,66.1,101.7,13.7,0.712,0.978,0.652,0.439,0.548,0.924,0.448,0.323
2016,Alabama,SEC,148.2,21.0,143.3,-16.1,0.341,0.15,0.7,-0.179,0.279,0.112,0.692,0.124
2016,App State,Sun Belt,305.4,125.9,96.6,82.9,0.722,0.898,0.512,0.878,0.862,0.986,0.485,0.952
2016,Arizona,Pac-12,261.0,103.6,85.0,72.3,0.532,0.893,0.349,0.552,0.601,0.805,0.398,0.551
2016,Arizona State,Pac-12,159.5,3.8,112.8,42.9,0.349,0.027,0.448,0.651,0.39,0.007,0.501,0.737
2016,Arkansas,SEC,229.6,24.5,184.8,20.4,0.395,0.117,0.682,0.2,0.3,0.028,0.668,0.269
2016,Arkansas State,Sun Belt,119.7,0.0,66.4,53.3,0.369,0.0,0.441,0.533,0.301,0.0,0.493,0.434
2016,Army,FBS Independents,189.3,49.0,75.1,65.2,0.872,1.023,0.846,0.809,0.521,0.664,0.667,0.472
2016,Auburn,SEC,182.5,103.4,44.3,34.7,0.569,1.0,0.325,0.428,0.488,1.0,0.414,0.225
2016,BYU,FBS Independents,325.7,131.4,134.5,59.7,0.679,0.981,0.479,0.916,0.748,0.996,0.483,0.724
2016,Ball State,Mid-American,152.6,59.8,63.6,29.2,0.954,1.0,0.878,1.032,0.952,1.0,0.804,0.998
2016,Baylor,Big 12,388.3,93.1,115.1,180.0,0.576,0.486,0.443,0.808,0.605,0.555,0.462,0.704
2016,Boise State,Mountain West,394.1,142.1,192.9,59.2,0.857,0.985,0.816,0.741,0.771,0.86,0.723,0.721
2016,Boston College,ACC,95.8,8.8,70.1,16.9,0.921,1.143,0.848,1.243,0.869,0.996,0.704,0.848
2016,Bowling Green,Mid-American,142.2,14.3,88.1,39.8,0.386,0.431,0.301,0.957,0.483,0.677,0.267,0.99
2016,Buffalo,Mid-American,68.5,0.0,70.4,-1.9,0.217,0.0,0.379,-0.087,0.266,0.0,0.355,0.489
2016,California,Pac-12,90.0,18.4,34.3,37.2,0.152,0.078,0.12,0.535,0.283,0.038,0.215,0.706
2016,Central Michigan,Mid-American,364.2,158.0,204.9,1.3,0.931,1.01,0.831,-0.107,0.853,0.996,0.814,0.7
2016,Charlotte,Conference USA,65.3,-41.6,62.9,44.0,0.859,1.0,0.734,1.392,0.833,1.0,0.808,0.712
2016,Cincinnati,American Athletic,292.3,157.2,73.7,61.3,0.505,0.86,0.235,0.742,0.643,0.977,0.191,0.705
2016,Clemson,ACC,555.6,209.5,221.4,124.7,0.888,0.956,0.791,0.984,0.89,0.994,0.758,0.899
2016,Colorado,Pac-12,252.4,91.5,110.4,50.5,0.756,0.894,0.586,1.153,0.701,0.759,0.659,0.674
2016,Colorado State,Mountain West,194.9,101.3,54.8,38.8,0.517,0.949,0.279,0.522,0.611,0.877,0.313,0.595
2016,Duke,ACC,214.7,83.0,93.3,38.4,0.693,0.9,0.527,0.953,0.753,0.99,0.473,0.752
2016,East Carolina,American Athletic,141.7,15.8,98.8,27.0,0.472,0.133,0.668,0.808,0.392,0.215,0.616,0.444
2016,Eastern Michigan,Mid-American,160.7,81.3,65.6,13.8,0.547,0.987,0.416,0.257,0.583,0.833,0.493,0.39
2016,Florida,SEC,94.3,8.4,87.1,-1.2,0.311,0.119,0.483,-0.023,0.218,0.016,0.482,0.22
2016,Florida Atlantic,Conference USA,69.8,13.5,55.0,1.3,0.415,0.496,0.528,0.035,0.489,0.398,0.61,0.498
2016,Florida International,Conference USA,187.7,63.9,88.1,35.6,0.711,0.964,0.545,0.981,0.827,0.958,0.645,0.854
2016,Florida State,ACC,356.4,72.0,227.7,56.7,0.773,0.441,0.931,1.058,0.749,0.476,0.978,0.848
2016,Fresno State,Mountain West,57.9,5.3,47.4,5.3,0.706,-0.23,0.623,0.182,0.286,0.133,0.72,0.089
2016,Georgia,SEC,244.2,95.5,98.5,50.3,0.778,0.983,0.62,0.873,0.802,0.897,0.634,0.838
2016,Georgia Southern,Sun Belt,205.2,-13.4,21.8,196.8,1.016,1.0,0.816,1.043,0.927,1.0,0.446,0.965
2016,Georgia State,Sun Belt,202.9,2.0,221.3,-20.4,0.405,0.009,0.73,0.971,0.505,0.025,0.776,0.872
2016,Georgia Tech,ACC,204.8,41.0,70.8,93.0,0.883,0.974,0.892,0.842,0.855,0.995,0.947,0.78
2016,Hawai'i,Mountain West,129.6,13.8,91.7,24.1,1.013,-1.302,0.86,0.744,0.712,0.389,0.878,0.946
2016,Houston,American Athletic,386.9,156.1,127.3,103.5,0.709,0.947,0.524,0.747,0.615,0.963,0.55,0.398
2016,Idaho,Sun Belt,184.5,65.1,91.7,27.6,0.652,0.892,0.645,0.405,0.603,0.809,0.585,0.364
2016,Illinois,Big Ten,119.7,47.6,69.6,2.4,0.688,0.988,0.615,0.186,0.71,0.994,0.48,0.558
2016,Indiana,Big Ten,191.0,13.1,177.2,0.7,0.387,0.073,0.739,0.009,0.47,0.123,0.772,0.543
2016,Iowa,Big Ten,314.7,127.7,117.5,69.5,0.839,0.965,0.723,0.871,0.744,0.995,0.585,0.641
2016,Iowa State,Big 12,175.2,30.4,96.4,48.5,0.632,0.505,0.609,0.829,0.573,0.498,0.494,0.707
2016,Kansas,Big 12,121.9,27.3,91.8,2.9,0.767,0.913,0.616,-0.144,0.759,0.998,0.611,0.605
2016,Kansas State,Big 12,179.4,39.1,79.1,61.2,0.68,0.725,0.553,0.909,0.775,0.779,0.604,0.87
2016,Kent State,Mid-American,5.1,-9.7,40.6,-25.8,0.729,1.0,0.925,0.945,0.828,1.0,0.856,0.67
2016,Kentucky,SEC,215.7,1.1,140.0,74.6,0.787,0.031,1.018,0.743,0.648,0.175,0.991,0.876
2016,LSU,SEC,347.9,86.0,127.4,134.5,0.93,0.895,0.917,0.97,0.956,0.993,0.83,0.998
2016,Louisiana,Sun Belt,162.7,10.3,86.1,66.4,0.596,0.204,0.593,0.859,0.625,0.473,0.727,0.695
2016,Louisiana Tech,Conference USA,171.8,8.3,155.2,8.2,0.359,0.05,0.623,0.126,0.307,0.069,0.648,0.27
2016,Louisville,ACC,354.1,68.0,188.9,97.2,0.995,1.0,1.006,0.972,0.992,1.0,0.997,0.98
2016,Marshall,Conference USA,201.8,97.2,93.0,11.6,0.641,1.049,0.527,0.255,0.655,0.818,0.545,0.581
2016,Maryland,Big Ten,142.7,-6.2,90.7,58.1,0.87,0.453,0.887,0.766,0.799,0.946,0.854,0.615
2016,Massachusetts,Mid-American,44.8,8.3,3.8,32.6,0.178,0.188,0.026,0.536,0.226,0.048,0.17,0.56
2016,Memphis,American Athletic,169.7,2.8,152.0,14.9,0.338,0.015,0.608,0.241,0.336,0.004,0.539,0.489
2016,Miami,ACC,309.2,147.0,147.8,14.3,0.785,0.947,0.664,0.883,0.866,0.994,0.6,0.987
2016,Miami (OH),Mid-American,160.2,9.4,148.7,2.2,0.843,0.276,0.978,0.611,0.841,0.677,0.937,0.944
2016,Michigan,Big Ten,202.0,27.5,157.8,16.7,0.501,0.202,0.758,0.284,0.531,0.085,0.877,0.67
2016,Michigan State,Big Ten,92.6,-0.3,82.0,10.9,0.226,-0.002,0.348,0.449,0.46,0.078,0.362,0.89
2016,Middle Tennessee,Conference USA,363.3,182.8,166.7,13.8,0.775,0.973,0.65,0.552,0.737,0.975,0.581,0.63
2016,Minnesota,Big Ten,238.6,103.7,126.3,8.6,0.99,1.0,0.969,1.303,0.949,1.0,0.938,0.9
2016,Mississippi State,SEC,169.4,35.5,119.1,14.8,0.33,0.19,0.46,0.219,0.397,0.042,0.585,0.663
2016,Missouri,SEC,55.8,-7.6,64.5,-1.2,0.656,9.5,0.75,-6.0,0.623,0.72,0.709,0.439
2016,NC State,ACC,173.5,5.5,92.9,75.1,0.558,0.086,0.824,0.56,0.525,0.043,0.969,0.727
2016,Navy,American Athletic,108.7,7.2,49.5,52.0,0.272,0.127,0.552,0.205,0.203,0.038,0.691,0.168
2016,Nebraska,Big Ten,399.0,126.7,216.3,56.0,0.907,1.002,0.914,0.724,0.846,0.998,0.883,0.666
2016,Nevada,Mountain West,290.7,80.5,135.2,75.0,0.908,0.964,0.932,0.823,0.789,0.997,0.942,0.56
