season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2015,Air Force,Mountain West,201.2,10.7,102.8,87.8,0.615,0.134,0.862,0.686,0.646,0.162,0.95,0.711
2015,Akron,Mid-American,69.4,3.0,36.7,29.6,0.479,1.304,0.323,1.003,0.758,0.997,0.432,0.995
2015,Alabama,SEC,137.2,21.1,78.4,37.6,0.222,0.101,0.285,0.281,0.251,0.134,0.233,0.364
2015,App State,Sun Belt,402.8,118.6,156.2,128.0,0.952,0.994,0.909,0.972,0.93,0.863,0.938,0.973
2015,Arizona,Pac-12,399.3,133.5,179.9,85.9,0.883,1.0,0.789,0.949,0.861,1.0,0.807,0.756
2015,Arizona State,Pac-12,217.1,48.9,125.7,42.5,0.547,0.408,0.593,0.656,0.536,0.302,0.571,0.747
2015,Arkansas,SEC,316.0,95.5,137.9,82.6,0.888,0.965,0.858,0.863,0.942,0.997,0.856,0.949
2015,Arkansas State,Sun Belt,375.7,105.8,186.0,83.9,0.989,1.023,0.96,1.011,0.96,0.983,0.908,0.976
2015,Army,FBS Independents,46.1,-2.7,27.8,20.9,0.292,0.871,0.783,0.166,0.278,0.322,0.681,0.223
2015,Auburn,SEC,87.1,43.2,29.4,14.6,0.202,0.254,0.184,0.142,0.157,0.119,0.282,0.128
2015,BYU,FBS Independents,266.7,40.6,147.0,79.1,0.575,0.326,0.648,0.701,0.53,0.289,0.617,0.703
2015,Ball State,Mid-American,147.1,44.3,107.5,-4.7,0.613,0.43,0.927,-0.223,0.521,0.511,0.862,0.327
2015,Baylor,Big 12,416.0,68.9,215.6,131.5,0.608,0.314,0.709,0.817,0.549,0.171,0.644,0.823
2015,Boise State,Mountain West,198.9,44.5,134.0,20.3,0.355,0.274,0.51,0.15,0.259,0.095,0.636,0.135
2015,Boston College,ACC,49.2,-1.2,45.1,5.3,0.183,-0.025,0.397,0.049,0.483,0.035,0.376,0.716
2015,Bowling Green,Mid-American,272.6,59.4,162.3,51.0,0.977,0.928,1.006,0.957,0.839,0.942,0.87,0.634
2015,Buffalo,Mid-American,373.7,138.1,181.0,54.6,0.946,1.0,0.893,1.0,0.939,1.0,0.788,1.0
2015,California,Pac-12,467.6,185.4,214.4,67.9,0.913,1.002,0.832,0.985,0.936,0.995,0.815,0.98
2015,Central Michigan,Mid-American,265.7,148.9,104.8,12.0,0.658,0.983,0.452,0.566,0.575,0.998,0.383,0.343
2015,Cincinnati,American Athletic,445.9,164.7,233.6,47.6,0.895,0.854,0.939,0.845,0.892,0.808,0.972,0.922
2015,Clemson,ACC,305.4,104.7,194.8,5.9,0.86,0.797,0.933,0.391,0.632,0.331,0.838,0.757
2015,Colorado,Pac-12,316.3,131.4,162.0,22.9,0.811,0.985,0.688,1.08,0.839,0.998,0.715,0.765
2015,Colorado State,Mountain West,263.9,2.6,239.3,22.0,0.482,0.013,0.853,0.316,0.414,0.059,0.815,0.447
2015,Duke,ACC,105.3,12.9,36.2,56.3,0.394,0.218,0.298,0.652,0.37,0.04,0.438,0.647
2015,East Carolina,American Athletic,98.0,4.2,61.7,32.1,0.188,0.021,0.252,0.442,0.246,0.018,0.357,0.5
2015,Eastern Michigan,Mid-American,64.7,20.0,31.1,13.6,0.78,-3.175,0.369,2.615,0.49,0.672,0.356,0.419
2015,Florida,SEC,108.1,34.8,64.2,9.0,0.522,0.634,0.543,0.262,0.426,0.346,0.535,0.42
2015,Florida Atlantic,Conference USA,137.3,68.7,46.0,22.6,0.759,1.168,0.439,1.284,0.641,0.84,0.378,0.654
