id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401236053,2020,2,regular,2020-09-12 16:00:00+00:00,False,True,False,False,11041.0,3636.0,Bill Snyder Family Stadium,2306,Kansas State,fbs,Big 12,31.0,"[7, 14, 0, 10]",0.3652594357684556,1632.0,1611.0,2032,Arkansas State,fbs,Sun Belt,35.0,"[7, 7, 7, 14]",0.6347405642315445,1427.0,1448.0,7.1983025295,https://www.youtube.com/watch?v=9uqT7ZS3UU4,,,,,,,,,0.2029039778878372,0.5,1.1862164598341567,0.3252202434844865,0.4761904761904761,1.3077025590257512
401234565,2020,2,regular,2020-09-12 16:00:00+00:00,False,True,False,True,0.0,3787.0,Kenan Stadium,153,North Carolina,fbs,ACC,31.0,"[7, 0, 3, 21]",0.998956190979728,1615.0,1663.0,183,Syracuse,fbs,ACC,6.0,"[0, 3, 3, 0]",0.001043809020272,1481.0,1433.0,3.2978536983,https://www.youtube.com/watch?v=BntiqPvE4_4,,,,,,,,,,,,,,
401240113,2020,2,regular,2020-09-12 17:30:00+00:00,False,True,False,False,5362.0,3841.0,Michie Stadium,349,Army,fbs,FBS Independents,37.0,"[14, 3, 13, 7]",0.9985456569905016,1610.0,1654.0,2433,UL Monroe,fbs,Sun Belt,7.0,"[0, 7, 0, 0]",0.0014543430094985,1305.0,1261.0,1.7599924498,https://www.youtube.com/watch?v=Ubc6tx8FZlI,,,0.3782783059882901,0.5,1.0788591989087726,-0.1877981906614416,0.3958333333333333,0.8308695214864722,,,,,,
401234574,2020,2,regular,2020-09-12 18:30:00+00:00,False,True,False,True,10097.0,3855.0,Notre Dame Stadium,87,Notre Dame,fbs,FBS Independents,27.0,"[0, 10, 7, 10]",0.9504250683490983,1833.0,1828.0,150,Duke,fbs,ACC,13.0,"[3, 3, 7, 0]",0.0495749316509015,1411.0,1416.0,3.637262785,https://www.youtube.com/watch?v=ZnAea5t2Jpo,,,,,,,,,,,,,,
401207113,2020,2,regular,2020-09-12 19:30:00+00:00,False,True,False,False,7500.0,3644.0,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,48.0,"[7, 0, 14, 20, 7, 0]",0.0844811674725982,1206.0,1202.0,2636,UTSA,fbs,Conference USA,51.0,"[7, 17, 7, 10, 7, 3]",0.9155188325274016,1222.0,1226.0,8.0968410558,https://www.youtube.com/watch?v=7GU7CHm_VJw,,,0.1383548185627163,0.3896103896103896,1.3508360281679848,0.2033513062075542,0.4683544303797468,1.3613286225459176,,,,,,
401240233,2020,2,regular,2020-09-12 20:00:00+00:00,False,True,False,False,0.0,3752.0,Acrisure Stadium,221,Pittsburgh,fbs,ACC,55.0,"[21, 21, 0, 13]",0.9989693192188656,,,2046,Austin Peay,fcs,OVC,0.0,"[0, 0, 0, 0]",0.0010306807811344,,,1.1571226423,https://www.youtube.com/watch?v=mXSZxFDpU7s,,,,,,,,,,,,,,
401234563,2020,2,regular,2020-09-12 20:00:00+00:00,False,True,False,True,17538.0,3697.0,Doak Campbell Stadium,52,Florida State,fbs,ACC,13.0,"[10, 0, 3, 0]",0.0448089078626891,1496.0,1482.0,59,Georgia Tech,fbs,ACC,16.0,"[0, 0, 7, 9]",0.9551910921373108,1341.0,1355.0,5.8038345134,https://www.youtube.com/watch?v=9nMuP7T_Dy4,,,,,,,,,,,,,,
401215298,2020,2,regular,2020-09-12 20:14:00+00:00,False,True,False,False,5789.0,3608.0,Allen E. Paulson Stadium,290,Georgia Southern,fbs,Sun Belt,27.0,"[3, 3, 7, 14]",0.6910924092647663,,,2097,Campbell,fcs,Big South,26.0,"[13, 0, 7, 6]",0.3089075907352336,,,6.9344930237,https://www.youtube.com/watch?v=b3dRqtBzX8g,,,,,,,,,,,,,,
401240039,2020,2,regular,2020-09-12 23:00:00+00:00,False,True,False,False,0.0,3886.0,Raymond James Stadium,58,South Florida,fbs,American Athletic,27.0,"[7, 13, 0, 7]",0.3371492015414232,,,2643,The Citadel,fcs,Southern,6.0,"[3, 3, 0, 0]",0.6628507984585768,,,2.9737388347,https://www.youtube.com/watch?v=qd6lIPmXxd0,,,,,,,,,,,,,,
401236054,2020,2,regular,2020-09-12 23:00:00+00:00,False,True,False,False,22700.0,3835.0,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,Big 12,48.0,"[31, 10, 0, 7]",0.9989713216300566,,,2623,Missouri State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0010286783699433,,,1.0134807925,https://www.youtube.com/watch?v=4KdlbOdwXss,,,,,,,,,,,,,,
