model,top_1_share,top_3_share,top_5_share,top_10_share
model_4,0.25634355494078287,0.5327626849276431,0.6296425362082926,0.7552207668967028
model_5,0.2813290809878663,0.5806433235922259,0.6819222106545768,0.807093248528626
