split,season,model,games,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall
validation,2023,model_4,868,0.5206291078323129,0.17274763217632969,0.8005088622069755,0.7626728110599078,0.7324757004002287,0.7935153583617748,0.8454545454545455
validation,2024,model_4,873,0.5531804755365846,0.18749409631206473,0.7658966434106765,0.7067583046964491,0.6668210122037134,0.7495854063018242,0.8114901256732495
validation,2023,model_5,868,0.5194669261404822,0.17234710700907163,0.8017152658662093,0.7569124423963134,0.7266037735849056,0.7897435897435897,0.84
validation,2024,model_5,873,0.5530930242709232,0.18770445400710573,0.7650217030657,0.7056128293241696,0.6645541213099107,0.7475247524752475,0.8132854578096947
test,2025,model_4,888,0.51515126657707,0.17215994992849165,0.8024377406576361,0.7398648648648649,0.7005152497299094,0.7775974025974026,0.8359511343804538
test,2025,model_5,888,0.5164236414369688,0.1725527230450433,0.8008144269924375,0.7421171171171171,0.7015457491897282,0.7774193548387097,0.8411867364746946
