iteration,model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,fold,train_start_season,train_end_season,validation_season,train_rows,validation_rows
1,1000,20,5,0.5,8.0,True,0.4992907099998997,0.1635279129729018,0.8134399041840059,0.7488207547169812,0.7159159654622449,1.0,2015.0,2018.0,2019.0,3339.0,848.0
1,1000,20,5,0.5,8.0,True,0.5333687143087553,0.1778690631170229,0.8028170993997498,0.7361623616236163,0.7117604059771989,2.0,2015.0,2019.0,2020.0,4187.0,542.0
1,1000,20,5,0.5,8.0,True,0.5235384911043053,0.1733052136712769,0.7989970181621036,0.7420494699646644,0.7040319634165026,3.0,2015.0,2020.0,2021.0,4729.0,849.0
1,1000,20,5,0.5,8.0,True,0.5771435881295038,0.1967009031075884,0.7386765746638358,0.6920374707259953,0.652518282613824,4.0,2015.0,2021.0,2022.0,5578.0,854.0
2,750,5,10,0.5,,True,0.4962245748657725,0.1629449412809129,0.8164830397135298,0.7452830188679245,0.7124175817460754,1.0,2015.0,2018.0,2019.0,3339.0,848.0
2,750,5,10,0.5,,True,0.5343237384495051,0.1783769187778039,0.8006522625356707,0.7306273062730627,0.7077329659670777,2.0,2015.0,2019.0,2020.0,4187.0,542.0
2,750,5,10,0.5,,True,0.5231227417802904,0.1733074894544879,0.8005115089514067,0.7408716136631331,0.7030831968130871,3.0,2015.0,2020.0,2021.0,4729.0,849.0
2,750,5,10,0.5,,True,0.5865029820526746,0.2007794793569358,0.7311040339702759,0.6779859484777517,0.6427400330266573,4.0,2015.0,2021.0,2022.0,5578.0,854.0
3,500,2,20,0.5,,False,0.4996661143669081,0.164891667308883,0.8128410542203646,0.7464622641509434,0.7125489620952417,1.0,2015.0,2018.0,2019.0,3339.0,848.0
3,500,2,20,0.5,,False,0.5352232457960511,0.1784635690406697,0.7999775081884251,0.7232472324723247,0.7001138647960976,2.0,2015.0,2019.0,2020.0,4187.0,542.0
3,500,2,20,0.5,,False,0.5216275464857715,0.172951058428782,0.8018256390915413,0.7420494699646644,0.7046359918441429,3.0,2015.0,2020.0,2021.0,4729.0,849.0
3,500,2,20,0.5,,False,0.5929481015559506,0.2037920439039909,0.7263446567586695,0.6733021077283372,0.6363706062750649,4.0,2015.0,2021.0,2022.0,5578.0,854.0
4,500,20,25,0.25,8.0,False,0.5013015814202424,0.1649245305991232,0.8127799470812174,0.7441037735849056,0.7084058980610705,1.0,2015.0,2018.0,2019.0,3339.0,848.0
4,500,20,25,0.25,8.0,False,0.5398229805762489,0.1807205535925567,0.7977564417954088,0.7250922509225092,0.6989822455262381,2.0,2015.0,2019.0,2020.0,4187.0,542.0
4,500,20,25,0.25,8.0,False,0.5267273597772791,0.175106166122532,0.7963039353188681,0.7385159010600707,0.6981655214680542,3.0,2015.0,2020.0,2021.0,4729.0,849.0
4,500,20,25,0.25,8.0,False,0.5692584073957538,0.1931320658813301,0.7444149563576314,0.6920374707259953,0.6498525595659354,4.0,2015.0,2021.0,2022.0,5578.0,854.0
