split,model,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,below_0_10,below_0_20,above_0_80,above_0_90,above_0_95
validation,model_4,0.6099929724642815,0.23110572144296093,0.0410016688592105,0.11222054074000111,0.1798083427196185,0.4463739179808082,0.6379653835834707,0.802059520299076,0.9344069517834898,0.9581110965309159,0.9765887002475718,0.009190120620333142,0.06203331418724871,0.2521539345203906,0.11085582998276852,0.018380241240666284
validation,model_5,0.6092810973423798,0.22847571113215526,0.0529910520429701,0.11448066595805845,0.1824644989520909,0.4471797738918328,0.6373467719535424,0.8010621944916894,0.925279404222226,0.9539081114718262,0.9745503141580044,0.00861573808156232,0.05973578403216542,0.2521539345203906,0.09994256174612291,0.013785180930499713
test,model_4,0.6040673124963546,0.22449498188695352,0.0477671279921529,0.09572125604353895,0.1941397760433312,0.45048208041249527,0.6275775479961894,0.7831847130869658,0.9332935101855339,0.957851075363018,0.9841012671362538,0.012387387387387387,0.057432432432432436,0.22635135135135134,0.0945945945945946,0.02027027027027027
test,model_5,0.6039207278012994,0.2226993651481714,0.0575766947147084,0.09618179782056142,0.20163393155592543,0.45301592160098003,0.6269687363643714,0.780372513915302,0.9268850608229402,0.9555273036781017,0.9870818982599514,0.012387387387387387,0.04954954954954955,0.2286036036036036,0.08783783783783784,0.013513513513513514
