model,feature_count,train_rows,validation_rows,test_rows,train_seasons,validation_seasons,test_seasons,internal_cv_log_loss,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,test_log_loss,test_brier_score,test_roc_auc,test_accuracy,test_balanced_accuracy,random_state,tuning_iterations,cv_folds,temporal_cv_folds,internal_temporal_cv_log_loss
model_4,28,6432,1741,888,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",2025,0.5173655362235657,0.5369515340275047,0.1801420395229676,0.7829727088017462,0.7346352670878805,0.6996714341486212,0.51515126657707,0.1721599499284916,0.8024377406576361,0.7398648648648649,0.7005152497299094,42,50,3.0,,
model_5,28,6432,1741,888,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",2025,,0.5363282608147355,0.1800478329879825,0.7832291782434122,0.7311889718552556,0.6956135176493721,0.5164236414369688,0.1725527230450433,0.8008144269924375,0.7421171171171171,0.7015457491897282,42,60,,4.0,0.5317744495354456
