split,season,games,log_loss_model4,log_loss_model5,log_loss_difference,brier_model4,brier_model5,brier_difference,auc_model4,auc_model5,auc_difference,accuracy_model4,accuracy_model5,accuracy_difference
validation,2023,868,0.5206291078323129,0.5194669261404822,-0.0011621816918306882,0.17274763217632969,0.17234710700907163,-0.00040052516725805343,0.8005088622069755,0.8017152658662093,0.0012064036592338567,0.7626728110599078,0.7569124423963134,-0.005760368663594417
validation,2024,873,0.5531804755365846,0.5530930242709232,-8.745126566134243e-05,0.18749409631206473,0.18770445400710573,0.00021035769504099133,0.7658966434106765,0.7650217030657,-0.0008749403449764825,0.7067583046964491,0.7056128293241696,-0.001145475372279492
test,2025,888,0.51515126657707,0.5164236414369688,0.0012723748598988394,0.17215994992849165,0.1725527230450433,0.0003927731165516424,0.8024377406576361,0.8008144269924375,-0.0016233136651985225,0.7398648648648649,0.7421171171171171,0.0022522522522522292
