split,metric,model_5,experiment_2,delta_experiment_2_minus_model_5
validation,ECE,0.022258574684076746,0.02366910161787192,0.0014105269337951754
validation,MCE,0.08823182741613195,0.09006810318103647,0.001836275764904527
test,ECE,0.04165100956999429,0.04193973807705287,0.00028872850705857767
test,MCE,0.24432435622472126,0.09728962670532693,-0.14703472951939434
