rank,feature,importance
122,totalYardsAvgBefore_away,0.0012173371955630505
123,totalYardsAvgBefore_home,0.0012171774091729135
124,awayPassAttemptsAvgBefore_away,0.0012141088119888743
125,awayThirdDownAttemptsAvgBefore_away,0.0012128528554477007
126,awayPointDifferentialBefore_away,0.0011927334092210484
127,thirdDownConversionsAvgBefore_away,0.0011920512962658358
128,tacklesForLossBefore_home,0.0011917216751687893
129,fumblesLostAvgBefore_away,0.0011907558711223849
130,homePointDifferentialAvgBefore_home,0.0011885528892693355
131,fumblesLostAvgBefore_home,0.0011765046833755596
132,pointsForAvgBefore_home,0.0011633904834594555
133,penaltyYardsAvgBefore_home,0.0011479022616466574
134,awayTacklesForLossAvgBefore_away,0.001144907696223515
135,pointsAgainstBefore_away,0.0011185490460951136
136,sacksBefore_away,0.0011104202390887516
137,rushingYardsBefore_away,0.001106774163839883
138,homeFirstDownsAvgBefore_home,0.001105038002094289
139,penaltiesBefore_away,0.0010967998692036588
140,pointsForBefore_away,0.0010910228977657449
141,homePointsForAvgBefore_home,0.0010900904114035435
142,sacksAvgBefore_home,0.001040726869209242
143,fourthDownAttemptsBefore_away,0.0010388781437328303
144,awayFirstDownsAvgBefore_away,0.0010184160787741132
145,passAttemptsAvgBefore_away,0.000999899512573848
146,homePassesDeflectedAvgBefore_home,0.0009903397757342843
147,awayPassingTDsAvgBefore_away,0.0009888317233036014
148,netPassingYardsAvgLast5_home,0.0009621479207001305
149,penaltiesAvgBefore_home,0.0009578212872261564
150,penaltiesBefore_home,0.0009436538884579106
151,yardsPerRushAttemptBefore_away,0.0009398707046384709
152,pointsForAvgLast3_away,0.0009333490170031573
153,thirdDownAttemptsAvgBefore_away,0.000930202501986104
154,passingTDsAvgBefore_home,0.0009254144842485194
155,netPassingYardsAvgBefore_home,0.0009035680702041592
156,homeTacklesForLossBefore_home,0.0008996373947224524
157,rushingAttemptsAvgBefore_home,0.0008925969210072558
158,totalYardsAvgLast3_away,0.0008917734016285586
159,passesDeflectedAvgBefore_home,0.0008871146771637487
160,awayFourthDownConversionsAvgBefore_away,0.0008766942668437845
161,totalYardsAvgLast5_away,0.0008747751069456867
162,awayNetPassingYardsBefore_away,0.0008727835205547612
163,qbHurriesAvgLast5_away,0.0008652471594141902
164,completionsAvgBefore_away,0.0008544766487348464
165,awayPointsAgainstBefore_away,0.0008532666083529283
166,qbHurriesBefore_away,0.0008524033435436147
167,homePassingTDsAvgBefore_home,0.0008523758445431774
168,netPassingYardsAvgLast3_home,0.0008437159260015626
169,sacksAvgLast3_away,0.0008412275125123771
170,thirdDownConversionsBefore_home,0.0008387187599614752
171,rushingYardsAvgLast5_home,0.000814477950717311
172,awayTotalYardsAvgBefore_away,0.0008125657945188321
173,thirdDownPctBefore_away,0.0008113888796073257
174,rushingYardsAvgBefore_home,0.0008065827551449052
175,homeFourthDownAttemptsAvgBefore_home,0.0008061234933316989
176,awayRushingAttemptsAvgBefore_away,0.0007784351142247059
177,homePenaltyYardsBefore_home,0.0007746512849648736
178,awayTurnoversAvgBefore_away,0.0007703597850978723
179,thirdDownConversionsAvgBefore_home,0.0007604830383275259
180,homeTurnoversAvgBefore_home,0.0007471924669411069
181,netPassingYardsAvgLast5_away,0.0007420001771276166
182,fourthDownPctBefore_away,0.000739424185865791
183,passesDeflectedBefore_away,0.0007350284244875528
184,turnoversBefore_home,0.0007282286632510769
185,fourthDownConversionsAvgBefore_away,0.0007179767088750728
186,awayWinPctBefore_away,0.0007125926398377923
187,awayPointsForBefore_away,0.0007111759504699706
188,completionsBefore_away,0.0006901740198473357
189,fourthDownAttemptsAvgBefore_away,0.0006858613969755677
190,totalYardsBefore_away,0.0006847452228801115
191,homeInterceptionsBefore_home,0.000680836831725523
192,interceptionsBefore_away,0.0006788970491157988
193,homeFumblesLostBefore_home,0.0006735991963961384
194,awayInterceptionsAvgBefore_away,0.0006726686767286528
195,homeRushingTDsBefore_home,0.0006696016569025415
196,homeInterceptionsAvgBefore_home,0.0006664756713718345
197,completionsAvgBefore_home,0.000658530946505964
