season,relative_feature,home_feature,away_feature,rows,max_absolute_error,missing_home,missing_away,passed
2021,returning_receiving_usage_diff,home_returning_receiving_usage,away_returning_receiving_usage,849,0.0,0,0,True
2021,returning_rushing_usage_diff,home_returning_rushing_usage,away_returning_rushing_usage,849,0.0,0,0,True
2022,returning_total_ppa_diff,home_returning_total_ppa,away_returning_total_ppa,854,0.0,0,0,True
2022,returning_passing_ppa_diff,home_returning_passing_ppa,away_returning_passing_ppa,854,0.0,0,0,True
2022,returning_receiving_ppa_diff,home_returning_receiving_ppa,away_returning_receiving_ppa,854,0.0,0,0,True
2022,returning_rushing_ppa_diff,home_returning_rushing_ppa,away_returning_rushing_ppa,854,0.0,0,0,True
2022,returning_usage_diff,home_returning_usage,away_returning_usage,854,0.0,0,0,True
2022,returning_passing_usage_diff,home_returning_passing_usage,away_returning_passing_usage,854,0.0,0,0,True
2022,returning_receiving_usage_diff,home_returning_receiving_usage,away_returning_receiving_usage,854,0.0,0,0,True
2022,returning_rushing_usage_diff,home_returning_rushing_usage,away_returning_rushing_usage,854,0.0,0,0,True
2023,returning_total_ppa_diff,home_returning_total_ppa,away_returning_total_ppa,868,0.0,0,0,True
2023,returning_passing_ppa_diff,home_returning_passing_ppa,away_returning_passing_ppa,868,0.0,0,0,True
2023,returning_receiving_ppa_diff,home_returning_receiving_ppa,away_returning_receiving_ppa,868,0.0,0,0,True
2023,returning_rushing_ppa_diff,home_returning_rushing_ppa,away_returning_rushing_ppa,868,0.0,0,0,True
2023,returning_usage_diff,home_returning_usage,away_returning_usage,868,0.0,0,0,True
2023,returning_passing_usage_diff,home_returning_passing_usage,away_returning_passing_usage,868,0.0,0,0,True
2023,returning_receiving_usage_diff,home_returning_receiving_usage,away_returning_receiving_usage,868,0.0,0,0,True
2023,returning_rushing_usage_diff,home_returning_rushing_usage,away_returning_rushing_usage,868,0.0,0,0,True
2024,returning_total_ppa_diff,home_returning_total_ppa,away_returning_total_ppa,873,0.0,0,0,True
2024,returning_passing_ppa_diff,home_returning_passing_ppa,away_returning_passing_ppa,873,0.0,0,0,True
2024,returning_receiving_ppa_diff,home_returning_receiving_ppa,away_returning_receiving_ppa,873,0.0,0,0,True
2024,returning_rushing_ppa_diff,home_returning_rushing_ppa,away_returning_rushing_ppa,873,0.0,0,0,True
2024,returning_usage_diff,home_returning_usage,away_returning_usage,873,0.0,0,0,True
2024,returning_passing_usage_diff,home_returning_passing_usage,away_returning_passing_usage,873,0.0,0,0,True
2024,returning_receiving_usage_diff,home_returning_receiving_usage,away_returning_receiving_usage,873,0.0,0,0,True
2024,returning_rushing_usage_diff,home_returning_rushing_usage,away_returning_rushing_usage,873,0.0,0,0,True
2025,returning_total_ppa_diff,home_returning_total_ppa,away_returning_total_ppa,888,0.0,0,0,True
2025,returning_passing_ppa_diff,home_returning_passing_ppa,away_returning_passing_ppa,888,0.0,0,0,True
2025,returning_receiving_ppa_diff,home_returning_receiving_ppa,away_returning_receiving_ppa,888,0.0,0,0,True
2025,returning_rushing_ppa_diff,home_returning_rushing_ppa,away_returning_rushing_ppa,888,0.0,0,0,True
2025,returning_usage_diff,home_returning_usage,away_returning_usage,888,0.0,0,0,True
2025,returning_passing_usage_diff,home_returning_passing_usage,away_returning_passing_usage,888,0.0,0,0,True
2025,returning_receiving_usage_diff,home_returning_receiving_usage,away_returning_receiving_usage,888,0.0,0,0,True
2025,returning_rushing_usage_diff,home_returning_rushing_usage,away_returning_rushing_usage,888,0.0,0,0,True
