importance_rank,feature,permutation_importance_mean,permutation_importance_std
1,awayPregameElo,0.05602216707836928,0.016318247225666015
2,homePregameElo,0.01646994868307907,0.01584921582050423
3,totalYardsTrend_home,-0.004815350553300568,0.008132260563437554
4,netPassingYardsTrend_home,-0.006438119992348901,0.00866854191682438
5,pointsAgainstTrend_home,-0.007126379534224225,0.008654800977856954
6,pointsForTrend_away,-0.007496030622260485,0.009128346501020176
7,pointsAgainstTrend_away,-0.00835050231276152,0.009107906781054635
8,netPassingYardsTrend_away,-0.008577726805475683,0.008981489957774135
9,pointDifferentialBefore_away,-0.008599018423285287,0.006463702657072136
10,winPctTrend_home,-0.00864833716718193,0.009000389909645072
11,pointDifferentialTrend_home,-0.008773734979090375,0.00859162737464339
12,totalYardsTrend_away,-0.008800759061376206,0.008913398986119949
13,winPctTrend_away,-0.00889426417927217,0.009134261160622095
14,pointsForTrend_home,-0.008909008464144408,0.00876139993820961
15,pointDifferentialTrend_away,-0.00897127671657264,0.008987088292999934
16,priorSOSPointDiff_away,-0.009782413042720173,0.008694833729488717
17,away_pregame_offense_successRate,-0.011348742239767517,0.006043320003532695
18,priorSOSWinPct_away,-0.011429552822988154,0.008831646894149968
19,away_pregame_defense_successRate,-0.01207546422855581,0.009166888958405069
20,pointsAgainstAvgLast5_home,-0.01218274090786121,0.008820346090986808
21,winPctBefore_away,-0.012838953588251156,0.007338036666258647
22,pointDifferentialAvgLast5_away,-0.013150308325471571,0.0013233047287958303
23,pointDifferentialAvgBefore_home,-0.013203652185257365,0.007469104833239796
24,pointDifferentialAvgLast3_away,-0.013644748690728159,0.0012980147655444543
25,pointDifferentialAvgBefore_away,-0.013680909597010316,0.001295908301387213
26,pointDifferentialBefore_home,-0.014215159067498085,0.0063527163067428
27,home_pregame_defense_successRate,-0.014296253092856592,0.007083172251957608
28,home_pregame_offense_successRate,-0.014718708834023741,0.007309158912553724
29,yardsPerPassAttemptBefore_away,-0.014794090083869204,0.005481116089765941
30,priorSOSPointDiff_home,-0.01501863069380347,0.007133155825037632
31,priorSOSWinPct_home,-0.015733658616431577,0.0071817717600487435
32,pointsForAvgLast5_away,-0.01586373175430076,0.0007187989522374105
33,pointDifferentialAvgLast5_home,-0.015874212749462657,0.005533986423075522
34,away_pregame_offense_ppa,-0.016382686616913,0.0006229398793156471
35,home_pregame_defense_ppa,-0.01666877866182894,0.005664853184595879
36,winPctBefore_home,-0.017049632004780345,0.0009725845785456319
37,pointsAgainstAvgLast5_away,-0.01801709172315219,0.0013408415676220765
38,home_pregame_offense_ppa,-0.0183627951577802,0.0008657430420143087
39,yardsPerRushAttemptBefore_away,-0.01846332603977848,0.0005315429107999417
40,away_pregame_defense_ppa,-0.018710053327543476,0.0009969858290254916
41,yardsPerRushAttemptBefore_home,-0.01881735325161692,0.00099625999227819
42,yardsPerPassAttemptBefore_home,-0.019110246639891082,0.0010724194231001181
43,pointDifferentialAvgLast3_home,-0.019319263559367916,0.0005501135349519941
44,pointsForAvgLast5_home,-0.020089420331762742,0.0005045117385535484
