family_rank,feature_family,feature_count,total_importance,mean_importance,max_importance,importance_share
1,Recent Form,8,0.1803652239631371,0.022545652995392136,0.02823389669522775,0.1803652239631371
2,Elo,2,0.1802134485602115,0.09010672428010574,0.0938123907966123,0.1802134485602115
3,Offensive Efficiency,8,0.17080823745731802,0.021351029682164752,0.02398605077834214,0.17080823745731802
4,Core Strength,6,0.16451098012141047,0.027418496686901744,0.03619402821211879,0.16451098012141047
5,Trend,12,0.15062782829760274,0.012552319024800229,0.013627652729999794,0.15062782829760274
6,Defensive Efficiency,4,0.08256152523671909,0.02064038130917977,0.021901887657133023,0.08256152523671909
7,Prior SOS,4,0.07091275636360118,0.017728189090900296,0.02100318713451032,0.07091275636360118
