feature,train_missing_pct,validation_missing_pct,test_missing_pct
priorSOSWinPct_away,24.08271144278607,20.16082711085583,20.15765765765766
priorSOSPointDiff_away,24.08271144278607,20.16082711085583,20.15765765765766
priorSOSWinPct_home,21.0976368159204,20.390580126364156,20.045045045045047
priorSOSPointDiff_home,21.0976368159204,20.390580126364156,20.045045045045047
away_pregame_offense_successRate,15.143034825870647,11.430212521539346,10.81081081081081
away_pregame_offense_ppa,15.143034825870647,11.430212521539346,10.81081081081081
away_pregame_defense_successRate,15.143034825870647,11.430212521539346,10.81081081081081
away_pregame_defense_ppa,15.143034825870647,11.430212521539346,10.81081081081081
yardsPerPassAttemptBefore_away,14.629975124378108,10.683515221137277,10.247747747747747
yardsPerRushAttemptBefore_away,14.629975124378108,10.683515221137277,10.247747747747747
totalYardsTrend_away,14.629975124378108,10.683515221137277,10.247747747747747
netPassingYardsTrend_away,14.629975124378108,10.683515221137277,10.247747747747747
pointsForTrend_away,14.614427860696516,10.683515221137277,10.247747747747747
pointsAgainstTrend_away,14.614427860696516,10.683515221137277,10.247747747747747
pointDifferentialAvgLast5_away,14.614427860696516,10.683515221137277,10.247747747747747
winPctBefore_away,14.614427860696516,10.683515221137277,10.247747747747747
pointDifferentialTrend_away,14.614427860696516,10.683515221137277,10.247747747747747
winPctTrend_away,14.614427860696516,10.683515221137277,10.247747747747747
pointsForAvgLast5_away,14.614427860696516,10.683515221137277,10.247747747747747
pointsAgainstAvgLast5_away,14.614427860696516,10.683515221137277,10.247747747747747
pointDifferentialAvgBefore_away,14.614427860696516,10.683515221137277,10.247747747747747
pointDifferentialAvgLast3_away,14.614427860696516,10.683515221137277,10.247747747747747
awayPregameElo,12.360074626865671,13.727742676622631,14.18918918918919
home_pregame_offense_ppa,10.914179104477611,10.568638713383113,10.022522522522523
home_pregame_defense_successRate,10.914179104477611,10.568638713383113,10.022522522522523
home_pregame_defense_ppa,10.914179104477611,10.568638713383113,10.022522522522523
home_pregame_offense_successRate,10.914179104477611,10.568638713383113,10.022522522522523
homePregameElo,10.478855721393035,0.0,0.11261261261261261
yardsPerRushAttemptBefore_home,10.463308457711443,10.338885697874785,10.135135135135135
yardsPerPassAttemptBefore_home,10.463308457711443,10.338885697874785,10.135135135135135
totalYardsTrend_home,10.463308457711443,10.338885697874785,10.135135135135135
netPassingYardsTrend_home,10.463308457711443,10.338885697874785,10.135135135135135
pointDifferentialAvgBefore_home,10.44776119402985,10.338885697874785,10.135135135135135
winPctBefore_home,10.44776119402985,10.338885697874785,10.135135135135135
pointDifferentialAvgLast5_home,10.44776119402985,10.338885697874785,10.135135135135135
pointDifferentialAvgLast3_home,10.44776119402985,10.338885697874785,10.135135135135135
pointsAgainstAvgLast5_home,10.44776119402985,10.338885697874785,10.135135135135135
pointsForAvgLast5_home,10.44776119402985,10.338885697874785,10.135135135135135
winPctTrend_home,10.44776119402985,10.338885697874785,10.135135135135135
pointDifferentialTrend_home,10.44776119402985,10.338885697874785,10.135135135135135
pointsForTrend_home,10.44776119402985,10.338885697874785,10.135135135135135
pointsAgainstTrend_home,10.44776119402985,10.338885697874785,10.135135135135135
pointDifferentialBefore_away,0.0,0.0,0.0
pointDifferentialBefore_home,0.0,0.0,0.0
