split,season,games,home_win_rate,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy
validation,2023,868,0.6336405529953917,0.5648777934347124,0.17578732076665424,0.7937793024585478,0.7396313364055299,0.7056718124642654
validation,2024,873,0.6380297823596792,0.5636656547816269,0.19074317073178307,0.7547866054587188,0.697594501718213,0.6534781719428221
test,2025,888,0.6452702702702703,0.5247910000569379,0.17632736607260793,0.7922324718136237,0.75,0.7069392503947478
