split,bin_lower,bin_upper,count,mean_predicted_probability,actual_home_win_rate,calibration_error,absolute_calibration_error,weighted_absolute_calibration_error
validation,0.0,0.05,5,0.044,0.2,0.15600000000000003,0.15600000000000003,0.00044469783352337524
validation,0.05,0.1,8,0.07500000000000001,0.125,0.04999999999999999,0.04999999999999999,0.00022805017103762822
validation,0.1,0.15000000000000002,23,0.13069565217391305,0.08695652173913043,-0.043739130434782614,0.043739130434782614,0.0005735461801596352
validation,0.15000000000000002,0.2,42,0.1763809523809524,0.21428571428571427,0.037904761904761886,0.037904761904761886,0.0009076396807297601
validation,0.2,0.25,53,0.22709070243237098,0.2830188679245283,0.05592816549215732,0.05592816549215732,0.0016899616710857115
validation,0.25,0.3,65,0.27399999999999997,0.3076923076923077,0.033692307692307744,0.033692307692307744,0.0012485746864310168
validation,0.30000000000000004,0.35000000000000003,69,0.3295942028985507,0.30434782608695654,-0.02524637681159414,0.02524637681159414,0.0009931584948688686
validation,0.35000000000000003,0.4,59,0.37644067796610164,0.3898305084745763,0.013389830508474643,0.013389830508474643,0.0004503990877993181
validation,0.4,0.45,86,0.42653488372093024,0.46511627906976744,0.0385813953488372,0.0385813953488372,0.001891676168757126
validation,0.45,0.5,124,0.4739516129032258,0.5080645161290323,0.03411290322580646,0.03411290322580646,0.002411630558722919
validation,0.5,0.55,122,0.5225737704918033,0.5,-0.022573770491803313,0.022573770491803313,0.001570125427594073
validation,0.55,0.6000000000000001,151,0.574794701986755,0.5761589403973509,0.0013642384105959637,0.0013642384105959637,0.00011744583808437317
validation,0.6000000000000001,0.6500000000000001,130,0.6256307692307692,0.676923076923077,0.05129230769230775,0.05129230769230775,0.0038015963511972674
validation,0.65,0.7000000000000001,141,0.6756595744680851,0.7446808510638298,0.06902127659574464,0.06902127659574464,0.005548460661345493
validation,0.7000000000000001,0.7500000000000001,124,0.7242338432582907,0.7741935483870968,0.0499597051288061,0.0499597051288061,0.0035319289828802487
validation,0.75,0.8,129,0.773172870035621,0.8294573643410853,0.05628449430546434,0.05628449430546434,0.004139509558383637
validation,0.8,0.8500000000000001,148,0.8254538678372566,0.8648648648648649,0.03941099702760831,0.03941099702760831,0.0033254433067765273
validation,0.8500000000000001,0.9000000000000001,110,0.875582643178515,0.9,0.024417356821485048,0.024417356821485048,0.001531305159842278
validation,0.9,0.9500000000000001,86,0.9212800040710728,0.9186046511627907,-0.002675352908282136,0.002675352908282136,0.00013117465798874784
validation,0.9500000000000001,1.0,79,0.9810478438516702,0.9367088607594937,-0.04433898309217654,0.04433898309217654,0.0019970237538665604
test,0.05,0.1,6,0.08833333333333332,0.0,-0.08833333333333332,0.08833333333333332,0.0005921787709497206
test,0.1,0.15000000000000002,12,0.12616666666666665,0.16666666666666666,0.04050000000000001,0.04050000000000001,0.0005430167597765364
test,0.15000000000000002,0.2,20,0.1774,0.3,0.12259999999999999,0.12259999999999999,0.002739664804469274
test,0.2,0.25,18,0.22688888888888886,0.16666666666666666,-0.060222222222222205,0.060222222222222205,0.0012111731843575415
test,0.25,0.3,30,0.27593333333333336,0.43333333333333335,0.15739999999999998,0.15739999999999998,0.005275977653631285
test,0.30000000000000004,0.35000000000000003,36,0.32872222222222225,0.3055555555555556,-0.02316666666666667,0.02316666666666667,0.0009318435754189945
test,0.35000000000000003,0.4,49,0.37755102040816324,0.2653061224489796,-0.11224489795918363,0.11224489795918363,0.0061452513966480425
test,0.4,0.45,39,0.4238974358974359,0.358974358974359,-0.06492307692307692,0.06492307692307692,0.0028290502793296085
test,0.45,0.5,47,0.47357446808510634,0.44680851063829785,-0.026765957446808486,0.026765957446808486,0.0014055865921787697
test,0.5,0.55,72,0.527288846721653,0.6666666666666666,0.13937781994501364,0.13937781994501364,0.011212517358705008
test,0.55,0.6000000000000001,78,0.5756138247050795,0.5769230769230769,0.001309252217997381,0.001309252217997381,0.00011410242793720191
test,0.6000000000000001,0.6500000000000001,81,0.6286666666666667,0.6296296296296297,0.0009629629629629433,0.0009629629629629433,8.715083798882504e-05
test,0.65,0.7000000000000001,83,0.6739021485180264,0.7710843373493976,0.0971821888313712,0.0971821888313712,0.009012426450283587
test,0.7000000000000001,0.7500000000000001,68,0.7270504303948994,0.8235294117647058,0.09647898136980648,0.09647898136980648,0.007330246629214348
test,0.75,0.8,62,0.7728355879292405,0.9032258064516129,0.13039021852237243,0.13039021852237243,0.009032618489817979
test,0.8,0.8500000000000001,61,0.826807514876051,0.8360655737704918,0.009258058894440868,0.009258058894440868,0.000630996192805467
test,0.8500000000000001,0.9000000000000001,47,0.8744216170212765,0.9148936170212766,0.040472000000000063,0.040472000000000063,0.002125345251396651
test,0.9,0.9500000000000001,43,0.9240134288720528,0.9534883720930233,0.02947494322097044,0.02947494322097044,0.001416114590504725
test,0.9500000000000001,1.0,43,0.9766468505926078,1.0,0.023353149407392193,0.023353149407392193,0.0011219948877294573
