column,current_category,predictive_safe_current,target_candidate_current,leakage_risk_current,automatic_suggestion,feature_context
fourthDownEff_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownEff_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
firstDowns_away,unknown,False,False,review,current_game,STAT=downs
tacklesForLoss_away,unknown,False,False,review,current_game,STAT=tackles
defensiveTDs_away,unknown,False,False,review,current_game,STAT=TDs
tackles_away,unknown,False,False,review,current_game,STAT=tackles
sacks_away,unknown,False,False,review,current_game,STAT=sacks
qbHurries_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
passesDeflected_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
awayPoints_away,unknown,False,False,review,current_game,AWAY | STAT=points
pointsFor_away,unknown,False,False,review,current_game,STAT=points
pointsAgainst_away,unknown,False,False,review,current_game,STAT=points
pointDifferential_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
win_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
completions_away,unknown,False,False,review,current_game,STAT=completions
passAttempts_away,unknown,False,False,review,current_game,STAT=attempts
completionPct_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownConversions_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownAttempts_away,unknown,False,False,review,current_game,STAT=attempts
thirdDownPct_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
fourthDownConversions_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
fourthDownAttempts_away,unknown,False,False,review,current_game,STAT=attempts
fourthDownPct_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
penalties_away,unknown,False,False,review,current_game,STAT=penalties
penaltyYards_away,unknown,False,False,review,current_game,STAT=yards
possessionSeconds_away,unknown,False,False,review,current_game,STAT=possession
pointsForAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointsAgainstAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointDifferentialAvgLast3_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
rushingYardsAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
netPassingYardsAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
totalYardsAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
sacksAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=sacks
qbHurriesAvgLast3_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
passesDeflectedAvgLast3_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
tacklesForLossAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=tackles
turnoversAvgLast3_away,unknown,False,False,review,current_game,AVERAGE | STAT=turnovers
pointsForAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointsAgainstAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointDifferentialAvgLast5_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
rushingYardsAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
netPassingYardsAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
totalYardsAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=yards
sacksAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=sacks
qbHurriesAvgLast5_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
passesDeflectedAvgLast5_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
tacklesForLossAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=tackles
turnoversAvgLast5_away,unknown,False,False,review,current_game,AVERAGE | STAT=turnovers
winPctLast3_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
winPctLast5_away,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
startTimeTBD,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
neutralSite,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
conferenceGame,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
attendance,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
venueId,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
venue,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
