year,team,recruiting_count,recruiting_rated_count,recruiting_avg_rating,recruiting_max_rating,recruiting_5star_count,recruiting_4star_count,recruiting_top_100_count
2023,Abilene Christian,1,1,0.8508,0.8508,0,0,0
2023,Air Force,47,25,0.807856,0.835,0,0,0
2023,Akron,21,16,0.81026875,0.8367,0,0,0
2023,Alabama,27,27,0.9461851851851852,0.9984,9,16,14
2023,Alabama A&M,1,1,0.75,0.75,0,0,0
2023,Alabama State,6,1,0.817,0.817,0,0,0
2023,Alcorn State,6,1,0.82,0.82,0,0,0
2023,App State,15,15,0.8343133333333334,0.8878,0,0,0
2023,Arizona,27,25,0.857612,0.8979,0,3,0
2023,Arizona State,19,17,0.8663352941176471,0.9623,0,1,1
2023,Arkansas,27,21,0.8859333333333334,0.9404,0,8,0
2023,Arkansas State,22,21,0.8342809523809523,0.8619,0,0,0
2023,Arkansas-Pine Bluff,2,1,0.8622,0.8622,0,0,0
2023,Army,39,24,0.8100583333333334,0.8525,0,0,0
2023,Auburn,19,19,0.8965631578947368,0.9655,0,10,1
2023,Austin Peay,14,6,0.8358,0.8736,0,0,0
2023,BYU,21,21,0.8452190476190476,0.9036,0,3,0
2023,Ball State,19,16,0.8205875,0.8497,0,0,0
2023,Baylor,21,20,0.8755000000000001,0.9081,0,2,0
2023,Bethune-Cookman,5,1,0.8,0.8,0,0,0
2023,Boise State,25,24,0.827025,0.8844,0,0,0
2023,Boston College,18,17,0.8612411764705882,0.8808,0,0,0
2023,Bowling Green,16,10,0.81939,0.8525,0,0,0
2023,Brown,4,1,0.79,0.79,0,0,0
2023,Buffalo,14,12,0.819175,0.8585,0,0,0
2023,Butler,3,2,0.775,0.78,0,0,0
2023,Cal Poly,17,17,0.8127117647058824,0.8533,0,0,0
2023,California,14,13,0.8429538461538463,0.8939,0,1,0
2023,Campbell,23,21,0.8187761904761904,0.85,0,0,0
2023,Central Arkansas,7,2,0.83805,0.84,0,0,0
2023,Central Michigan,22,22,0.7857590909090909,0.8567,0,0,0
2023,Charlotte,15,4,0.846125,0.8769,0,0,0
2023,Chattanooga,3,1,0.817,0.817,0,0,0
2023,Cincinnati,12,11,0.8771,0.9015,0,1,0
2023,Clemson,26,26,0.9077807692307692,0.9863,1,18,4
2023,Coastal Carolina,17,8,0.8414625,0.8869,0,0,0
2023,Colgate,6,4,0.8262499999999999,0.855,0,0,0
2023,Colorado,18,18,0.8750833333333333,0.9921,1,3,1
2023,Colorado State,27,23,0.8404130434782608,0.8884,0,0,0
2023,Columbia,3,1,0.77,0.77,0,0,0
2023,Dartmouth,3,2,0.8108500000000001,0.8317,0,0,0
2023,Davidson,2,1,0.77,0.77,0,0,0
2023,Delaware,10,2,0.82245,0.8285,0,0,0
2023,Drake,2,1,0.72,0.72,0,0,0
2023,Duke,26,26,0.8563807692307692,0.8714,0,0,0
2023,Duquesne,10,3,0.82,0.84,0,0,0
2023,East Carolina,21,20,0.84695,0.914,0,1,0
2023,East Tennessee State,3,2,0.8274999999999999,0.835,0,0,0
2023,Eastern Illinois,4,1,0.75,0.75,0,0,0
2023,Eastern Kentucky,6,2,0.83975,0.8517,0,0,0
2023,Eastern Michigan,20,17,0.8276529411764706,0.875,0,0,0
2023,Eastern Washington,14,12,0.7926416666666666,0.8417,0,0,0
2023,Florida,21,21,0.9154333333333333,0.9812,0,18,2
2023,Florida A&M,8,5,0.83776,0.8778,0,0,0
2023,Florida Atlantic,20,18,0.8391833333333333,0.8597,0,0,0
2023,Florida International,19,17,0.8316176470588235,0.8508,0,0,0
2023,Florida State,17,17,0.8994764705882353,0.9865,1,8,1
2023,Fordham,3,1,0.82,0.82,0,0,0
2023,Fresno State,14,14,0.8259357142857143,0.8519,0,0,0
2023,Furman,6,1,0.8204,0.8204,0,0,0
2023,Gardner-Webb,6,1,0.81,0.81,0,0,0
2023,Georgetown,6,1,0.79,0.79,0,0,0
2023,Georgia,26,26,0.9406076923076923,0.99,5,17,12
2023,Georgia Southern,21,14,0.8236142857142857,0.8437,0,0,0
2023,Georgia State,14,11,0.8243090909090909,0.8506,0,0,0
2023,Georgia Tech,21,19,0.8566368421052631,0.8728,0,0,0
2023,Grambling,4,2,0.8222,0.8244,0,0,0
2023,Grand Valley State,20,11,0.7881818181818182,0.86,0,0,0
2023,Harvard,7,6,0.83475,0.8585,0,0,0
2023,Hawai'i,18,17,0.8133647058823529,0.8489,0,0,0
2023,Holy Cross,13,1,0.78,0.78,0,0,0
2023,Houston,18,18,0.8641222222222222,0.9241,0,3,0
2023,Houston Christian,6,3,0.8387666666666668,0.8485,0,0,0
2023,Howard,5,2,0.8503000000000001,0.8706,0,0,0
