year,team,recruiting_count,recruiting_rated_count,recruiting_avg_rating,recruiting_max_rating,recruiting_5star_count,recruiting_4star_count,recruiting_top_100_count
2025,Air Force,49,33,0.8195060606060607,0.86,0,0,0
2025,Akron,11,10,0.82596,0.8572,0,0,0
2025,Alabama,20,20,0.9336800000000001,0.9997,3,14,8
2025,Alabama A&M,2,1,0.8,0.8,0,0,0
2025,Alabama State,5,2,0.855,0.86,0,0,0
2025,Alcorn State,2,2,0.84,0.85,0,0,0
2025,App State,16,12,0.8483,0.8636,0,0,0
2025,Arizona,25,25,0.862004,0.9106,0,1,0
2025,Arizona State,22,22,0.8672363636363637,0.9135,0,2,0
2025,Arkansas,21,21,0.876804761904762,0.9285,0,3,0
2025,Arkansas State,24,24,0.8427833333333333,0.8614,0,0,0
2025,Army,50,31,0.8058096774193548,0.8722,0,0,0
2025,Auburn,26,26,0.915673076923077,0.9862,1,17,5
2025,Austin Peay,10,5,0.8533799999999999,0.8769,0,0,0
2025,BYU,24,24,0.8637916666666667,0.9471,0,2,0
2025,Ball State,16,14,0.8212357142857142,0.86,0,0,0
2025,Baylor,21,21,0.8712428571428571,0.9149,0,4,0
2025,Boise State,26,26,0.849123076923077,0.8917,0,1,0
2025,Boston College,27,27,0.8595777777777778,0.875,0,0,0
2025,Bowling Green,22,20,0.8336600000000001,0.8572,0,0,0
2025,Brown,3,3,0.7799999999999999,0.79,0,0,0
2025,Bryant,4,2,0.8079000000000001,0.8458,0,0,0
2025,Bucknell,7,4,0.78,0.82,0,0,0
2025,Buffalo,18,16,0.84035625,0.8567,0,0,0
2025,Butler,1,1,0.76,0.76,0,0,0
2025,Cal Poly,17,11,0.8198,0.8511,0,0,0
2025,California,15,15,0.8649933333333333,0.8928,0,2,0
2025,Campbell,4,2,0.8126,0.8452,0,0,0
2025,Central Arkansas,5,4,0.8590249999999999,0.88,0,0,0
2025,Central Michigan,12,11,0.8308545454545455,0.8558,0,0,0
2025,Charleston Southern,13,4,0.8075,0.83,0,0,0
2025,Charlotte,6,3,0.8329666666666666,0.86,0,0,0
2025,Chattanooga,7,6,0.8312333333333334,0.84,0,0,0
2025,Cincinnati,20,20,0.858905,0.8861,0,0,0
2025,Clemson,15,15,0.90476,0.9874,1,6,2
2025,Coastal Carolina,12,11,0.8441545454545455,0.8689,0,0,0
2025,Colgate,7,6,0.79445,0.8367,0,0,0
2025,Colorado,16,15,0.8873733333333333,0.9762,0,8,1
2025,Colorado State,13,13,0.8402153846153847,0.8719,0,0,0
2025,Columbia,9,7,0.8004714285714286,0.8533,0,0,0
2025,Cornell,11,8,0.8136125,0.8589,0,0,0
2025,Dartmouth,8,6,0.7999999999999999,0.85,0,0,0
2025,Davidson,5,1,0.79,0.79,0,0,0
2025,Dayton,3,3,0.7433333333333333,0.76,0,0,0
2025,Delaware,20,7,0.8313857142857143,0.8617,0,0,0
2025,Delaware State,3,3,0.8439,0.86,0,0,0
2025,Drake,14,5,0.758,0.77,0,0,0
2025,Duke,28,28,0.8692321428571429,0.9636,0,4,1
2025,Duquesne,4,3,0.8141666666666666,0.8625,0,0,0
