year,team,recruiting_count,recruiting_rated_count,recruiting_avg_rating,recruiting_max_rating,recruiting_5star_count,recruiting_4star_count,recruiting_top_100_count
2024,Abilene Christian,1,1,0.82,0.82,0,0,0
2024,Air Force,46,25,0.799712,0.84,0,0,0
2024,Akron,13,12,0.831875,0.8583,0,0,0
2024,Alabama,28,28,0.9312321428571428,0.9982,5,17,9
2024,Alabama A&M,6,2,0.835,0.84,0,0,0
2024,Alabama State,8,3,0.8406333333333333,0.85,0,0,0
2024,App State,19,18,0.8317388888888888,0.8567,0,0,0
2024,Arizona,15,13,0.8613384615384615,0.9208,0,2,0
2024,Arizona State,21,20,0.86384,0.9076,0,1,0
2024,Arkansas,17,17,0.887864705882353,0.9582,0,7,1
2024,Arkansas State,28,26,0.8311076923076922,0.8778,0,0,0
2024,Army,50,28,0.7896928571428571,0.8311,0,0,0
2024,Auburn,22,21,0.9133190476190476,0.9985,1,14,5
2024,Austin Peay,6,4,0.836025,0.8485,0,0,0
2024,BYU,25,25,0.851788,0.9125,0,2,0
2024,Ball State,21,21,0.8096476190476191,0.8404,0,0,0
2024,Baylor,13,13,0.8657230769230769,0.8904,0,1,0
2024,Bethune-Cookman,17,6,0.8425833333333334,0.85,0,0,0
2024,Boise State,20,19,0.8399,0.8731,0,0,0
2024,Boston College,12,12,0.8537833333333333,0.8658,0,0,0
2024,Bowling Green,21,19,0.8195,0.8547,0,0,0
2024,Brown,1,1,0.8614,0.8614,0,0,0
2024,Bryant,5,1,0.86,0.86,0,0,0
2024,Bucknell,2,2,0.77,0.77,0,0,0
2024,Buffalo,22,15,0.8199799999999999,0.8558,0,0,0
2024,Cal Poly,20,15,0.8156800000000001,0.8608,0,0,0
2024,California,20,20,0.852415,0.8923,0,1,0
2024,Campbell,9,6,0.8256333333333333,0.8597,0,0,0
2024,Central Arkansas,8,6,0.8397,0.8517,0,0,0
2024,Central Michigan,18,17,0.8166705882352941,0.8517,0,0,0
2024,Charlotte,16,14,0.8431714285714286,0.8803,0,0,0
2024,Chattanooga,5,3,0.85,0.87,0,0,0
2024,Cincinnati,24,23,0.8554478260869566,0.8906,0,1,0
2024,Clemson,23,23,0.9030304347826087,0.9929,2,10,5
2024,Coastal Carolina,22,15,0.8401466666666667,0.8678,0,0,0
2024,Colgate,2,2,0.8085,0.837,0,0,0
2024,Colorado,12,9,0.9025000000000001,0.9934,1,3,1
2024,Colorado State,20,19,0.8432315789473684,0.89,0,0,0
2024,Columbia,4,1,0.82,0.82,0,0,0
2024,Cornell,3,2,0.78,0.79,0,0,0
2024,Dartmouth,5,1,0.8,0.8,0,0,0
2024,Dayton,17,3,0.7799999999999999,0.78,0,0,0
2024,Delaware,14,5,0.829,0.84,0,0,0
2024,Duke,18,17,0.8646294117647059,0.8917,0,1,0
2024,Duquesne,2,2,0.8343,0.8686,0,0,0
2024,East Carolina,20,18,0.8454,0.8711,0,0,0
2024,East Tennessee State,10,3,0.8166666666666668,0.83,0,0,0
2024,East Texas A&M,1,1,0.84,0.84,0,0,0
2024,Eastern Illinois,8,5,0.784,0.82,0,0,0
2024,Eastern Kentucky,10,7,0.8133857142857143,0.8526,0,0,0
2024,Eastern Michigan,21,20,0.820945,0.8639,0,0,0
2024,Eastern Washington,16,16,0.8046875,0.85,0,0,0
2024,Florida,19,19,0.9146842105263159,0.9964,2,11,5
2024,Florida A&M,4,0,,,0,0,0
2024,Florida Atlantic,16,16,0.844775,0.8778,0,0,0
2024,Florida International,13,13,0.8270846153846154,0.8661,0,0,0
2024,Florida State,25,24,0.9084958333333333,0.9748,0,16,4
2024,Fordham,5,2,0.8226,0.8452,0,0,0
2024,Fresno State,17,17,0.8341941176470589,0.8761,0,0,0
2024,Furman,4,1,0.82,0.82,0,0,0
2024,Georgetown,5,4,0.8275,0.845,0,0,0
2024,Georgia,32,31,0.9279258064516128,0.9994,5,19,10
2024,Georgia Southern,22,20,0.82538,0.8736,0,0,0
2024,Georgia State,11,11,0.8280909090909091,0.8547,0,0,0
2024,Georgia Tech,23,23,0.8738652173913044,0.9234,0,3,0
2024,Grambling,13,4,0.844525,0.8544,0,0,0
2024,Grand Valley State,10,9,0.7674444444444445,0.817,0,0,0
2024,Hampton,5,2,0.85375,0.8542,0,0,0
