rank,feature,importance_mean,importance_std
1,awayPregameElo,0.1252616403975456,0.00761863171311552
2,homePregameElo,0.08530077592326418,0.008717141307477692
3,away_pregame_offense_successRate,0.009423454584806345,0.0017151297865837373
4,pointDifferentialBefore_away,0.006142955189550691,0.0015226474882906577
5,away_pregame_offense_ppa,0.003116369092820259,0.0006309218574335802
6,pointDifferentialAvgLast3_away,0.002745300650317839,0.0006696305511455546
7,priorSOSPointDiff_away,0.002645732381675492,0.001573905739800294
8,home_pregame_offense_successRate,0.0024374420425573584,0.0018359719510543822
9,yardsPerPassAttemptBefore_away,0.0017426321459577897,0.001093566470516958
10,home_pregame_offense_ppa,0.0012577156060564754,0.000961809468108636
11,yardsPerPassAttemptBefore_home,0.0011548514411814704,0.0007387967439655868
12,home_pregame_defense_ppa,0.0009156080208835071,0.001029500323672371
13,pointDifferentialAvgBefore_away,0.0007411613993435484,0.0006426587561882648
14,netPassingYardsTrend_away,0.0007150412469452139,0.0004049710967891129
15,winPctTrend_home,0.0007118294356873057,0.0007476211924401545
16,pointsAgainstTrend_away,0.0006040991566156784,0.0011520410568446014
17,pointDifferentialBefore_home,0.0005813968531448666,0.000892905150429055
18,pointDifferentialAvgLast5_away,0.0005221271971485364,0.0008295465845837346
19,netPassingYardsTrend_home,0.00047637183941027226,0.0009554009638918868
20,pointsForTrend_away,0.00046917839949943695,0.0004463623898334466
21,priorSOSWinPct_home,0.00034681154945553905,0.0008863462053728023
22,priorSOSWinPct_away,0.00023927140393718017,0.0003891136898531544
23,away_pregame_defense_ppa,0.00022869043850008984,0.0005761978989932299
24,totalYardsTrend_home,0.00021573992595569358,0.0003804495863488509
25,totalYardsTrend_away,0.0001844760149062985,0.0003362714778796171
26,priorSOSPointDiff_home,0.00016995011318061693,0.0007675482007163391
27,pointsForAvgLast5_away,0.00013754117383852905,0.0005901640995573419
28,yardsPerRushAttemptBefore_away,8.224067827964366e-05,0.0009039617008020217
29,winPctBefore_away,2.1203044140793993e-05,0.00014499792660181061
30,winPctTrend_away,1.14359116698326e-05,0.00031776829917259144
31,pointDifferentialAvgLast5_home,-2.8540958805511885e-05,0.0003163308492906765
32,pointsAgainstAvgLast5_away,-9.881853246416217e-05,0.0003343078221040897
33,pointDifferentialTrend_away,-0.00020932517491921708,0.0007968364185469014
34,pointDifferentialAvgBefore_home,-0.00025051707687447913,0.0005265114233887995
35,pointsAgainstAvgLast5_home,-0.00045183580996722706,0.00028308047026688376
36,home_pregame_defense_successRate,-0.0005237168746174969,0.000865419005367129
37,pointsAgainstTrend_home,-0.0005386149667267137,0.0014813013764495766
38,away_pregame_defense_successRate,-0.0005823306666237982,0.0018758355696023897
39,pointsForTrend_home,-0.0006096651797123154,0.0004521958103320075
40,winPctBefore_home,-0.0006229663289021081,0.0008380160348791628
41,pointDifferentialTrend_home,-0.0006467759375380688,0.0005449982228116886
42,pointDifferentialAvgLast3_home,-0.000778061263144203,0.0003666612733836632
43,yardsPerRushAttemptBefore_home,-0.0012706239428028955,0.00046202831870954835
44,pointsForAvgLast5_home,-0.0022683140829864667,0.0007583039315171195
