feature,mean_missing_pct,min_missing_pct,max_missing_pct,seasons_all_missing
completionPctDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
netPassingYardsTrendDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
penaltyYardsAvgDiff,14.20691580138715,10.698198198198199,17.432273262661955,0
pointDifferentialAvgDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
pointDifferentialTrendDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
pointsAgainstAvgDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
pointsAgainstTrendDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
pointsForAvgDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
pointsForTrendDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
possessionSecondsAvgDiff,14.26070816287182,10.698198198198199,17.432273262661955,0
priorSOSPointDiffDiff,24.50317738806547,20.945945945945947,28.96678966789668,0
priorSOSWinPctDiff,24.50317738806547,20.945945945945947,28.96678966789668,0
sacksAvgDiff,22.611254896564166,10.698198198198199,100.0,1
thirdDownPctDiff,14.223896338797454,10.698198198198199,17.432273262661955,0
totalYardsAvgDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
totalYardsTrendDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
turnoversAvgDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
winPctDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
winPctTrendDiff,14.18551223647791,10.698198198198199,17.432273262661955,0
yardsPerPassAttemptDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
yardsPerRushAttemptDiff,14.196157329090216,10.698198198198199,17.432273262661955,0
