season,feature,coefficient,absolute_coefficient,sign,feature_all_missing
2015,winPctDiff,0.639216206766814,0.639216206766814,1.0,False
2015,pointDifferentialAvgDiff,0.030044228420511004,0.030044228420511004,1.0,False
2015,pointsForAvgDiff,-0.087425904793839,0.087425904793839,-1.0,False
2015,pointsAgainstAvgDiff,0.4866245407300173,0.4866245407300173,1.0,False
2015,yardsPerPassAttemptDiff,0.04953366871678954,0.04953366871678954,1.0,False
2015,yardsPerRushAttemptDiff,0.037963958884687156,0.037963958884687156,1.0,False
2015,pointsForTrendDiff,0.13626418896155815,0.13626418896155815,1.0,False
2015,pointsAgainstTrendDiff,-0.13499908787261783,0.13499908787261783,-1.0,False
2015,pointDifferentialTrendDiff,0.005816817260918659,0.005816817260918659,1.0,False
2015,totalYardsTrendDiff,0.23565395782825185,0.23565395782825185,1.0,False
2015,netPassingYardsTrendDiff,-0.2190699008273033,0.2190699008273033,-1.0,False
2015,winPctTrendDiff,0.12406311878040832,0.12406311878040832,1.0,False
2015,priorSOSWinPctDiff,0.19738590862671548,0.19738590862671548,1.0,False
2015,priorSOSPointDiffDiff,0.10692809408706816,0.10692809408706816,1.0,False
2015,turnoversAvgDiff,-0.01379483747064403,0.01379483747064403,-1.0,False
2015,thirdDownPctDiff,-0.07006326376051164,0.07006326376051164,-1.0,False
2015,sacksAvgDiff,0.0,0.0,0.0,True
2015,completionPctDiff,0.03969631262642833,0.03969631262642833,1.0,False
2015,totalYardsAvgDiff,0.42999522263020473,0.42999522263020473,1.0,False
2015,possessionSecondsAvgDiff,0.03641702162342129,0.03641702162342129,1.0,False
2015,penaltyYardsAvgDiff,-0.00855383941291944,0.00855383941291944,-1.0,False
2016,winPctDiff,-0.08379915619180109,0.08379915619180109,-1.0,False
2016,pointDifferentialAvgDiff,0.12872968635684187,0.12872968635684187,1.0,False
2016,pointsForAvgDiff,0.2894087281442089,0.2894087281442089,1.0,False
2016,pointsAgainstAvgDiff,0.4345749913233116,0.4345749913233116,1.0,False
2016,yardsPerPassAttemptDiff,0.16477685696297692,0.16477685696297692,1.0,False
2016,yardsPerRushAttemptDiff,0.22179274073664096,0.22179274073664096,1.0,False
2016,pointsForTrendDiff,-0.09352160378251095,0.09352160378251095,-1.0,False
2016,pointsAgainstTrendDiff,0.09361984566235644,0.09361984566235644,1.0,False
2016,pointDifferentialTrendDiff,0.0023131961359923047,0.0023131961359923047,1.0,False
2016,totalYardsTrendDiff,0.2942207497007514,0.2942207497007514,1.0,False
2016,netPassingYardsTrendDiff,-0.07540323976681404,0.07540323976681404,-1.0,False
2016,winPctTrendDiff,0.08884261594720907,0.08884261594720907,1.0,False
2016,priorSOSWinPctDiff,0.0004804315816713745,0.0004804315816713745,1.0,False
2016,priorSOSPointDiffDiff,0.35335100824557863,0.35335100824557863,1.0,False
2016,turnoversAvgDiff,0.030605797839274626,0.030605797839274626,1.0,False
2016,thirdDownPctDiff,-0.019428264861125217,0.019428264861125217,-1.0,False
2016,sacksAvgDiff,0.14478606088732962,0.14478606088732962,1.0,False
2016,completionPctDiff,0.12412602728649225,0.12412602728649225,1.0,False
2016,totalYardsAvgDiff,-0.13984135869297543,0.13984135869297543,-1.0,False
2016,possessionSecondsAvgDiff,0.23172992086609315,0.23172992086609315,1.0,False
2016,penaltyYardsAvgDiff,0.04532479539834789,0.04532479539834789,1.0,False
2017,winPctDiff,-0.09804540218266324,0.09804540218266324,-1.0,False
2017,pointDifferentialAvgDiff,-0.2703960137278525,0.2703960137278525,-1.0,False
2017,pointsForAvgDiff,0.6527891939104472,0.6527891939104472,1.0,False
2017,pointsAgainstAvgDiff,0.9039759402526165,0.9039759402526165,1.0,False
2017,yardsPerPassAttemptDiff,-0.1308239985093488,0.1308239985093488,-1.0,False
2017,yardsPerRushAttemptDiff,0.06912796311552702,0.06912796311552702,1.0,False
2017,pointsForTrendDiff,0.11186054091115974,0.11186054091115974,1.0,False
2017,pointsAgainstTrendDiff,0.011113116734064296,0.011113116734064296,1.0,False
2017,pointDifferentialTrendDiff,0.0814042561101665,0.0814042561101665,1.0,False
2017,totalYardsTrendDiff,-0.10992891215196464,0.10992891215196464,-1.0,False
2017,netPassingYardsTrendDiff,0.11195096989027216,0.11195096989027216,1.0,False
2017,winPctTrendDiff,-0.029798635690000012,0.029798635690000012,-1.0,False
2017,priorSOSWinPctDiff,-0.02521817665536162,0.02521817665536162,-1.0,False
2017,priorSOSPointDiffDiff,0.3570670910203107,0.3570670910203107,1.0,False
2017,turnoversAvgDiff,-0.12579004893756868,0.12579004893756868,-1.0,False
2017,thirdDownPctDiff,-0.007838576945678546,0.007838576945678546,-1.0,False
2017,sacksAvgDiff,0.1681143400165576,0.1681143400165576,1.0,False
2017,completionPctDiff,0.19479434279173827,0.19479434279173827,1.0,False
2017,totalYardsAvgDiff,0.3706400865307683,0.3706400865307683,1.0,False
2017,possessionSecondsAvgDiff,-0.06848169110485346,0.06848169110485346,-1.0,False
2017,penaltyYardsAvgDiff,0.01243998105406998,0.01243998105406998,1.0,False
2018,winPctDiff,-0.17846624365254898,0.17846624365254898,-1.0,False
2018,pointDifferentialAvgDiff,0.858644701490175,0.858644701490175,1.0,False
2018,pointsForAvgDiff,-0.08170491665389837,0.08170491665389837,-1.0,False
2018,pointsAgainstAvgDiff,0.21889599737645696,0.21889599737645696,1.0,False
2018,yardsPerPassAttemptDiff,0.09144261403782646,0.09144261403782646,1.0,False
2018,yardsPerRushAttemptDiff,0.07190432495560016,0.07190432495560016,1.0,False
