mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,mean_test_log_loss,mean_train_log_loss
32.354963858922325,1.289359149107916,1.6058413982391357,0.696555505889036,750,5,20,0.5,,True,"{'model__n_estimators': 750, 'model__min_samples_split': 5, 'model__min_samples_leaf': 20, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': True}",-0.5000765962495639,-0.502062248206091,-0.5499577642150422,-0.5173655362235657,0.023060437947697375,1,-0.41876796561884355,-0.42159279145414497,-0.39851843399625525,-0.4129597303564146,0.010276451744041166,0.5173655362235657,0.4129597303564146
13.365586598714193,1.1227264274160953,4.081812143325806,0.2868614752080806,300,5,20,0.5,8,True,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 20, 'model__max_features': 0.5, 'model__max_depth': 8, 'model__bootstrap': True}",-0.4996291219581493,-0.5044438641307694,-0.5504885505281336,-0.5181871788723508,0.022924941202119593,2,-0.43619671221338785,-0.436774633526461,-0.4103362221682863,-0.42776918930271174,0.012329226945041164,0.5181871788723508,0.42776918930271174
30.93942618370056,1.8580664557963005,6.355496088663737,0.8721737867873389,1000,30,15,0.5,12,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 30, 'model__min_samples_leaf': 15, 'model__max_features': 0.5, 'model__max_depth': 12, 'model__bootstrap': True}",-0.5005689534729488,-0.5029672733552247,-0.5512347152121215,-0.5182569806800984,0.023339326121561078,3,-0.39681229676661506,-0.4003837518528619,-0.3767135349631826,-0.3913031945275532,0.010418971398733566,0.5182569806800984,0.3913031945275532
41.07084512710571,0.3097213505225238,5.235543489456177,0.2878015472372454,1000,5,20,0.75,16,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 20, 'model__max_features': 0.75, 'model__max_depth': 16, 'model__bootstrap': True}",-0.501485479935857,-0.5008854186607059,-0.5537199478156435,-0.5186969488040688,0.02476621170340827,4,-0.4107980746240614,-0.41503367511325195,-0.39164388098833824,-0.40582521024188384,0.01017571135675895,0.5186969488040688,0.40582521024188384
13.0014066696167,0.6178301256096824,4.734779675801595,0.21365010650919017,300,20,15,0.5,16,True,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': 0.5, 'model__max_depth': 16, 'model__bootstrap': True}",-0.5007954732221505,-0.5034215121244664,-0.55259066090644,-0.5189358820843523,0.023821658538003512,5,-0.39513955789359834,-0.3984091359204325,-0.37603443567685657,-0.38986104316362913,0.009867584677901862,0.5189358820843523,0.38986104316362913
24.07929229736328,1.1127296911948916,3.2146836121877036,0.15099045320592291,750,20,15,0.75,16,True,"{'model__n_estimators': 750, 'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': 0.75, 'model__max_depth': 16, 'model__bootstrap': True}",-0.502249429040032,-0.5006541675974994,-0.5542813069489263,-0.5190616345288191,0.02491258328371757,6,-0.3866423118019232,-0.39120195499757227,-0.36867304218731695,-0.38217243632893744,0.009725321525482543,0.5190616345288191,0.38217243632893744
20.4215460618337,0.36778787934273705,0.6760124365488688,0.11855909457266273,1000,20,20,0.25,20,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.25, 'model__max_depth': 20, 'model__bootstrap': False}",-0.5035693984530449,-0.5042855000902015,-0.5495081162454436,-0.5191210049295634,0.02148892119180577,7,-0.3851869195146104,-0.3868666575770668,-0.367223317102446,-0.3797589647313744,0.008890527772002067,0.5191210049295634,0.3797589647313744
19.147977431615193,0.8522854960905851,3.788337230682373,0.4825870686113098,1000,2,20,0.25,30,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 2, 'model__min_samples_leaf': 20, 'model__max_features': 0.25, 'model__max_depth': 30, 'model__bootstrap': True}",-0.5031252273964549,-0.5077165611312169,-0.5477149714413668,-0.5195189199896796,0.02002553494026461,8,-0.43557552020929924,-0.4365575905266492,-0.41507175971178906,-0.4290682901492458,0.009905159051122318,0.5195189199896796,0.4290682901492458
13.438636541366577,0.20731947713719484,5.44462005297343,0.382712006232986,750,30,15,0.25,,False,"{'model__n_estimators': 750, 'model__min_samples_split': 30, 'model__min_samples_leaf': 15, 'model__max_features': 0.25, 'model__max_depth': None, 'model__bootstrap': False}",-0.5033097610643713,-0.5043464649629258,-0.551845662749123,-0.5198339629254733,0.02263964638921296,9,-0.35169996259970515,-0.3537771015614401,-0.3349251450953765,-0.34680073641884057,0.008440018899190558,0.5198339629254733,0.34680073641884057
38.28251473108927,0.7645958726677506,4.160463174184163,0.23490946971824983,1000,5,10,0.75,8,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': 0.75, 'model__max_depth': 8, 'model__bootstrap': True}",-0.5018552613991739,-0.5039065624686742,-0.5550377844214137,-0.5202665360964206,0.02460124307940808,10,-0.4006731599240374,-0.39907480367515774,-0.3719067340161352,-0.3905515658717768,0.013200025299683914,0.5202665360964206,0.3905515658717768
