iteration,removed_feature,removed_vif,max_vif_before_removal,features_remaining
1,matchup_pointsAgainstAvgLast3,inf,inf,60
2,matchup_pointsAgainstAvgLast5,inf,inf,59
3,matchup_turnoversAvgBefore,inf,inf,58
4,matchup_pointsForAvgBefore,67565754.56796877,163534448.56278136,57
5,matchup_totalYardsAvgBefore,4787828.702446691,4787828.702446691,56
6,matchup_totalYardsAvgLast3,1130501.0417016582,1130501.0417016582,55
7,matchup_totalYardsAvgLast5,15625.735441532614,15625.735441532614,54
8,matchup_rushingYardsAvgBefore,86.92895285403976,115.02861534140253,53
9,matchup_pointsForAvgLast5,72.53182765247641,104.71059470797499,52
10,matchup_completionsAvgBefore,70.6715098679764,77.26172429471677,51
11,matchup_thirdDownConversionsAvgBefore,51.84911904569114,77.261478897386,50
12,matchup_netPassingYardsAvgBefore,39.852953521914564,77.26122095488017,49
13,matchup_pointDifferentialAvgLast5,33.56862975280612,73.59912784169009,48
14,matchup_pointsAgainstAvgBefore,29.97997472713891,63.77715658046089,47
15,matchup_rushingYardsAvgLast5,19.231646316025614,23.55330933615188,46
16,matchup_netPassingYardsAvgLast5,18.40872877691934,23.55281355987294,45
17,matchup_tacklesForLossAvgLast5,16.876469823768154,23.49998362445209,44
18,matchup_passAttemptsAvgBefore,16.44564791403448,23.410636146060515,43
19,matchup_offenseSuccessRate,14.857463016632934,23.409269611224218,42
20,matchup_qbHurriesAvgLast5,14.294199814091225,23.324894415894335,41
21,matchup_turnoversAvgLast5,12.74983169642727,23.30852372325735,40
22,matchup_pointDifferentialAvgLast3,12.266029495809573,23.293633121332345,39
23,matchup_sacksAvgLast5,10.554149786560545,17.1844490164665,38
24,matchup_fourthDownConversionsAvgBefore,9.877829983084753,17.183656175404415,37
25,matchup_defensePPA,9.285083764314754,16.938182769771682,36
26,matchup_offensePPA,8.789321680102155,14.468237033947014,35
27,matchup_passesDeflectedAvgLast5,8.620680057471148,14.337878237397355,34
28,matchup_rushingYardsAvgLast3,7.692054621982565,14.331369744401833,33
29,matchup_penaltiesAvgBefore,6.490056264942118,13.844162830459057,32
30,matchup_tacklesForLossAvgBefore,5.3160822401846755,13.793200922247891,31
31,matchup_firstDownsAvgBefore,5.261018474167323,13.79305754102128,30
