feature,coefficient,absolute_coefficient,odds_ratio
homePregameElo,1.011225964971632,1.011225964971632,2.748969089836431
matchup_totalYardsAvgBefore,-1.0023207473605957,1.0023207473605957,0.36702667583851417
awayPregameElo,-0.8509273758227539,0.8509273758227539,0.42701874141171053
matchup_CompletionsAvgBefore,0.7553258597929852,0.7553258597929852,2.1283049393779163
matchup_RushingYardsAvgBefore,0.6752440925528786,0.6752440925528786,1.964512440307346
matchup_netPassingYardsAvgLast5,0.6388397251844,0.6388397251844,1.89428171636583
matchup_PossessionSecondsBefore,0.5802488969437894,0.5802488969437894,1.78648302558383
matchup_rushingYardsAvgLast5,0.566921626311784,0.566921626311784,1.7628320344674995
matchup_GamesBefore,-0.5610499210417169,0.5610499210417169,0.5706096541549481
matchup_yardsPerRushAttemptBefore,0.5441183226021431,0.5441183226021431,1.7230885042650859
matchup_tacklesForLossAvgBefore,0.5333139128816289,0.5333139128816289,1.704571761447738
matchup_netPassingYardsAvgBefore,0.5148429844870197,0.5148429844870197,1.6733757352193805
matchup_totalYardsAvgLast5,-0.5065250821316536,0.5065250821316536,0.6025858813403704
matchup_PointsForAvgBefore,0.4627862862681257,0.4627862862681257,1.5884938231943981
matchup_NetPassingYardsAvgBefore,0.45206715088067817,0.45206715088067817,1.5715574765030462
matchup_fourthDownAttemptsBefore,0.4322212028002353,0.4322212028002353,1.5406758792895017
matchup_TotalYardsAvgBefore,-0.42435910221451467,0.42435910221451467,0.6541889190340031
matchup_PassAttemptsAvgBefore,-0.40863854035318165,0.40863854035318165,0.6645543985125867
matchup_gamesBefore,0.38176700198824176,0.38176700198824176,1.4648707333990016
matchup_PassingTDsAvgBefore,-0.37301235455963083,0.37301235455963083,0.688656724740828
matchup_passAttemptsAvgBefore,0.3613924501235243,0.3613924501235243,1.4353266444795143
matchup_rushingAttemptsAvgBefore,0.3577541562028961,0.3577541562028961,1.4301139926046695
matchup_CompletionsBefore,-0.3508010851852972,0.3508010851852972,0.7041238005817955
matchup_PassingTDsBefore,0.3397275162979743,0.3397275162979743,1.4045648173950582
matchup_fourthDownConversionsBefore,-0.33454361515536973,0.33454361515536973,0.7156646303231498
matchup_sacksAvgBefore,-0.28653822858891465,0.28653822858891465,0.7508583737263194
matchup_tacklesForLossAvgLast5,-0.282649952516606,0.282649952516606,0.753783601736143
matchup_rushingYardsAvgBefore,-0.28198949241538496,0.28198949241538496,0.7542816101692916
matchup_PointsForBefore,-0.2753214800393124,0.2753214800393124,0.7593279751953953
matchup_PointDifferentialBefore,-0.27131996118900725,0.27131996118900725,0.7623725277564499
matchup_PointsAgainstAvgBefore,-0.2600017163202146,0.2600017163202146,0.7710502624332787
matchup_WinPctBefore,-0.2587939089955567,0.2587939089955567,0.7719821052179144
matchup_pointDifferentialAvgLast5,-0.2578434596568273,0.2578434596568273,0.772716183896366
matchup_PassAttemptsBefore,0.25389530282478645,0.25389530282478645,1.2890368386869133
matchup_YardsPerRushAttemptBefore,-0.2413506381043867,0.2413506381043867,0.7855661286729415
matchup_passAttemptsBefore,-0.23515997939375358,0.23515997939375358,0.7904443846996537
matchup_thirdDownAttemptsBefore,-0.23306326171844927,0.23306326171844927,0.7921034621130608
matchup_CompletionPctBefore,-0.23145792851524918,0.23145792851524918,0.7933760733103623
matchup_sacksBefore,0.22681551703864433,0.22681551703864433,1.2545983945623478
matchup_completionsAvgBefore,-0.2235763596822625,0.2235763596822625,0.7996538282239823
matchup_FumblesLostAvgBefore,-0.2106620280661373,0.2106620280661373,0.8100477940420955
matchup_tacklesForLossBefore,-0.20549314662268642,0.20549314662268642,0.8142456748808676
matchup_InterceptionsAvgBefore,-0.2051490035391086,0.2051490035391086,0.8145259401211169
matchup_fourthDownConversionsAvgBefore,0.2030435414280925,0.2030435414280925,1.2251258108135807
matchup_firstDownsBefore,0.20145479656976445,0.20145479656976445,1.2231809438386372
matchup_TurnoversAvgBefore,0.20059618157644202,0.20059618157644202,1.222131153088244
matchup_PointDifferentialAvgBefore,-0.198386865808567,0.198386865808567,0.8200525414737472
matchup_totalYardsAvgLast3,-0.19569936971575738,0.19569936971575738,0.8222593935998157
matchup_winsBefore,0.18451263415116925,0.18451263415116925,1.2026321754255953
matchup_completionPctBefore,0.18439512666538724,0.18439512666538724,1.2024908654449933
matchup_pointsAgainstAvgLast5,-0.17663924828691394,0.17663924828691394,0.8380820695370894
matchup_FourthDownAttemptsBefore,-0.16953140493223262,0.16953140493223262,0.8440602464092839
matchup_possessionSecondsBefore,-0.16607200034739827,0.16607200034739827,0.8469852487617879
matchup_penaltiesBefore,0.16577706212260435,0.16577706212260435,1.1803099365976946
matchup_passesDeflectedAvgBefore,0.15830422069771868,0.15830422069771868,1.1715225419059163
matchup_pointsForAvgBefore,0.1554866372738798,0.1554866372738798,1.1682263252745198
matchup_netPassingYardsAvgLast3,0.15440592178659718,0.15440592178659718,1.1669644869590625
matchup_fourthDownAttemptsAvgBefore,-0.14702058047412117,0.14702058047412117,0.8632762105997837
matchup_passesDeflectedAvgLast5,-0.14647689264426497,0.14647689264426497,0.8637456909831117
matchup_PenaltyYardsAvgBefore,0.13521572470506932,0.13521572470506932,1.1447837158452139
matchup_RushingAttemptsBefore,-0.13487458010673561,0.13487458010673561,0.87382549991655
matchup_RushingYardsBefore,0.125412593905109,0.125412593905109,1.133616079675456
matchup_FirstDownsAvgBefore,-0.12492914483415295,0.12492914483415295,0.8825594342643076
matchup_pointsForAvgLast5,0.12131994642429607,0.12131994642429607,1.1289860696448364
matchup_WinsBefore,0.11802837194126864,0.11802837194126864,1.1252760371800794
matchup_completionsBefore,0.11183442690440952,0.11183442690440952,1.1183276803391118
matchup_PenaltyYardsBefore,-0.110795502448453,0.110795502448453,0.8951217804260801
matchup_FourthDownConversionsBefore,0.10870033862177124,0.10870033862177124,1.114828229318679
matchup_turnoversAvgLast5,0.10831267939025961,0.10831267939025961,1.1143961396212252
matchup_thirdDownPctBefore,0.10538229676145515,0.10538229676145515,1.111135312600932
matchup_passingTDsAvgBefore,-0.09996384642776254,0.09996384642776254,0.9048701317322706
matchup_TacklesForLossBefore,0.09849915901415937,0.09849915901415937,1.1035134763547927
matchup_rushingYardsAvgLast3,0.09586257062158655,0.09586257062158655,1.100607797754482
matchup_RushingTDsAvgBefore,-0.09514887243219425,0.09514887243219425,0.9092375639844221
matchup_rushingAttemptsBefore,0.09121302827038939,0.09121302827038939,1.095502353374257
matchup_PenaltiesAvgBefore,-0.08923071580601455,0.08923071580601455,0.9146345285872093
matchup_PenaltiesBefore,0.08871864322139891,0.08871864322139891,1.0927731539350847
matchup_ThirdDownAttemptsAvgBefore,-0.08798644274597194,0.08798644274597194,0.9157732920103188
matchup_SacksAvgBefore,0.08738808695633815,0.08738808695633815,1.091320124651802
matchup_qbHurriesAvgLast3,0.08529340886008706,0.08529340886008706,1.0890365527996304
