feature,vif
matchup_pointDifferentialAvgBefore,13.53034981389126
matchup_pointsForAvgLast3,4.96491423783938
matchup_rushingTDsAvgBefore,4.793372115674189
matchup_qbHurriesAvgBefore,4.294978335953265
matchup_qbHurriesAvgLast3,4.108611588212626
matchup_defenseSuccessRate,4.082757497401035
matchup_passingTDsAvgBefore,3.9523912043634084
matchup_rushingAttemptsAvgBefore,3.8449503213365737
matchup_sacksAvgLast3,3.7737672298811495
matchup_turnoversAvgLast3,3.549667925973919
matchup_netPassingYardsAvgLast3,3.525486686545227
matchup_winPctBefore,3.452241294671737
matchup_yardsPerPassAttemptBefore,3.425341566359167
matchup_sacksAvgBefore,3.4212135585778247
matchup_passesDeflectedAvgBefore,3.1398923829620973
matchup_passesDeflectedAvgLast3,2.9937334737638506
matchup_thirdDownAttemptsAvgBefore,2.7803259111177008
matchup_interceptionsAvgBefore,2.717633605912951
matchup_yardsPerRushAttemptBefore,2.6060548327876263
matchup_thirdDownPctBefore,2.471481822329157
matchup_fumblesLostAvgBefore,2.2115499804826886
matchup_completionPctBefore,2.1390364512158815
matchup_elo,1.8216385299490574
matchup_tacklesForLossAvgLast3,1.7371932794532752
matchup_possessionSecondsAvgBefore,1.7092668092775487
matchup_defenseExplosiveness,1.6198562847923645
matchup_offenseExplosiveness,1.5019457467334432
matchup_fourthDownAttemptsAvgBefore,1.424685719530622
matchup_fourthDownPctBefore,1.158481541196066
matchup_penaltyYardsAvgBefore,1.1022671572341742
