feature,missing_count,missing_pct,missing_rate_home_win,missing_rate_home_loss,missing_rate_difference
matchup_sacksAvgLast3,1747,0.27161069651741293,,0.27161069651741293,
matchup_qbHurriesAvgLast3,1747,0.27161069651741293,,0.27161069651741293,
matchup_tacklesForLossAvgLast3,1747,0.27161069651741293,,0.27161069651741293,
matchup_passesDeflectedAvgLast3,1747,0.27161069651741293,,0.27161069651741293,
matchup_qbHurriesAvgBefore,1733,0.26943407960199006,,0.26943407960199006,
matchup_sacksAvgBefore,1733,0.26943407960199006,,0.26943407960199006,
matchup_passesDeflectedAvgBefore,1733,0.26943407960199006,,0.26943407960199006,
matchup_fourthDownPctBefore,1272,0.19776119402985073,,0.19776119402985073,
matchup_defenseExplosiveness,1017,0.15811567164179105,,0.15811567164179105,
matchup_defenseSuccessRate,1017,0.15811567164179105,,0.15811567164179105,
matchup_offenseExplosiveness,1017,0.15811567164179105,,0.15811567164179105,
matchup_possessionSecondsAvgBefore,988,0.15360696517412936,,0.15360696517412936,
matchup_passingTDsAvgBefore,985,0.1531405472636816,,0.1531405472636816,
matchup_thirdDownPctBefore,984,0.15298507462686567,,0.15298507462686567,
matchup_rushingTDsAvgBefore,983,0.15282960199004975,,0.15282960199004975,
matchup_penaltyYardsAvgBefore,983,0.15282960199004975,,0.15282960199004975,
matchup_yardsPerPassAttemptBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_rushingAttemptsAvgBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_fourthDownAttemptsAvgBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_interceptionsAvgBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_yardsPerRushAttemptBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_fumblesLostAvgBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_completionPctBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_thirdDownAttemptsAvgBefore,982,0.15267412935323382,,0.15267412935323382,
matchup_pointsForAvgLast3,981,0.1525186567164179,,0.1525186567164179,
matchup_turnoversAvgLast3,981,0.1525186567164179,,0.1525186567164179,
matchup_netPassingYardsAvgLast3,981,0.1525186567164179,,0.1525186567164179,
matchup_pointDifferentialAvgBefore,981,0.1525186567164179,,0.1525186567164179,
matchup_winPctBefore,981,0.1525186567164179,,0.1525186567164179,
matchup_elo,795,0.12360074626865672,,0.12360074626865672,
