feature,coefficient,absolute_coefficient,odds_ratio,home_source,away_source,transformation
matchup_totalYardsAvgBefore,-1.3929200310885377,1.3929200310885377,0.24834905784638567,totalYardsAvgBefore_home,totalYardsAvgBefore_away,home_minus_away
matchup_netPassingYardsAvgLast5,1.2275142853561856,1.2275142853561856,3.4127358966869963,netPassingYardsAvgLast5_home,netPassingYardsAvgLast5_away,home_minus_away
matchup_totalYardsAvgLast5,-1.162392581534125,1.162392581534125,0.3127370361872743,totalYardsAvgLast5_home,totalYardsAvgLast5_away,home_minus_away
matchup_elo,1.160377026435848,1.160377026435848,3.191136192041174,homePregameElo,awayPregameElo,home_minus_away
matchup_rushingYardsAvgLast5,1.0993188042262982,1.0993188042262982,3.0021202955972814,rushingYardsAvgLast5_home,rushingYardsAvgLast5_away,home_minus_away
matchup_netPassingYardsAvgBefore,1.0173637931556845,1.0173637931556845,2.765893676763235,netPassingYardsAvgBefore_home,netPassingYardsAvgBefore_away,home_minus_away
matchup_pointDifferentialAvgLast5,-0.5487345077150145,0.5487345077150145,0.5776803980934029,pointDifferentialAvgLast5_home,pointDifferentialAvgLast5_away,home_minus_away
matchup_yardsPerRushAttemptBefore,0.4447949726696251,0.4447949726696251,1.5601702854900412,yardsPerRushAttemptBefore_home,yardsPerRushAttemptBefore_away,home_minus_away
matchup_totalYardsAvgLast3,-0.3830548313246214,0.3830548313246214,0.6817755156064864,totalYardsAvgLast3_home,totalYardsAvgLast3_away,home_minus_away
matchup_pointsAgainstAvgLast5,-0.3530000117905979,0.3530000117905979,0.7025771850934364,pointsAgainstAvgLast5_home,pointsAgainstAvgLast5_away,home_minus_away
matchup_tacklesForLossAvgBefore,0.3386674047514055,0.3386674047514055,1.4030766109860076,tacklesForLossAvgBefore_home,tacklesForLossAvgBefore_away,home_minus_away
matchup_rushingYardsAvgBefore,0.338062202904335,0.338062202904335,1.4022277233295561,rushingYardsAvgBefore_home,rushingYardsAvgBefore_away,home_minus_away
matchup_netPassingYardsAvgLast3,0.29651069521411966,0.29651069521411966,1.3451569466618865,netPassingYardsAvgLast3_home,netPassingYardsAvgLast3_away,home_minus_away
matchup_rushingAttemptsAvgBefore,0.2607665086644345,0.2607665086644345,1.2979245759079858,rushingAttemptsAvgBefore_home,rushingAttemptsAvgBefore_away,home_minus_away
matchup_tacklesForLossAvgLast5,-0.2536096481333757,0.2536096481333757,0.7759946538948767,tacklesForLossAvgLast5_home,tacklesForLossAvgLast5_away,home_minus_away
matchup_pointsForAvgLast5,0.24555898646090485,0.24555898646090485,1.2783356858648527,pointsForAvgLast5_home,pointsForAvgLast5_away,home_minus_away
matchup_rushingYardsAvgLast3,0.2364102320447852,0.2364102320447852,1.2666938420002112,rushingYardsAvgLast3_home,rushingYardsAvgLast3_away,home_minus_away
