id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
400953933,2017,1,regular,2017-08-26T16:00:00.000Z,False,True,False,False,,3650.0,Bragg Memorial Stadium,50,Florida A&M,fcs,MEAC,29,"[7, 13, 9, 0]",,,,2640,Texas Southern,fcs,SWAC,7,"[0, 0, 0, 7]",,,,,,,
400935282,2017,1,regular,2017-08-26T18:30:00.000Z,False,True,False,False,37583.0,5388.0,Canvas Stadium,36,Colorado State,fbs,Mountain West,58,"[7, 17, 10, 24]",0.9989407493701555,1546.0,1613.0,204,Oregon State,fbs,Pac-12,27,"[10, 10, 0, 7]",0.001059250629844466,1413.0,1346.0,4.9529115584,https://www.youtube.com/watch?v=vg6e0rzyt70,,
400945031,2017,1,regular,2017-08-26T19:00:00.000Z,False,True,False,False,55427.0,3801.0,LaVell Edwards Stadium,252,BYU,fbs,FBS Independents,20,"[7, 7, 0, 6]",0.9973026084395458,,,2502,Portland State,fcs,Big Sky,6,"[0, 6, 0, 0]",0.002697391560454232,,,4.7612825632,https://www.youtube.com/watch?v=c4rxyepD29A,,
400938887,2017,1,regular,2017-08-26T22:00:00.000Z,False,True,False,False,12145.0,3985.0,Warren McGuirk Alumni Stadium,113,Massachusetts,fbs,FBS Independents,35,"[7, 7, 14, 7]",0.3218803114712984,1230.0,1228.0,62,Hawai'i,fbs,Mountain West,38,"[7, 7, 7, 17]",0.6781196885287015,1274.0,1276.0,8.2427049283,,,
400951507,2017,1,regular,2017-08-26T22:30:00.000Z,False,True,True,False,,3689.0,Cramton Bowl,55,Jacksonville State,fcs,OVC,27,"[10, 0, 10, 7]",,,,236,Chattanooga,fcs,Southern,13,"[3, 3, 0, 7]",,,,,,,
400950566,2017,1,regular,2017-08-26T23:00:00.000Z,False,True,False,False,,1027.0,Alex G. Spanos Stadium,13,Cal Poly,fcs,Big Sky,14,"[0, 0, 0, 14]",,,,2142,Colgate,fcs,Patriot,20,"[10, 7, 3, 0]",,,,,,,
400941786,2017,1,regular,2017-08-26T23:30:00.000Z,False,True,False,False,13377.0,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,22,"[16, 0, 0, 6]",0.03579578163814592,1267.0,1254.0,58,South Florida,fbs,American Athletic,42,"[0, 28, 7, 7]",0.9642042183618541,1627.0,1640.0,4.7772474229,https://www.youtube.com/watch?v=yL4retuR0Is,,
400935257,2017,1,regular,2017-08-27T02:00:00.000Z,False,True,True,False,33101.0,5363.0,Allianz Stadium,242,Rice,fbs,Conference USA,7,"[0, 0, 0, 7]",0.0035550640393838444,1239.0,1136.0,24,Stanford,fbs,Pac-12,62,"[21, 17, 14, 10]",0.9964449359606161,1667.0,1770.0,0.0896818592,https://www.youtube.com/watch?v=CgQJYA0c17w,,
400951249,2017,1,regular,2017-08-31T22:00:00.000Z,False,True,False,False,,3979.0,Wagner College Stadium,2681,Wagner,fcs,NEC,37,"[0, 13, 17, 7]",,,,2830,Saint Anselm,ii,Northeast 10,7,"[0, 0, 0, 7]",,,,,,,
400938591,2017,1,regular,2017-08-31T22:00:00.000Z,False,True,False,False,38063.0,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,61,"[14, 26, 14, 7]",0.9999931034573755,1446.0,1552.0,2229,Florida International,fbs,Conference USA,17,"[7, 3, 7, 0]",6.896542624534874e-06,1272.0,1166.0,1.141825293,https://www.youtube.com/watch?v=GL4Cwzeb9vk,,
