iteration,model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,mean_log_loss,std_log_loss,min_log_loss,max_log_loss,mean_brier_score,std_brier_score,min_brier_score,max_brier_score,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,rank
44,500,10,30,0.5,20.0,True,0.5317744495354456,0.02800448208136084,0.4963352130556667,0.5739222183335975,0.17760358653614433,0.01183746102704523,0.16287780799927196,0.19562932397013438,0.7895974963306288,0.02856665800959052,0.7412774239207361,0.8157192004741913,0.727378551232185,0.023458694377960772,0.6885245901639344,0.7511792452830188,0.6944732078963209,0.025247031127665905,0.6524062278839349,0.7185069081620805,1
34,1000,10,30,0.5,12.0,True,0.5319000416282336,0.028009567995663478,0.4965272477472607,0.5741686724859365,0.17761975701273686,0.011799862455503421,0.16304990170216613,0.19565218366319928,0.7895796847769102,0.028541494977704588,0.741206652512385,0.8152975612140766,0.7269186734028112,0.023848988588229775,0.6873536299765808,0.75,0.6932074656313021,0.025454313813909345,0.6501474404340646,0.7160473458114112,2
43,500,5,25,0.5,20.0,True,0.5321379927861165,0.029124465485888706,0.49578837341324056,0.5766542847396474,0.17776290754478807,0.012300719487307866,0.16272497158916932,0.1967354050168482,0.7893256315602544,0.029439394178733737,0.7393842887473461,0.8156275397654709,0.7249082628285144,0.02696304854734885,0.6791569086651054,0.7488207547169812,0.6925206387988375,0.028815455064305787,0.6436659589525832,0.7159159654622449,3
35,1000,10,25,0.5,20.0,True,0.5322082526486387,0.02924342143812357,0.4955895826371024,0.5767596333171794,0.17781211794275073,0.012287403516424116,0.16275843796595205,0.19672104468214405,0.7891437560823049,0.029480489923927825,0.7392073602264686,0.8158169718968269,0.7246573839154016,0.02546731842175893,0.6838407494145199,0.7523584905660378,0.6915087440744487,0.026269187698773164,0.648036093418259,0.7186382885112468,4
5,750,10,25,0.5,,True,0.5322630905465523,0.02900872358648043,0.49566163887499254,0.5761585706868948,0.17780587260001915,0.01221283202881617,0.16276149153343075,0.19652580453600224,0.7891253844962198,0.02923347018982582,0.7396201934418494,0.8156458719072149,0.7251587850646921,0.025498234339067612,0.6826697892271663,0.75,0.6921424526809726,0.026690724835638092,0.6471101674923331,0.7160473458114112,5
47,500,20,15,0.25,20.0,True,0.5324687757772479,0.024529455283296225,0.49971516364716007,0.5679915672225684,0.1780289557004508,0.010205976983506346,0.16457619441864746,0.1929073892831314,0.789484785280236,0.02551361651220486,0.7469568294409059,0.8149492505209384,0.7296886101658131,0.023033121148413008,0.6943793911007026,0.7582547169811321,0.6959039826585298,0.024070538669244013,0.6577022882755367,0.7239515542600843,6
10,500,5,30,0.25,,False,0.5328739618832216,0.025224285473310782,0.49920619221378787,0.5690184988764636,0.17822507868774273,0.010465923525552059,0.16452250581094266,0.19337030032168223,0.7888232369642372,0.026307689509738087,0.7447983014861996,0.8145581648303971,0.7279183532597971,0.020427759642847612,0.6943793911007026,0.7464622641509434,0.6934496018113212,0.02402067564113622,0.6523708421797594,0.7133250227624093,7
53,500,20,30,0.25,12.0,False,0.5329758661861272,0.02531102191381735,0.49933640506228755,0.5694390454462075,0.1782310464320237,0.010473927630230497,0.164546672993721,0.19343080564764287,0.7887647815131427,0.02643235223807119,0.7445093182354329,0.8145642755443119,0.7256916909781266,0.019850512177505025,0.6932084309133489,0.7452830188679245,0.6906839117613166,0.02318374181892433,0.6514449162538334,0.7116415210789077,8
41,750,20,25,0.25,,True,0.5332572529236412,0.02331428035823731,0.5006872427288832,0.56550210702601,0.1782471226523354,0.00974287210675639,0.16468036238636455,0.1916748889361147,0.7888988560416692,0.024530106438286094,0.7483958480773767,0.8144726148355912,0.7279598793464659,0.019741746329752462,0.7014051522248244,0.7547169811320755,0.6913336440406763,0.021291185853821625,0.6592592592592592,0.7189010492095792,9
1,1000,20,5,0.5,8.0,True,0.5333353758856161,0.028169925444276177,0.4992907099998997,0.5771435881295038,0.17785077321719756,0.012053362275400404,0.1635279129729018,0.19670090310758848,0.7884826491024238,0.029238408191277186,0.7386765746638358,0.8134399041840059,0.7297675142578142,0.02223916964347321,0.6920374707259953,0.7488207547169812,0.6960566543674426,0.025496055681052756,0.652518282613824,0.7159159654622449,10
