gameId,season,week,startDate,homeTeam,awayTeam,win_home,winPctDiff,pointDifferentialAvgDiff,pointsForAvgDiff,pointsAgainstAvgDiff,yardsPerPassAttemptDiff,yardsPerRushAttemptDiff,pointsForTrendDiff,pointsAgainstTrendDiff,pointDifferentialTrendDiff,totalYardsTrendDiff,netPassingYardsTrendDiff,winPctTrendDiff,priorSOSWinPctDiff,priorSOSPointDiffDiff
401310861,2021,1,2021-09-04 18:00:00+00:00,Air Force,Lafayette,1,,,,,,,,,,,,,,
401310704,2021,3,2021-09-18 23:30:00+00:00,Air Force,Utah State,0,0.0,7.0,-8.0,15.0,-1.934246575342467,-0.8928571428571432,0.0,-0.0,0.0,0.0,0.0,0.0,,
401282207,2021,4,2021-09-26 00:00:00+00:00,Air Force,Florida Atlantic,1,0.0,-1.666666666666666,2.0,-3.6666666666666714,2.1296296296296298,1.0933658933658936,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,5.75
401310714,2021,6,2021-10-09 23:00:00+00:00,Air Force,Wyoming,1,-0.19999999999999996,6.550000000000001,-0.10000000000000142,6.649999999999999,3.6410564225690285,1.2859076709475863,-1.5666666666666558,-2.9833333333333307,-4.550000000000001,74.13333333333338,21.033333333333374,-0.1333333333333334,0.04166666666666663,9.416666666666666
401310724,2021,8,2021-10-23 23:00:00+00:00,Air Force,San Diego State,0,-0.1428571428571429,-1.6904761904761898,-1.4047619047619087,-0.2857142857142847,5.502132196162047,0.2765070750145373,-2.595238095238088,0.28571428571428426,-2.30952380952381,-36.92857142857139,-39.83333333333336,0.1428571428571429,0.33111111111111113,8.419444444444444
401310253,2021,10,2021-11-06 15:30:00+00:00,Air Force,Army,0,0.1785714285714286,5.642857142857143,-5.321428571428569,10.964285714285715,-2.1201923076923084,0.08175809649702703,-2.6785714285714306,11.36904761904762,8.690476190476188,-60.541666666666686,-21.785714285714306,0.4880952380952381,0.16944444444444445,2.169047619047619
401310752,2021,13,2021-11-26 20:30:00+00:00,Air Force,UNLV,1,0.5454545454545455,20.0,8.09090909090909,11.909090909090907,2.2538230093985527,1.7121925296082598,-4.09090909090909,-19.575757575757578,-23.666666666666664,-12.818181818181813,-14.303030303030283,-0.5454545454545454,-0.0396428571428572,-3.1826190476190472
401300999,2021,2,2021-09-11 19:30:00+00:00,Akron,Temple,0,0.0,-3.0,-4.0,1.0,1.5925925925925926,-3.2222222222222223,0.0,-0.0,0.0,0.0,0.0,0.0,,
401309550,2021,3,2021-09-18 19:30:00+00:00,Akron,Bryant,1,,,,,,,,,,,,,,
401309560,2021,5,2021-10-02 19:30:00+00:00,Akron,Ohio,0,0.25,-4.0,5.25,-9.25,0.9084443099273614,-1.942809364548495,1.416666666666666,7.25,8.666666666666668,56.16666666666663,18.99999999999997,0.0833333333333333,0.055555555555555636,-1.3333333333333286
401309575,2021,8,2021-10-23 19:30:00+00:00,Akron,Buffalo,0,-0.1428571428571428,-19.42857142857143,-9.285714285714288,-10.142857142857142,1.0372383252818036,-1.785638486027592,6.285714285714288,13.476190476190478,19.761904761904763,19.238095238095184,25.000000000000004,0.14285714285714268,-0.2450000000000001,-18.47888888888889
401309579,2021,10,2021-11-02 23:00:00+00:00,Akron,Ball State,0,-0.25,-15.625,-4.625,-11.0,0.9096151933976335,-0.154140933105142,-6.708333333333336,3.0,-3.708333333333334,-26.58333333333337,-37.45833333333337,-0.0833333333333333,-0.44217687074829937,-17.456802721088437
401309592,2021,12,2021-11-20 17:00:00+00:00,Akron,Kent State,0,-0.3,-11.0,-9.100000000000001,-1.9000000000000057,-0.5141691051902049,-1.6105613954444835,-4.566666666666656,4.233333333333327,-0.33333333333333304,-25.133333333333326,-46.3666666666667,-0.3666666666666666,-0.2663690476190476,-12.451934523809523
401282056,2021,2,2021-09-11 20:00:00+00:00,Alabama,Mercer,1,,,,,,,,,,,,,,
401282081,2021,4,2021-09-25 23:30:00+00:00,Alabama,Southern Miss,1,0.6666666666666667,21.999999999999996,23.333333333333332,-1.3333333333333357,2.70297619047619,0.8472180451127818,0.0,-0.0,0.0,0.0,0.0,0.0,0.5,-0.5
401282089,2021,5,2021-10-02 19:30:00+00:00,Alabama,Ole Miss,1,0.0,-3.0,-6.166666666666657,3.166666666666668,-0.13138578978273685,-1.615400570391496,0.8333333333333357,-1.5,-0.6666666666666714,-11.833333333333314,-13.416666666666686,0.0,0.16666666666666663,-11.083333333333334
401282111,2021,8,2021-10-23 23:00:00+00:00,Alabama,Tennessee,1,0.2857142857142857,8.42857142857143,5.714285714285715,2.7142857142857153,1.293665595577826,-0.6290388968923644,-7.047619047619051,-1.3809523809523827,-8.42857142857143,-44.90476190476187,-4.619047619047649,-0.2857142857142856,-0.006666666666666599,-3.436666666666664
401282120,2021,10,2021-11-06 23:00:00+00:00,Alabama,LSU,1,0.375,23.5,15.375,8.125,1.9174912543728144,0.8965022491081127,1.9583333333333357,5.541666666666668,7.500000000000002,38.33333333333337,95.20833333333337,-0.041666666666666685,-0.0896825396825397,-4.094444444444447
401282127,2021,11,2021-11-13 17:00:00+00:00,Alabama,New Mexico State,1,0.7777777777777777,38.111111111111114,19.88888888888889,18.222222222222232,3.2252319733402626,0.9332689832689827,-4.555555555555554,12.111111111111102,7.555555555555557,-48.55555555555554,-18.888888888888914,0.2222222222222222,0.13231292517006799,18.375680272108845
401282135,2021,12,2021-11-20 20:30:00+00:00,Alabama,Arkansas,1,0.20000000000000007,18.4,13.700000000000003,4.699999999999999,0.7274309229864766,-0.7976435329376512,-0.7000000000000135,-3.6999999999999993,-4.399999999999999,51.433333333333394,39.366666666666674,-0.2000000000000001,-0.15877976190476184,-4.206498015873018
401282154,2021,14,2021-12-04 21:00:00+00:00,Alabama,Georgia,1,-0.08333333333333337,-11.0,2.0,-13.0,-0.26581462946870005,-1.3530947054436995,-7.666666666666679,1.0000000000000009,-6.666666666666668,19.499999999999943,62.75,0.0833333333333333,-0.043234946871310576,-1.7793841007477376
401300993,2021,1,2021-09-02 23:30:00+00:00,App State,East Carolina,1,,,,,,,,,,,,,,
401309604,2021,3,2021-09-18 19:30:00+00:00,App State,Elon,1,,,,,,,,,,,,,,
401282208,2021,4,2021-09-23 23:30:00+00:00,App State,Marshall,1,0.0,-8.666666666666666,-10.333333333333321,1.6666666666666679,-0.6373737373737374,-0.33235004916420774,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-22.5
