model,feature_count,train_rows,validation_rows,test_rows,train_auc,validation_auc,test_auc,train_log_loss,validation_log_loss,test_log_loss,train_brier_score,validation_brier_score,test_brier_score,train_accuracy,validation_accuracy,test_accuracy
Model 3,14,6432,1741,888,0.7499604101345106,0.7369635157970928,0.7324080999473669,0.5742649838341398,0.5780315003156619,0.5801753135063625,0.19305568098918283,0.19556029600103786,0.1985099798154793,0.7184390547263682,0.7168294083859851,0.6936936936936937
Model 2,12,6432,1741,888,0.7395852879111108,0.728977342349659,0.729471730518851,0.5802933172545067,0.5824385748165295,0.5813429324551476,0.19592015984106426,0.19792095320623207,0.19893661593493772,0.7123756218905473,0.7087880528431936,0.7015765765765766
Model 1,6,6432,1741,888,0.7390579385309604,0.7276921454808659,0.7298484722568492,0.5817054323223239,0.5843256090806562,0.5817130496989017,0.19639149295002759,0.1987953975286628,0.1991551304834552,0.7134639303482587,0.704192992533027,0.6981981981981982
