dataset,n_games,log_loss,brier_score,roc_auc,accuracy
Validation,1741,0.5422730724201014,0.18120992829838908,0.7822902151208684,0.7380815623205055
Test,888,0.5327806783632825,0.17807832136137322,0.7901714728939859,0.7319819819819819
