season_phase,games,pct_test_games,model_5_log_loss,experiment_1_log_loss,delta_log_loss,model_5_brier,experiment_1_brier,delta_brier,model_5_roc_auc,experiment_1_roc_auc,delta_roc_auc,model_5_ece,experiment_1_ece,delta_ece,model_5_mce,experiment_1_mce,delta_mce
0 games,91,0.10247747747747747,0.4399514012529132,0.45982084799936823,0.019869446746455022,0.14171392630670632,0.14926187977532707,0.0075479534686207495,0.7346491228070176,0.6833333333333333,-0.051315789473684204,0.11607767552196739,0.1401661235649478,0.024088448042980395,0.7130134599525781,0.7350430236693755,0.022029563716797318
1-2 games,160,0.18018018018018017,0.44430686294961746,0.46631197946477504,0.022005116515157574,0.14152574721245959,0.1511854686247181,0.009659721412258515,0.8321678321678321,0.8048315321042594,-0.027336300063572683,0.10684364114430177,0.1031479783235311,-0.003695662820770662,0.15784299254398035,0.22234464509373636,0.06450165254975601
3-5 games,219,0.24662162162162163,0.549657953139741,0.5522691189436273,0.0026111658038863172,0.1848401574554964,0.18502902899815385,0.00018887154265745387,0.7803097739006587,0.7794196190137084,-0.0008901548869503229,0.06594538757034625,0.0798989460306682,0.013953558460321952,0.9164717886139955,0.9026114657999705,-0.013860322814024939
6+ games,418,0.47072072072072074,0.5175833177151611,0.5175929460152924,9.628300131292455e-06,0.1726892440299591,0.17199553248563348,-0.0006937115443256259,0.8147074635936513,0.8189383137374067,0.004230850143755349,0.060245389520293714,0.045037465962021066,-0.015207923558272649,0.09174935996991584,0.12021080477703502,0.02846144480711918
