season_phase,games,pct_test_games,model_5_log_loss,experiment_1_log_loss,delta_log_loss,model_5_brier,experiment_1_brier,delta_brier,model_5_roc_auc,experiment_1_roc_auc,delta_roc_auc,model_5_ece,experiment_1_ece,delta_ece,model_5_mce,experiment_1_mce,delta_mce
0 games,95,0.10698198198198199,0.450440838735168,0.4714032298161068,0.02096239108093878,0.14534933900919939,0.1533355549518798,0.007986215942680425,0.7179588607594937,0.6550632911392406,-0.06289556962025311,0.10749526995448414,0.13182405030496377,0.02432878035047964,0.7130134599525781,0.7350430236693755,0.022029563716797318
1-2 games,169,0.19031531531531531,0.4388810682279915,0.4571840152942243,0.01830294706623281,0.13957191343725794,0.14751020906253506,0.00793829562527712,0.8512366186784792,0.8314876338132152,-0.019748984865263997,0.10747560450569885,0.10244228293078074,-0.0050333215749181065,0.15784299254398035,0.18622730065643356,0.02838430811245321
3-5 games,212,0.23873873873873874,0.5508768299283764,0.5533715653457842,0.002494735417407856,0.185396356200514,0.1856462050283346,0.0002498488278205868,0.7769804822043629,0.7740145426712591,-0.0029659395331037564,0.06688071730116739,0.07656572223782786,0.009685004936660468,0.9164717886139955,0.9026114657999705,-0.013860322814024939
6+ games,412,0.46396396396396394,0.5196624416827844,0.5203694783854194,0.0007070367026349444,0.17355416806772067,0.17314295497838889,-0.0004112130893317856,0.8135263612791703,0.8171276289253817,0.0036012676462113813,0.06145565799007803,0.04742251320631606,-0.01403314478376197,0.09174935996991584,0.13945420641909373,0.047704846449177885
