season_phase,games,pct_test_games,model_5_log_loss,experiment_1_log_loss,delta_log_loss,model_5_brier,experiment_1_brier,delta_brier
0 games,95,0.10698198198198199,0.450440838735168,0.4714032298161068,0.02096239108093878,0.14534933900919939,0.1533355549518798,0.007986215942680425
1-2 games,169,0.19031531531531531,0.4388810682279915,0.4571840152942243,0.01830294706623281,0.13957191343725794,0.14751020906253506,0.00793829562527712
3-5 games,212,0.23873873873873874,0.5508768299283764,0.5533715653457842,0.002494735417407856,0.185396356200514,0.1856462050283346,0.0002498488278205868
6+ games,412,0.46396396396396394,0.5196624416827844,0.5203694783854194,0.0007070367026349444,0.17355416806772067,0.17314295497838889,-0.0004112130893317856
