split,seasons,rows,features,accuracy,balanced_accuracy,precision,recall,roc_auc,log_loss,brier_score
train,2015-2022,6432,318,0.8246268656716418,0.7993542315586488,0.8323367065317387,0.9006968641114983,0.9022806649282866,0.4073535173925948,0.12676984232266966
validation,2023-2024,1741,318,0.7409534750143596,0.701607066018084,0.7692939244663383,0.8464317976513098,0.7960668986290284,0.5216909594964269,0.17392001811484253
test,2025,888,318,0.7511261261261262,0.7135294606498794,0.7866449511400652,0.8429319371727748,0.815003185683814,0.5022936599124094,0.16552855426181898
