,matchup_completionsAvgBefore,matchup_passAttemptsAvgBefore,matchup_netPassingYardsAvgBefore,matchup_passingTDsAvgBefore,matchup_yardsPerPassAttemptBefore,matchup_rushingAttemptsAvgBefore,matchup_rushingYardsAvgBefore,matchup_rushingTDsAvgBefore,matchup_yardsPerRushAttemptBefore,matchup_totalYardsAvgBefore,matchup_pointsForAvgBefore,matchup_pointsAgainstAvgBefore,matchup_pointDifferentialAvgBefore,matchup_winPctBefore,matchup_turnoversAvgBefore,matchup_interceptionsAvgBefore,matchup_fumblesLostAvgBefore,matchup_firstDownsAvgBefore,matchup_possessionSecondsAvgBefore,matchup_thirdDownAttemptsAvgBefore,matchup_thirdDownConversionsAvgBefore,matchup_thirdDownPctBefore,matchup_fourthDownAttemptsAvgBefore,matchup_fourthDownConversionsAvgBefore,matchup_fourthDownPctBefore,matchup_penaltiesAvgBefore,matchup_penaltyYardsAvgBefore,matchup_sacksAvgBefore,matchup_tacklesForLossAvgBefore,matchup_qbHurriesAvgBefore,matchup_passesDeflectedAvgBefore,matchup_pointsForAvgLast3,matchup_pointsForAvgLast5,matchup_pointsAgainstAvgLast3,matchup_pointsAgainstAvgLast5,matchup_pointDifferentialAvgLast3,matchup_pointDifferentialAvgLast5,matchup_netPassingYardsAvgLast3,matchup_netPassingYardsAvgLast5,matchup_rushingYardsAvgLast3,matchup_rushingYardsAvgLast5,matchup_totalYardsAvgLast3,matchup_totalYardsAvgLast5,matchup_turnoversAvgLast3,matchup_turnoversAvgLast5,matchup_sacksAvgLast3,matchup_sacksAvgLast5,matchup_tacklesForLossAvgLast3,matchup_tacklesForLossAvgLast5,matchup_qbHurriesAvgLast3,matchup_qbHurriesAvgLast5,matchup_passesDeflectedAvgLast3,matchup_passesDeflectedAvgLast5,matchup_offensePPA,matchup_offenseSuccessRate,matchup_offenseExplosiveness,matchup_defensePPA,matchup_defenseSuccessRate,matchup_defenseExplosiveness,matchup_elo
matchup_completionsAvgBefore,1.0,0.9272641881482155,0.8486266539415063,0.5241087193817816,0.042213756338470916,-0.5275609369298021,-0.43541993445925814,-0.19910129628790976,-0.22844219988476236,0.40808508641340996,0.22559019356200394,0.10086853323132841,0.08443505561690956,0.048864065499235845,0.0819635368580335,0.15646512102098364,-0.04976686483246329,0.49300472200616563,-0.02413337377833385,0.22073957742853723,0.28593253137091906,0.18824306205213248,0.08591035583155385,0.08208543758524714,0.03334543581671304,0.1430222456052704,0.14068510794185357,0.045195021203064366,0.057351728954348494,0.08222391217135497,0.05179396754289429,0.19515744752423744,0.20966541131370225,0.09210400956364642,0.09777776213884852,0.06875975270285012,0.07550670569933549,0.7644896773048642,0.8178928216334459,-0.3857997138125066,-0.42229245111953656,0.3533152742127199,0.3834036750138793,0.07768951587474675,0.08350535864685427,0.04264507111156929,0.04258379489765149,0.04725904490398867,0.05278827867931746,0.056417462078641546,0.06875426123558452,0.03621473201726498,0.03625811418636792,0.15462410203731075,0.2207348839175026,0.04058065163842135,0.018441268017625554,-0.014073641425647699,0.06594541293923864,0.052666121367374474
matchup_passAttemptsAvgBefore,0.9272641881482155,1.0,0.7546211685681676,0.4046333948870381,-0.17418075817558365,-0.5847627116764592,-0.5306710133142453,-0.34213157321294596,-0.3230293060681324,0.2527238187991532,0.03897052144178125,0.23345484526052007,-0.1151388975090073,-0.13694378291461828,0.1934563676254919,0.2841932302963035,-0.02174848666785022,0.3599741716588107,-0.12778750234083924,0.3766105467479906,0.23453148176043162,0.02344957719839816,0.14695309407174215,0.07946582028973172,-0.04046931656191922,0.15774797075486469,0.14375213550078947,0.0031376660689131364,0.05517502886419931,0.05369068912710778,0.038409376114996674,0.020716866604051042,0.025938280886573163,0.21128254461250076,0.22438391370357097,-0.1170475549624543,-0.11952334320364305,0.675517986590748,0.7242329720706628,-0.47719636814308375,-0.5170043754578174,0.20650118049502722,0.22889329838519495,0.17299003775681604,0.18897916582549648,0.008948883272565957,0.005046605778303668,0.04834633460402655,0.0528195210734421,0.03302447216234958,0.043931970221829965,0.02069942560525357,0.022347917706483925,-0.0618232929017557,-0.0003767589835310059,0.035384561407702006,0.09437967230794603,0.06318423720065466,0.057495908645245904,-0.087041283491892
matchup_netPassingYardsAvgBefore,0.8486266539415063,0.7546211685681676,1.0,0.719844318692265,0.4535142910288195,-0.3992811026432417,-0.26388502438542766,-0.027262901461979336,-0.06734323087910464,0.6721512859880879,0.48617728726941534,0.03226209786314292,0.2931297368117859,0.22120741853502224,0.010145360788381592,0.04804580342145127,-0.03841328760922678,0.6267859538775243,-0.0425814140264856,0.013883016820961248,0.2762800908423978,0.31590319446018506,-0.007488283219089108,0.03576947357296813,0.07916368133348578,0.1589841858615624,0.1737759467960092,0.09262206833849246,0.10943835932081934,0.12019127500230334,0.09997305929401767,0.43072126363220475,0.4632539848769936,0.0415189880869349,0.03939700842376342,0.25157540778674053,0.2740443339303556,0.9117769506995484,0.9702008121773557,-0.23594578731582147,-0.2588266562835177,0.5952244795405874,0.6419167183791012,0.020039273646738635,0.0169067820459127,0.08710095933221484,0.09479304410039247,0.0984074259442097,0.11064298973884068,0.08872918683574005,0.10727654240919034,0.08176704265367486,0.08839325562839598,0.44284998713224416,0.4093113079049753,0.272893824777399,-0.014378044859787486,-0.06126023621723192,0.10185678501839494,0.20540089927726246
matchup_passingTDsAvgBefore,0.5241087193817816,0.4046333948870381,0.719844318692265,1.0,0.4854554633254109,-0.18685806710568234,0.0017818977553259899,-0.02877951312479126,0.1523855510651565,0.6310032936049055,0.6496433621896116,-0.056156606618691055,0.45129501920576154,0.34484082188041,-0.08470885075829196,-0.06544407752208722,-0.05682591996318064,0.5575038371750357,-0.04726648768277569,-0.1594757761046209,0.20504472174113184,0.35141631323180356,-0.04853454543359613,0.03697786730432779,0.13247660009415957,0.09177737578216615,0.1050694211718947,0.1264198713124158,0.1609875640423281,0.11633379363243254,0.09102417982964027,0.5763310901052183,0.6223387061270881,-0.03767417132445224,-0.04399427361171159,0.39415376326891605,0.4269816725318809,0.6560205900033378,0.6991373808630013,-0.0010687184404240548,-0.0025976534135049305,0.5590648288821031,0.604711077791309,-0.06388865982282493,-0.07370376504740771,0.1107301683054192,0.12785245606811882,0.14446880232365383,0.16518346220226554,0.09646593432914172,0.1116638417215226,0.09045354982739333,0.09589819826769089,0.5472990253749938,0.45098242257534665,0.331859898187249,-0.09185583878587783,-0.13373964268202596,0.09236342424430305,0.2917604540052429
matchup_yardsPerPassAttemptBefore,0.042213756338470916,-0.17418075817558365,0.4535142910288195,0.4854554633254109,1.0,0.19420644526587483,0.31470370110881013,0.42211203681464915,0.3048388609394351,0.638292607925161,0.6387793224095132,-0.25163709680826246,0.5617012161403281,0.4779892942327893,-0.2099497494340678,-0.27606374241825327,-0.012789239110383425,0.45219050992196524,0.12344508554151322,-0.42785540689002777,0.1296808913848136,0.4456679256107985,-0.15517707560219543,-0.004274962473772101,0.18250761856657893,-0.0078092826173700195,0.03768627680340686,0.12430792930633752,0.07235423480699506,0.09709492221468463,0.09271163963472445,0.5824103767385129,0.622074294162043,-0.20895275636070956,-0.22729518274012545,0.5037603249742415,0.5380924000720005,0.4261195102752672,0.4489971234478553,0.28551202754400146,0.30253910779805193,0.5850929410450617,0.6235354955159825,-0.17075732330687413,-0.19444635891783685,0.11093573967673127,0.12479038307258959,0.06809559951974697,0.07515019521644692,0.08133158670353684,0.09200575806423313,0.09204472407106214,0.09751821224622151,0.7156124707894386,0.6018072637675046,0.3339676796535859,-0.1360947829313428,-0.17116908430124864,0.0773201696297743,0.39327566060447094
matchup_rushingAttemptsAvgBefore,-0.5275609369298021,-0.5847627116764592,-0.3992811026432417,-0.18685806710568234,0.19420644526587483,1.0,0.7674735418002998,0.5135746340300404,0.3709462024191215,0.23986922960392834,0.253059171892848,-0.20566834181429014,0.2861661474625793,0.27285316505982027,-0.09486092309464497,-0.21868531801507737,0.09988391155110253,0.2830948201153692,0.4717761564813206,0.17688016621344885,0.32711095650745176,0.27415377744309366,0.14556539308250588,0.20733990435712954,0.13978888494856526,-0.06417251939016375,-0.031228825283954893,0.0748534467977116,0.03009880625489577,0.033640876766002116,0.06851397670260505,0.22494645283644976,0.24412151858185974,-0.1832214472738323,-0.19344452913499718,0.2578312111858502,0.27445085986296147,-0.36223862378850485,-0.38567087181741994,0.6816406161380154,0.7359398489488662,0.21940568232376492,0.23416623795279173,-0.08935022590007366,-0.09532220668627284,0.0670798807806028,0.07084972465143288,0.027390008944223908,0.028144055030804943,0.03904873021615807,0.036535200793443835,0.06504337682430487,0.07094972975122399,0.18337492613431994,0.24122494961337101,-0.17254074905283776,-0.16312370950013497,-0.24175736200039927,0.13542522523867778,0.1530523031930895
matchup_rushingYardsAvgBefore,-0.43541993445925814,-0.5306710133142453,-0.26388502438542766,0.0017818977553259899,0.31470370110881013,0.7674735418002998,1.0,0.7345822061649119,0.8645045467141239,0.5367696353974831,0.5351320103982805,-0.2651805150069949,0.5032073092577422,0.41483209187582865,-0.18195463383507132,-0.25328179472199197,0.004693593208349197,0.4299832081745146,0.2701258580480258,-0.1902554086791581,0.23175051061287977,0.41025475060040933,-0.014600899553073894,0.09570451303677471,0.17525244747801555,-0.01013374728447782,0.033547536490954905,0.11602953979991017,0.07549662566696855,0.05344421024552532,0.07863879103040226,0.4777530488264949,0.5159552518934214,-0.2316230357972022,-0.24889663013414412,0.4503963108846802,0.4829374488789256,-0.2455698860387627,-0.256776294654809,0.8980671302426746,0.9638129156763338,0.4868066580339374,0.5221339042303125,-0.15516049038543583,-0.17468523248342135,0.09378178752084235,0.10887536278932894,0.06141137007646147,0.07251559086203681,0.05536028565630001,0.05550720495391579,0.0809467638108996,0.08492582316122188,0.5401248072219869,0.5381416175101743,0.012610237163052531,-0.17897821101501285,-0.2143030719285241,0.0727953263523811,0.30430585865248255
matchup_rushingTDsAvgBefore,-0.19910129628790976,-0.34213157321294596,-0.027262901461979336,-0.02877951312479126,0.42211203681464915,0.5135746340300404,0.7345822061649119,1.0,0.664329398747842,0.5400862190008627,0.6834365854749438,-0.2676927607358162,0.6000523246882496,0.4772505559021303,-0.2796979221095554,-0.3012294676278425,-0.09187868789755464,0.45094987916601476,0.1911160347872738,-0.288681636258833,0.22798796308985084,0.471810907211626,-0.05969893225367673,0.09274650980190959,0.2229622090367565,-0.056578729746334114,0.00239624714341793,0.1596259303854767,0.10887510965362086,0.05606575111968492,0.071345842509463,0.607852330455815,0.656263455049483,-0.22902450123932466,-0.24999013809448667,0.5325198844115849,0.5738735923209904,-0.028973787647771337,-0.02577298639155829,0.6596622900862494,0.7078537255490995,0.48682458052929123,0.5248502593065911,-0.22579827564405294,-0.2611121004026568,0.1315127894352513,0.1473957272887255,0.08667355303893887,0.09705320026183803,0.05698616913321267,0.0572428677755402,0.07243528907901071,0.07227263979601949,0.631808009544305,0.6131806005462265,0.08278091065355618,-0.19780825407978314,-0.22791837921714908,0.054438296278921196,0.3526093416329859
matchup_yardsPerRushAttemptBefore,-0.22844219988476236,-0.3230293060681324,-0.06734323087910464,0.1523855510651565,0.3048388609394351,0.3709462024191215,0.8645045467141239,0.664329398747842,1.0,0.6047303632888411,0.5883060037693646,-0.2325817652965439,0.5178158180572994,0.4111545137893889,-0.19460115363520536,-0.20469641926249416,-0.06941935313541978,0.4197705532836766,0.043413539560723226,-0.38887421996463073,0.10366601120226512,0.3909538736954824,-0.1270645487625225,-0.01704846382796333,0.14836537521300128,0.03839994930141655,0.08101572799306196,0.12210298204278525,0.0976904764373759,0.05955356074886107,0.06798450112642761,0.526849705545477,0.567258238735273,-0.20190221576538328,-0.21888390460172383,0.4636527133409335,0.4977303228534791,-0.06909120277353939,-0.06763435545837042,0.782220086025121,0.8361830925836726,0.5476158175757952,0.5876838715982363,-0.16185855329801685,-0.18498933800791204,0.09544009852338388,0.11509139304713543,0.07676274236357447,0.09481206948213028,0.056446508470179714,0.058091060320524135,0.07367309073405023,0.07543115634226913,0.6460962430369009,0.6016313787751287,0.1442191554822409,-0.13892840871544979,-0.1378211684970916,0.01575798041080782,0.32674656835289995
matchup_totalYardsAvgBefore,0.40808508641340996,0.2527238187991532,0.6721512859880879,0.6310032936049055,0.638292607925161,0.23986922960392834,0.5367696353974831,0.5400862190008627,0.6047303632888411,1.0,0.8360352838655494,-0.17542296082150158,0.6427278290771345,0.5119750017572049,-0.13085942160797853,-0.1524431456447827,-0.0300417774264053,0.8783571056998427,0.17012094175926534,-0.13390441247119167,0.41962528727322856,0.5913026980153391,-0.017731127008273846,0.10479654784320877,0.20379237991735905,0.13121692777460342,0.17772961457149894,0.17017979226073265,0.15369586844934768,0.14617342275612855,0.14784630186411832,0.7434055567803574,0.8012753127014753,-0.14155865886271946,-0.15662604700687477,0.5657827205637957,0.6104584510091201,0.6090305350078552,0.6515277118067935,0.482957244443583,0.513423172464107,0.894315981362887,0.9623202366576473,-0.10160707510129195,-0.11935762530725919,0.14820659182892212,0.16652959465737072,0.13324202428611215,0.1524694213074095,0.12003627790306452,0.13640359318675865,0.13360605625407743,0.1424869980798068,0.802021598251271,0.771144736571105,0.2483698152317428,-0.14999720504695505,-0.2180968350669272,0.14490599364225684,0.41312126634050955
