feature,family,train_missing_count,train_missing_pct,validation_missing_count,validation_missing_pct,test_missing_count,test_missing_pct,max_missing_pct,missing_flag,vif,vif_flag,high_correlation_count
matchup_completionsAvgBefore,Passing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,16.05247524066881,HIGH,3.0
matchup_passAttemptsAvgBefore,Passing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,32.03639634384408,HIGH,1.0
matchup_netPassingYardsAvgBefore,Passing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,3708457.6090977094,HIGH,3.0
matchup_passingTDsAvgBefore,Passing,985,0.1531405472636816,198,0.11372774267662263,95,0.10698198198198199,0.1531405472636816,WARNING,9.195733002830375,WARNING,0.0
matchup_yardsPerPassAttemptBefore,Passing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,6.433809787584867,WARNING,0.0
matchup_rushingAttemptsAvgBefore,Rushing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,24.689601382812878,HIGH,0.0
matchup_rushingYardsAvgBefore,Rushing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,2857364.7233577035,HIGH,3.0
matchup_rushingTDsAvgBefore,Rushing,983,0.15282960199004975,198,0.11372774267662263,95,0.10698198198198199,0.15282960199004975,WARNING,10.30470016158828,HIGH,0.0
matchup_yardsPerRushAttemptBefore,Rushing,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,25.04244023770632,HIGH,2.0
matchup_totalYardsAvgBefore,Total Offense,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,4848066.639898556,HIGH,6.0
matchup_pointsForAvgBefore,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,6.0
matchup_pointsAgainstAvgBefore,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,3.0
matchup_pointDifferentialAvgBefore,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,4.0
matchup_winPctBefore,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,3.5123056868164038,LOW,1.0
matchup_turnoversAvgBefore,Turnovers,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,inf,HIGH,2.0
matchup_interceptionsAvgBefore,Turnovers,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,inf,HIGH,0.0
matchup_fumblesLostAvgBefore,Turnovers,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,inf,HIGH,0.0
matchup_firstDownsAvgBefore,Other,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,11.51139682703044,HIGH,2.0
matchup_possessionSecondsAvgBefore,Other,988,0.15360696517412936,198,0.11372774267662263,95,0.10698198198198199,0.15360696517412936,WARNING,1.8724440232191377,LOW,0.0
matchup_thirdDownAttemptsAvgBefore,Situational,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,23.487134120726992,HIGH,0.0
matchup_thirdDownConversionsAvgBefore,Situational,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,52.128682799227555,HIGH,1.0
matchup_thirdDownPctBefore,Situational,984,0.15298507462686567,198,0.11372774267662263,95,0.10698198198198199,0.15298507462686567,WARNING,36.77061430118421,HIGH,1.0
matchup_fourthDownAttemptsAvgBefore,Situational,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,7.37298615616765,WARNING,0.0
matchup_fourthDownConversionsAvgBefore,Situational,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,10.105084773021844,HIGH,0.0
matchup_fourthDownPctBefore,Situational,1272,0.19776119402985073,273,0.15680643308443423,128,0.14414414414414414,0.19776119402985073,WARNING,3.46724311738467,LOW,0.0
matchup_penaltiesAvgBefore,Penalties,982,0.15267412935323382,198,0.11372774267662263,95,0.10698198198198199,0.15267412935323382,WARNING,6.549251561699815,WARNING,1.0
matchup_penaltyYardsAvgBefore,Penalties,983,0.15282960199004975,198,0.11372774267662263,95,0.10698198198198199,0.15282960199004975,WARNING,6.474976769105869,WARNING,1.0
matchup_sacksAvgBefore,Defense,1733,0.26943407960199006,216,0.12406662837449742,95,0.10698198198198199,0.26943407960199006,HIGH,11.801123801854645,HIGH,2.0
matchup_tacklesForLossAvgBefore,Defense,1733,0.26943407960199006,216,0.12406662837449742,95,0.10698198198198199,0.26943407960199006,HIGH,11.196134576866559,HIGH,2.0
matchup_qbHurriesAvgBefore,Defense,1733,0.26943407960199006,216,0.12406662837449742,95,0.10698198198198199,0.26943407960199006,HIGH,10.540701112764358,HIGH,2.0
matchup_passesDeflectedAvgBefore,Defense,1733,0.26943407960199006,216,0.12406662837449742,95,0.10698198198198199,0.26943407960199006,HIGH,6.808365274267772,WARNING,1.0
matchup_pointsForAvgLast3,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,4.0
matchup_pointsForAvgLast5,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,6.0
matchup_pointsAgainstAvgLast3,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,2.0
matchup_pointsAgainstAvgLast5,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,2.0
matchup_pointDifferentialAvgLast3,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,3.0
matchup_pointDifferentialAvgLast5,Scoring / Results,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,inf,HIGH,3.0
matchup_netPassingYardsAvgLast3,Passing,981,0.1525186567164179,198,0.11372774267662263,95,0.10698198198198199,0.1525186567164179,WARNING,1650725.0140182283,HIGH,2.0
