gameId,season,seasonType,week,team,opponent,offense,defense
401012246,2018,regular,1,Alabama,Louisville,"{'plays': 69, 'drives': 12, 'ppa': 0.39039481134282755, 'totalPPA': 26.937241982655102, 'successRate': 0.5507246376811594, 'explosiveness': 1.0773895242083855, 'powerSuccess': 0.875, 'stuffRate': 0.047619047619047616, 'lineYards': 4.026190476190476, 'lineYardsTotal': 169, 'secondLevelYards': 1.2380952380952381, 'secondLevelYardsTotal': 52, 'openFieldYards': 0.9523809523809523, 'openFieldYardsTotal': 40, 'standardDowns': {'ppa': 0.2286704260019554, 'successRate': 0.5789473684210527, 'explosiveness': 0.7491481059982047}, 'passingDowns': {'ppa': 1.1585856417119704, 'successRate': 0.4166666666666667, 'explosiveness': 3.243782884395579}, 'rushingPlays': {'ppa': 0.22517280815783233, 'totalPPA': 9.457257942628958, 'successRate': 0.5238095238095238, 'explosiveness': 0.6644894344521486}, 'passingPlays': {'ppa': 0.6878047035065279, 'totalPPA': 17.882922291169724, 'successRate': 0.5769230769230769, 'explosiveness': 1.7816648408743307}}","{'plays': 65, 'drives': 15, 'ppa': -0.032969321262022365, 'totalPPA': -2.1430058820314537, 'successRate': 0.3076923076923077, 'explosiveness': 1.7670051854335271, 'powerSuccess': 0, 'stuffRate': 0.391304347826087, 'lineYards': 0.5, 'lineYardsTotal': 12, 'secondLevelYards': 0.5652173913043478, 'secondLevelYardsTotal': 13, 'openFieldYards': 0.7391304347826086, 'openFieldYardsTotal': 17, 'standardDowns': {'ppa': -0.4200411534330543, 'successRate': 0.35135135135135137, 'explosiveness': 0.9826728122451568}, 'passingDowns': {'ppa': 0.47851845696398415, 'successRate': 0.25, 'explosiveness': 3.2236224499262147}, 'rushingPlays': {'ppa': -0.3119193092666216, 'totalPPA': -7.174144113132296, 'successRate': 0.17391304347826086, 'explosiveness': 1.6488791867212373}, 'passingPlays': {'ppa': -0.02173581068065282, 'totalPPA': -0.8911682379067657, 'successRate': 0.36585365853658536, 'explosiveness': 1.521485366185199}}"
401012246,2018,regular,1,Louisville,Alabama,"{'plays': 65, 'drives': 15, 'ppa': -0.032969321262022365, 'totalPPA': -2.1430058820314537, 'successRate': 0.3076923076923077, 'explosiveness': 1.7670051854335271, 'powerSuccess': 0, 'stuffRate': 0.391304347826087, 'lineYards': 0.5, 'lineYardsTotal': 12, 'secondLevelYards': 0.5652173913043478, 'secondLevelYardsTotal': 13, 'openFieldYards': 0.7391304347826086, 'openFieldYardsTotal': 17, 'standardDowns': {'ppa': -0.4200411534330543, 'successRate': 0.35135135135135137, 'explosiveness': 0.9826728122451568}, 'passingDowns': {'ppa': 0.47851845696398415, 'successRate': 0.25, 'explosiveness': 3.2236224499262147}, 'rushingPlays': {'ppa': -0.3119193092666216, 'totalPPA': -7.174144113132296, 'successRate': 0.17391304347826086, 'explosiveness': 1.6488791867212373}, 'passingPlays': {'ppa': -0.02173581068065282, 'totalPPA': -0.8911682379067657, 'successRate': 0.36585365853658536, 'explosiveness': 1.521485366185199}}","{'plays': 69, 'drives': 12, 'ppa': 0.39039481134282755, 'totalPPA': 26.937241982655102, 'successRate': 0.5507246376811594, 'explosiveness': 1.0773895242083855, 'powerSuccess': 0.875, 'stuffRate': 0.047619047619047616, 'lineYards': 4.026190476190476, 'lineYardsTotal': 169, 'secondLevelYards': 1.2380952380952381, 'secondLevelYardsTotal': 52, 'openFieldYards': 0.9523809523809523, 'openFieldYardsTotal': 40, 'standardDowns': {'ppa': 0.2286704260019554, 'successRate': 0.5789473684210527, 'explosiveness': 0.7491481059982047}, 'passingDowns': {'ppa': 1.1585856417119704, 'successRate': 0.4166666666666667, 'explosiveness': 3.243782884395579}, 'rushingPlays': {'ppa': 0.22517280815783233, 'totalPPA': 9.457257942628958, 'successRate': 0.5238095238095238, 'explosiveness': 0.6644894344521486}, 'passingPlays': {'ppa': 0.6878047035065279, 'totalPPA': 17.882922291169724, 'successRate': 0.5769230769230769, 'explosiveness': 1.7816648408743307}}"
401012247,2018,regular,1,Arkansas,Eastern Illinois,"{'plays': 68, 'drives': 14, 'ppa': 0.32470457941144526, 'totalPPA': 22.079911399978275, 'successRate': 0.4852941176470588, 'explosiveness': 1.1823447746117144, 'powerSuccess': 0.75, 'stuffRate': 0.3055555555555556, 'lineYards': 1.8833333333333333, 'lineYardsTotal': 68, 'secondLevelYards': 0.5, 'secondLevelYardsTotal': 18, 'openFieldYards': 0, 'openFieldYardsTotal': 0, 'standardDowns': {'ppa': 0.2675136299398298, 'successRate': 0.5227272727272727, 'explosiveness': 1.0790952623095078}, 'passingDowns': {'ppa': 0.42955465344274024, 'successRate': 0.4166666666666667, 'explosiveness': 1.4198186529067893}, 'rushingPlays': {'ppa': -0.10774309763485515, 'totalPPA': -3.8787515148547853, 'successRate': 0.3611111111111111, 'explosiveness': 0.5910308762168369}, 'passingPlays': {'ppa': 0.9124082041759254, 'totalPPA': 27.372246125277762, 'successRate': 0.6, 'explosiveness': 1.819308854545133}}","{'plays': 81, 'drives': 15, 'ppa': 0.11943897827384746, 'totalPPA': 9.674557240181645, 'successRate': 0.38271604938271603, 'explosiveness': 1.0274613755201325, 'powerSuccess': 0.5, 'stuffRate': 0.225, 'lineYards': 2.505, 'lineYardsTotal': 100, 'secondLevelYards': 0.825, 'secondLevelYardsTotal': 33, 'openFieldYards': 0.575, 'openFieldYardsTotal': 23, 'standardDowns': {'ppa': 0.08075057064405985, 'successRate': 0.39285714285714285, 'explosiveness': 1.0155728747615564}, 'passingDowns': {'ppa': 0.2061010113645717, 'successRate': 0.36, 'explosiveness': 1.056522155152207}, 'rushingPlays': {'ppa': 0.013493221282428759, 'totalPPA': 0.5397288512971504, 'successRate': 0.375, 'explosiveness': 0.7526876052277607}, 'passingPlays': {'ppa': 0.22280069241181694, 'totalPPA': 9.134828388884495, 'successRate': 0.3902439024390244, 'explosiveness': 1.285061785169231}}"
401012247,2018,regular,1,Eastern Illinois,Arkansas,"{'plays': 81, 'drives': 15, 'ppa': 0.11943897827384746, 'totalPPA': 9.674557240181645, 'successRate': 0.38271604938271603, 'explosiveness': 1.0274613755201325, 'powerSuccess': 0.5, 'stuffRate': 0.225, 'lineYards': 2.505, 'lineYardsTotal': 100, 'secondLevelYards': 0.825, 'secondLevelYardsTotal': 33, 'openFieldYards': 0.575, 'openFieldYardsTotal': 23, 'standardDowns': {'ppa': 0.08075057064405985, 'successRate': 0.39285714285714285, 'explosiveness': 1.0155728747615564}, 'passingDowns': {'ppa': 0.2061010113645717, 'successRate': 0.36, 'explosiveness': 1.056522155152207}, 'rushingPlays': {'ppa': 0.013493221282428759, 'totalPPA': 0.5397288512971504, 'successRate': 0.375, 'explosiveness': 0.7526876052277607}, 'passingPlays': {'ppa': 0.22280069241181694, 'totalPPA': 9.134828388884495, 'successRate': 0.3902439024390244, 'explosiveness': 1.285061785169231}}","{'plays': 68, 'drives': 14, 'ppa': 0.32470457941144526, 'totalPPA': 22.079911399978275, 'successRate': 0.4852941176470588, 'explosiveness': 1.1823447746117144, 'powerSuccess': 0.75, 'stuffRate': 0.3055555555555556, 'lineYards': 1.8833333333333333, 'lineYardsTotal': 68, 'secondLevelYards': 0.5, 'secondLevelYardsTotal': 18, 'openFieldYards': 0, 'openFieldYardsTotal': 0, 'standardDowns': {'ppa': 0.2675136299398298, 'successRate': 0.5227272727272727, 'explosiveness': 1.0790952623095078}, 'passingDowns': {'ppa': 0.42955465344274024, 'successRate': 0.4166666666666667, 'explosiveness': 1.4198186529067893}, 'rushingPlays': {'ppa': -0.10774309763485515, 'totalPPA': -3.8787515148547853, 'successRate': 0.3611111111111111, 'explosiveness': 0.5910308762168369}, 'passingPlays': {'ppa': 0.9124082041759254, 'totalPPA': 27.372246125277762, 'successRate': 0.6, 'explosiveness': 1.819308854545133}}"
401012248,2018,regular,1,Auburn,Washington,"{'plays': 85, 'drives': 13, 'ppa': 0.21811892923101356, 'totalPPA': 18.540108984636152, 'successRate': 0.4470588235294118, 'explosiveness': 1.1235087083253017, 'powerSuccess': 0.5, 'stuffRate': 0.15555555555555556, 'lineYards': 2.3733333333333335, 'lineYardsTotal': 107, 'secondLevelYards': 0.8666666666666667, 'secondLevelYardsTotal': 39, 'openFieldYards': 0.9777777777777777, 'openFieldYardsTotal': 44, 'standardDowns': {'ppa': 0.12717054673514896, 'successRate': 0.47058823529411764, 'explosiveness': 0.9374067171772642}, 'passingDowns': {'ppa': 0.35454150297481046, 'successRate': 0.4117647058823529, 'explosiveness': 1.442540693150509}, 'rushingPlays': {'ppa': -0.08095288188762928, 'totalPPA': -3.642879684943318, 'successRate': 0.28888888888888886, 'explosiveness': 1.0150670159868895}, 'passingPlays': {'ppa': 0.579984284622649, 'totalPPA': 21.45941853103801, 'successRate': 0.5945945945945946, 'explosiveness': 1.307904071363202}}","{'plays': 66, 'drives': 11, 'ppa': 0.08052205757315671, 'totalPPA': 5.314455799828344, 'successRate': 0.3939393939393939, 'explosiveness': 1.180971630995441, 'powerSuccess': 0, 'stuffRate': 0.25, 'lineYards': 2.125, 'lineYardsTotal': 60, 'secondLevelYards': 1.3571428571428572, 'secondLevelYardsTotal': 38, 'openFieldYards': 1.2142857142857142, 'openFieldYardsTotal': 34, 'standardDowns': {'ppa': 0.10736606308096425, 'successRate': 0.4594594594594595, 'explosiveness': 1.1573413328311022}, 'passingDowns': {'ppa': 0.046272809166643655, 'successRate': 0.3103448275862069, 'explosiveness': 1.2256066386391922}, 'rushingPlays': {'ppa': -0.1303414097859554, 'totalPPA': -3.6495594740067516, 'successRate': 0.39285714285714285, 'explosiveness': 0.9305956792593904}, 'passingPlays': {'ppa': 0.27560524841193856, 'totalPPA': 9.64618369441785, 'successRate': 0.34285714285714286, 'explosiveness': 1.7625731962175772}}"
401012248,2018,regular,1,Washington,Auburn,"{'plays': 66, 'drives': 11, 'ppa': 0.08052205757315671, 'totalPPA': 5.314455799828344, 'successRate': 0.3939393939393939, 'explosiveness': 1.180971630995441, 'powerSuccess': 0, 'stuffRate': 0.25, 'lineYards': 2.125, 'lineYardsTotal': 60, 'secondLevelYards': 1.3571428571428572, 'secondLevelYardsTotal': 38, 'openFieldYards': 1.2142857142857142, 'openFieldYardsTotal': 34, 'standardDowns': {'ppa': 0.10736606308096425, 'successRate': 0.4594594594594595, 'explosiveness': 1.1573413328311022}, 'passingDowns': {'ppa': 0.046272809166643655, 'successRate': 0.3103448275862069, 'explosiveness': 1.2256066386391922}, 'rushingPlays': {'ppa': -0.1303414097859554, 'totalPPA': -3.6495594740067516, 'successRate': 0.39285714285714285, 'explosiveness': 0.9305956792593904}, 'passingPlays': {'ppa': 0.27560524841193856, 'totalPPA': 9.64618369441785, 'successRate': 0.34285714285714286, 'explosiveness': 1.7625731962175772}}","{'plays': 85, 'drives': 13, 'ppa': 0.21811892923101356, 'totalPPA': 18.540108984636152, 'successRate': 0.4470588235294118, 'explosiveness': 1.1235087083253017, 'powerSuccess': 0.5, 'stuffRate': 0.15555555555555556, 'lineYards': 2.3733333333333335, 'lineYardsTotal': 107, 'secondLevelYards': 0.8666666666666667, 'secondLevelYardsTotal': 39, 'openFieldYards': 0.9777777777777777, 'openFieldYardsTotal': 44, 'standardDowns': {'ppa': 0.12717054673514896, 'successRate': 0.47058823529411764, 'explosiveness': 0.9374067171772642}, 'passingDowns': {'ppa': 0.35454150297481046, 'successRate': 0.4117647058823529, 'explosiveness': 1.442540693150509}, 'rushingPlays': {'ppa': -0.08095288188762928, 'totalPPA': -3.642879684943318, 'successRate': 0.28888888888888886, 'explosiveness': 1.0150670159868895}, 'passingPlays': {'ppa': 0.579984284622649, 'totalPPA': 21.45941853103801, 'successRate': 0.5945945945945946, 'explosiveness': 1.307904071363202}}"
401012249,2018,regular,1,Charleston Southern,Florida,"{'plays': 59, 'drives': 13, 'ppa': -0.06906754123183663, 'totalPPA': -4.074984932678361, 'successRate': 0.23728813559322035, 'explosiveness': 1.4338243999667521, 'powerSuccess': 0.3333333333333333, 'stuffRate': 0.275, 'lineYards': 2.27, 'lineYardsTotal': 91, 'secondLevelYards': 1.45, 'secondLevelYardsTotal': 58, 'openFieldYards': 2.9, 'openFieldYardsTotal': 116, 'standardDowns': {'ppa': -0.2089986780051214, 'successRate': 0.25, 'explosiveness': 0.9448932891885747}, 'passingDowns': {'ppa': 0.09677676901798235, 'successRate': 0.2222222222222222, 'explosiveness': 2.0857325476709887}, 'rushingPlays': {'ppa': 0.12602324376077964, 'totalPPA': 5.040929750431185, 'successRate': 0.325, 'explosiveness': 1.5379397507086092}, 'passingPlays': {'ppa': -0.47978498332155506, 'totalPPA': -9.115914683109546, 'successRate': 0.05263157894736842, 'explosiveness': 0.0803248403226124}}","{'plays': 69, 'drives': 13, 'ppa': 0.31590922992103054, 'totalPPA': 21.79773686455111, 'successRate': 0.5362318840579711, 'explosiveness': 1.065743246896262, 'powerSuccess': 0.6666666666666666, 'stuffRate': 0.2564102564102564, 'lineYards': 2.641025641025641, 'lineYardsTotal': 103, 'secondLevelYards': 1.6923076923076923, 'secondLevelYardsTotal': 66, 'openFieldYards': 1.4615384615384615, 'openFieldYardsTotal': 57, 'standardDowns': {'ppa': 0.26103734965320247, 'successRate': 0.5882352941176471, 'explosiveness': 0.898010733315775}, 'passingDowns': {'ppa': 0.4713795573465435, 'successRate': 0.3888888888888889, 'explosiveness': 1.784596876526921}, 'rushingPlays': {'ppa': 0.14387636888268499, 'totalPPA': 5.611178386424714, 'successRate': 0.46153846153846156, 'explosiveness': 1.0186927915243797}, 'passingPlays': {'ppa': 0.6328943707899394, 'totalPPA': 17.088148011328364, 'successRate': 0.5925925925925926, 'explosiveness': 1.3748512138078017}}"
401012249,2018,regular,1,Florida,Charleston Southern,"{'plays': 69, 'drives': 13, 'ppa': 0.31590922992103054, 'totalPPA': 21.79773686455111, 'successRate': 0.5362318840579711, 'explosiveness': 1.065743246896262, 'powerSuccess': 0.6666666666666666, 'stuffRate': 0.2564102564102564, 'lineYards': 2.641025641025641, 'lineYardsTotal': 103, 'secondLevelYards': 1.6923076923076923, 'secondLevelYardsTotal': 66, 'openFieldYards': 1.4615384615384615, 'openFieldYardsTotal': 57, 'standardDowns': {'ppa': 0.26103734965320247, 'successRate': 0.5882352941176471, 'explosiveness': 0.898010733315775}, 'passingDowns': {'ppa': 0.4713795573465435, 'successRate': 0.3888888888888889, 'explosiveness': 1.784596876526921}, 'rushingPlays': {'ppa': 0.14387636888268499, 'totalPPA': 5.611178386424714, 'successRate': 0.46153846153846156, 'explosiveness': 1.0186927915243797}, 'passingPlays': {'ppa': 0.6328943707899394, 'totalPPA': 17.088148011328364, 'successRate': 0.5925925925925926, 'explosiveness': 1.3748512138078017}}","{'plays': 59, 'drives': 13, 'ppa': -0.06906754123183663, 'totalPPA': -4.074984932678361, 'successRate': 0.23728813559322035, 'explosiveness': 1.4338243999667521, 'powerSuccess': 0.3333333333333333, 'stuffRate': 0.275, 'lineYards': 2.27, 'lineYardsTotal': 91, 'secondLevelYards': 1.45, 'secondLevelYardsTotal': 58, 'openFieldYards': 2.9, 'openFieldYardsTotal': 116, 'standardDowns': {'ppa': -0.2089986780051214, 'successRate': 0.25, 'explosiveness': 0.9448932891885747}, 'passingDowns': {'ppa': 0.09677676901798235, 'successRate': 0.2222222222222222, 'explosiveness': 2.0857325476709887}, 'rushingPlays': {'ppa': 0.12602324376077964, 'totalPPA': 5.040929750431185, 'successRate': 0.325, 'explosiveness': 1.5379397507086092}, 'passingPlays': {'ppa': -0.47978498332155506, 'totalPPA': -9.115914683109546, 'successRate': 0.05263157894736842, 'explosiveness': 0.0803248403226124}}"
401012250,2018,regular,1,Austin Peay,Georgia,"{'plays': 50, 'drives': 12, 'ppa': -0.12875362477484303, 'totalPPA': -6.437681238742151, 'successRate': 0.26, 'explosiveness': 0.9061986714732773, 'powerSuccess': 0.5, 'stuffRate': 0.23333333333333334, 'lineYards': 2.0833333333333335, 'lineYardsTotal': 63, 'secondLevelYards': 0.7666666666666667, 'secondLevelYardsTotal': 23, 'openFieldYards': 0.26666666666666666, 'openFieldYardsTotal': 8, 'standardDowns': {'ppa': -0.2943961867492847, 'successRate': 0.2903225806451613, 'explosiveness': 0.6738480892140738}, 'passingDowns': {'ppa': 0.14150529213082497, 'successRate': 0.21052631578947367, 'explosiveness': 1.4289874815564851}, 'rushingPlays': {'ppa': -0.1723088149737871, 'totalPPA': -5.169264449213614, 'successRate': 0.3, 'explosiveness': 0.8638201678284213}, 'passingPlays': {'ppa': -0.06342083947642686, 'totalPPA': -1.2684167895285372, 'successRate': 0.2, 'explosiveness': 1.0015503046742034}}","{'plays': 61, 'drives': 12, 'ppa': 0.4206739007468078, 'totalPPA': 25.66110794555528, 'successRate': 0.4918032786885246, 'explosiveness': 1.3251900591118821, 'powerSuccess': 1, 'stuffRate': 0.12121212121212122, 'lineYards': 3.4909090909090907, 'lineYardsTotal': 115, 'secondLevelYards': 1.3636363636363635, 'secondLevelYardsTotal': 45, 'openFieldYards': 3.757575757575758, 'openFieldYardsTotal': 124, 'standardDowns': {'ppa': 0.13771410290611738, 'successRate': 0.4666666666666667, 'explosiveness': 0.9157457157267443}, 'passingDowns': {'ppa': 1.2164983321737497, 'successRate': 0.5625, 'explosiveness': 2.2805601936772035}, 'rushingPlays': {'ppa': 0.26549376551201215, 'totalPPA': 8.761294261896401, 'successRate': 0.3939393939393939, 'explosiveness': 1.3256340803294957}, 'passingPlays': {'ppa': 0.6490679754861085, 'totalPPA': 17.52483533812493, 'successRate': 0.5925925925925926, 'explosiveness': 1.4467175239711918}}"
401012250,2018,regular,1,Georgia,Austin Peay,"{'plays': 61, 'drives': 12, 'ppa': 0.4206739007468078, 'totalPPA': 25.66110794555528, 'successRate': 0.4918032786885246, 'explosiveness': 1.3251900591118821, 'powerSuccess': 1, 'stuffRate': 0.12121212121212122, 'lineYards': 3.4909090909090907, 'lineYardsTotal': 115, 'secondLevelYards': 1.3636363636363635, 'secondLevelYardsTotal': 45, 'openFieldYards': 3.757575757575758, 'openFieldYardsTotal': 124, 'standardDowns': {'ppa': 0.13771410290611738, 'successRate': 0.4666666666666667, 'explosiveness': 0.9157457157267443}, 'passingDowns': {'ppa': 1.2164983321737497, 'successRate': 0.5625, 'explosiveness': 2.2805601936772035}, 'rushingPlays': {'ppa': 0.26549376551201215, 'totalPPA': 8.761294261896401, 'successRate': 0.3939393939393939, 'explosiveness': 1.3256340803294957}, 'passingPlays': {'ppa': 0.6490679754861085, 'totalPPA': 17.52483533812493, 'successRate': 0.5925925925925926, 'explosiveness': 1.4467175239711918}}","{'plays': 50, 'drives': 12, 'ppa': -0.12875362477484303, 'totalPPA': -6.437681238742151, 'successRate': 0.26, 'explosiveness': 0.9061986714732773, 'powerSuccess': 0.5, 'stuffRate': 0.23333333333333334, 'lineYards': 2.0833333333333335, 'lineYardsTotal': 63, 'secondLevelYards': 0.7666666666666667, 'secondLevelYardsTotal': 23, 'openFieldYards': 0.26666666666666666, 'openFieldYardsTotal': 8, 'standardDowns': {'ppa': -0.2943961867492847, 'successRate': 0.2903225806451613, 'explosiveness': 0.6738480892140738}, 'passingDowns': {'ppa': 0.14150529213082497, 'successRate': 0.21052631578947367, 'explosiveness': 1.4289874815564851}, 'rushingPlays': {'ppa': -0.1723088149737871, 'totalPPA': -5.169264449213614, 'successRate': 0.3, 'explosiveness': 0.8638201678284213}, 'passingPlays': {'ppa': -0.06342083947642686, 'totalPPA': -1.2684167895285372, 'successRate': 0.2, 'explosiveness': 1.0015503046742034}}"
