split,phase,n,pct_of_split,gamesBefore_min_mean,gamesBefore_min_median,phase_weight
Train,Early,2095,32.57151741293532,0.7780429594272077,1.0,1.0
Train,Mid,1551,24.113805970149254,3.996131528046422,4.0,0.67
Train,Late,2786,43.31467661691542,8.490308686288586,8.0,0.33
Validation,Early,522,29.982768523836878,0.9137931034482759,1.0,1.0
Validation,Mid,414,23.779437105112006,3.9830917874396135,4.0,0.67
Validation,Late,805,46.23779437105112,8.582608695652175,9.0,0.33
Test,Early,264,29.72972972972973,0.9507575757575758,1.0,1.0
Test,Mid,212,23.873873873873876,3.943396226415094,4.0,0.67
Test,Late,412,46.3963963963964,8.550970873786408,8.0,0.33
