feature_group,experiment_2_feature,experiment_3_feature,experiment_2_importance,experiment_3_importance,importance_change,importance_change_percent,experiment_2_rank,experiment_3_rank,rank_change,experiment_2_share_of_model,experiment_3_share_of_model
Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,0.0412790740825784,0.0362055598481143,-0.005073514234464102,-12.290765593032887,3,3,0,0.0412790740825784,0.0362055598481143
Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,0.0042563840164512,0.0042892474297289,3.286341327770042e-05,0.7720969994878564,23,26,3,0.0042563840164512,0.0042892474297289
Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,0.0111020025045115,0.0110318493546557,-7.015314985579953e-05,-0.6318963612851963,8,7,-1,0.0111020025045115,0.0110318493546557
Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,0.0036770607197181,0.005045724348477,0.0013686636287589004,37.221676036500924,28,21,-7,0.0036770607197181,0.005045724348477
Total Usage,returning_usage_diff,returning_usage_diff_phase,0.0018659981920113,0.0019133691030404,4.737091102909995e-05,2.5386364912840755,69,72,3,0.0018659981920113,0.0019133691030404
Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,0.0028038163122518,0.0028330357304485,2.921941819669996e-05,1.042130258998075,37,33,-4,0.0028038163122518,0.0028330357304485
Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,0.0156164074559671,0.010385819768745,-0.0052305876872221005,-33.49418041230391,4,8,4,0.0156164074559671,0.010385819768745
Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,0.0036604526225421,0.0026812366176466,-0.0009792160048955,-26.751227399180404,29,36,7,0.0036604526225421,0.0026812366176466
